site ID,species,SLA (cm2/g),LA/SA (cm2/cm2),WD (g/cm3),Kh (kg*m/Mpa*s),Ks,Kl
Westhead Kuringai Chase National Park,Acacia floribunda,90.6474461,2429.521311,0.814228153,3.83E-06,0.205164265,8.44E-05
Westhead Kuringai Chase National Park,Acacia floribunda,99.40636615,3498.328423,0.730864659,7.60E-06,0.44776741,0.000127995
Westhead Kuringai Chase National Park,Acacia floribunda,87.45308177,1531.404182,0.829184531,7.04E-06,0.440573395,0.000287692
Westhead Kuringai Chase National Park,Astrotricha floccosa,127.5531643,1665.105936,0.430638414,9.31E-06,0.526755353,0.000316349
Westhead Kuringai Chase National Park,Astrotricha floccosa,145.6096076,5608.644112,0.543777735,1.19E-05,0.791328406,0.000141091
Westhead Kuringai Chase National Park,Astrotricha floccosa,137.5815864,3386.976177,0.530210072,1.60E-05,1.014121331,0.000299418
Westhead Kuringai Chase National Park,Lasiopetalum ferrugineum,63.85120776,1507.666813,0.719092004,2.99E-06,0.361848834,0.000240006
Westhead Kuringai Chase National Park,Lasiopetalum ferrugineum,63.43603791,1497.817766,0.860421631,4.41E-06,0.505105378,0.000337228
Westhead Kuringai Chase National Park,Lasiopetalum ferrugineum,58.48632146,1291.150013,0.79214871,3.01E-06,0.4451745,0.000344789
Westhead Kuringai Chase National Park,Lomatia silaifolia,68.37182189,4494.223982,0.694932517,2.25E-06,0.571991734,0.000127273
Westhead Kuringai Chase National Park,Lomatia silaifolia,76.98980216,1837.876059,0.746845153,1.85E-06,0.489985465,0.000266604
Westhead Kuringai Chase National Park,Lomatia silaifolia,71.55223139,3356.271007,0.7218343,1.54E-06,0.245481114,7.31E-05
Westhead Kuringai Chase National Park,Persoonia linearis,62.63131108,3072.220059,0.619629693,5.25E-06,0.399644341,0.000130083
Westhead Kuringai Chase National Park,Persoonia linearis,61.05184715,1259.137751,0.603232963,4.70E-06,0.288060771,0.000228776
Westhead Kuringai Chase National Park,Persoonia linearis,61.51015218,2206.431985,0.60729804,5.24E-06,0.515823024,0.000233782
Westhead Kuringai Chase National Park,Pultenea flexilis,113.7150458,1250.934587,0.856247782,3.21E-06,0.210547325,0.000168312
Westhead Kuringai Chase National Park,Pultenea flexilis,89.57907135,999.1301597,0.809596483,5.02E-06,0.182625188,0.000182784
Westhead Kuringai Chase National Park,Pultenea flexilis,102.1474024,1107.821693,0.744191785,9.36E-06,0.435350864,0.000392979
Westhead Kuringai Chase National Park,Pultenea flexilis,102.2870001,1677.86751,0.820186103,1.23E-05,0.473422713,0.000282157
Westhead Kuringai Chase National Park,Syncarpia glomulifera,58.53161467,937.8893752,0.624089918,3.44E-05,0.509035743,0.000542746
Westhead Kuringai Chase National Park,Syncarpia glomulifera,62.25004007,634.6756754,0.533323634,3.67E-05,0.491758638,0.000774819
Westhead Kuringai Chase National Park,Syncarpia glomulifera,62.38512358,1256.33885,0.612855143,5.21E-05,1.106389104,0.000880645
