Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),longevity,Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (mg/g),LDMC (%),Leaf area (mm2)
Aciphylla glacialis,96,92,7.03,NA,190,NA,NA,NA,255.26,NA,NA
Aciphylla glacialis,96,92,NA,NA,NA,NA,5.148,NA,NA,NA,2630
Aciphylla simplicifolia,96,92,264.1,NA,271.5,NA,NA,NA,5.57,NA,NA
Aciphylla simplicifolia,96,92,NA,NA,NA,NA,4.82,NA,NA,NA,586
Agrostis meionectes,96,92,2.93,NA,57.7,NA,NA,NA,975,NA,NA
Agrostis muelleriana,96,92,NA,NA,NA,NA,0.101,NA,NA,NA,99
Agrostis muelleriana,96,92,6.73,NA,39.6,NA,NA,NA,395.83,NA,NA
Arthropodium fimbriatum,96,92,10.16,NA,NA,NA,NA,NA,NA,NA,NA
Asperula conferta,96,92,15.77,NA,NA,NA,NA,NA,NA,NA,NA
Asperula gunnii,96,92,21.8,NA,43.2,NA,NA,NA,593.75,NA,NA
Asperula gunnii,96,92,NA,NA,NA,NA,NA,NA,NA,NA,4
Astelia alpina var. novae hollandiae,96,92,NA,NA,NA,NA,3.088,NA,NA,NA,1307
Astelia alpina var. novae-hollandiae,96,92,9.19,NA,91.1,NA,NA,NA,226.65,NA,NA
Atriplex leptocarpa,96,92,17,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex semibaccata,96,92,37.95,NA,NA,NA,NA,NA,NA,NA,NA
Australopyrum velutinum,96,92,101.03,NA,106.8,NA,NA,NA,53.57,NA,NA
Australopyrum velutinum,96,92,NA,NA,NA,NA,4.562,NA,NA,NA,381
Austrostipa nodosa,96,92,9.87,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome scapigera,96,92,23.31,NA,17.9,NA,NA,NA,124.18,NA,NA
Brachyscome scapigera,96,92,NA,NA,NA,NA,0.468,NA,NA,NA,145
Brachyscome spathulata,96,92,NA,NA,NA,NA,0.239,NA,NA,NA,195
Brachysome spatulatha subsp. Spathulata,96,92,22.9,NA,35.6,NA,NA,NA,71.43,NA,NA
Brachysome stolonifera,96,92,7.95,NA,125.1,NA,NA,NA,364.38,NA,NA
Bulbine bulbosa,96,92,15.13,NA,NA,NA,NA,NA,NA,NA,NA
Calocephalus sonderi,96,92,35.11,NA,NA,NA,NA,NA,NA,NA,NA
Calotis scabiosifolia,96,92,15.2,NA,NA,NA,NA,NA,NA,NA,NA
Caltha introloba,96,92,376.37,NA,35.1,NA,NA,NA,5.1,NA,NA
Carex breviculmis,96,92,16.82,NA,64.4,NA,NA,NA,354.78,NA,NA
Carex breviculmis,96,92,NA,NA,NA,NA,1.035,NA,NA,NA,187
Carex canescens,96,92,NA,NA,NA,NA,0.542,NA,NA,NA,224
Carex cephalotes,96,92,NA,NA,NA,NA,0.834,NA,NA,NA,104
Carex gaudichaudiana,96,92,78.53,NA,100.9,NA,NA,NA,66.67,NA,NA
Carex gaudichaudiana,96,92,NA,NA,NA,NA,0.467,NA,NA,NA,373
Carex hypandra,96,92,NA,NA,NA,NA,0.616,NA,NA,NA,268
Carpha nivicola,96,92,8.36,NA,47.5,NA,NA,NA,361.28,NA,NA
Celmisia costiniana,96,92,9.66,NA,88,NA,NA,NA,205.48,NA,NA
Celmisia costiniana,96,92,NA,NA,NA,NA,2.642,NA,NA,NA,429
Celmisia pugioniformis,96,92,17.88,NA,70.1,NA,NA,NA,118.88,NA,NA
Chinogentias muelleriana,96,92,NA,NA,NA,NA,0.396,NA,NA,NA,87
Chionogentias muelleriana subsp. alpestris,96,92,15.27,NA,79.8,NA,NA,NA,616.67,NA,NA
Chloris truncata,96,92,16.51,NA,NA,NA,NA,NA,NA,NA,NA
Chrysocephalum apiculatum,96,92,15.35,NA,NA,NA,NA,NA,NA,NA,NA
Colobanthus nivicola,96,92,12.05,NA,11.4,NA,NA,NA,222.86,NA,NA
Colobanthus nivicola,96,92,NA,NA,NA,NA,0.049,NA,NA,NA,5
Colobanthus pulvnatus,96,92,0.46,NA,23.8,NA,NA,NA,603.33,NA,NA
Convolvulus erubescens,96,92,15.97,NA,NA,NA,NA,NA,NA,NA,NA
Cotula alpina,96,92,11.86,NA,14.1,NA,NA,NA,256.92,NA,NA
Cotula alpina,96,92,NA,NA,NA,NA,0.227,NA,NA,NA,54
Craspedia alba,96,92,18.68,NA,21.3,NA,NA,NA,258.33,NA,NA
Craspedia aurantia,96,92,NA,NA,NA,NA,0.376,NA,NA,NA,414
Craspedia costiniana,96,92,22.9,NA,95.4,NA,NA,NA,103.43,NA,NA
Craspedia costiniana,96,92,NA,NA,NA,NA,0.646,NA,NA,NA,988
Craspedia lamicola,96,92,20.9,NA,86.5,NA,NA,NA,112.41,NA,NA
Craspedia lamicola,96,92,NA,NA,NA,NA,1.131,NA,NA,NA,1842
Craspedia maxgrayi,96,92,28.14,NA,114.5,NA,NA,NA,86.25,NA,NA
Craspedia maxgrayi,96,92,NA,NA,NA,NA,1.396,NA,NA,NA,1433
Crassula decumbens var. decumbens,96,92,25,NA,NA,NA,NA,NA,NA,NA,NA
Crassula sieberiana,96,92,66.36,NA,NA,NA,NA,NA,NA,NA,NA
Daucus glochidiatus,96,92,33.96,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia crassiuscula,96,92,27.24,NA,68.56,NA,NA,NA,112.5,NA,NA
Diplaspis nivis,96,92,21381.27,NA,12.9,NA,NA,NA,165.31,NA,NA
Disphyma crassifolium,96,92,19.55,NA,NA,NA,NA,NA,NA,NA,NA
Drosera arcturi,96,92,16.56,NA,20.9,NA,NA,NA,351.82,NA,NA
Drosera peltata subsp. auriculata,96,92,8.41,NA,NA,NA,NA,NA,NA,NA,NA
Elymus scaber var. scaber,96,92,15.59,NA,NA,NA,NA,NA,NA,NA,NA
Empodisma minus,96,92,3.71,NA,146.9,NA,NA,NA,169.29,NA,NA
Empodisma minus,96,92,NA,NA,NA,NA,0.24,NA,NA,NA,leafless! (bracts)
Enchylaena tomentosa var. tomentosa,96,92,24.28,NA,NA,NA,NA,NA,NA,NA,NA
Enteropogon acicularis,96,92,12.9,NA,NA,NA,NA,NA,NA,NA,NA
Epacris microphylla,96,92,NA,NA,NA,NA,0.012,NA,NA,NA,6
Epilobium gunnianum,96,92,53.74,NA,191.7,NA,NA,NA,81.63,NA,NA
Epilobium gunnianum,96,92,NA,NA,NA,NA,0.079,NA,NA,NA,174
Epilobium tasmanicum,96,92,NA,NA,NA,NA,0.045,NA,NA,NA,11
Erigeron bellidiodes,96,92,84.44,NA,20.3,NA,NA,NA,30.77,NA,NA
Erigeron bellidoides,96,92,NA,NA,NA,NA,0.248,NA,NA,NA,178
Erigeron nitidus,96,92,10,NA,26.3,NA,NA,NA,378.18,NA,NA
Erigeron nitidus,96,92,NA,NA,NA,NA,0.764,NA,NA,NA,160
Erigeron setosus,96,92,7.7,NA,4.2,NA,NA,NA,286.67,NA,NA
Erigeron setosus,96,92,NA,NA,NA,NA,0.2,NA,NA,NA,28
Eriochlamys behrii,96,92,1.79,NA,NA,NA,NA,NA,NA,NA,NA
Erodium crinatum,96,92,65.45,NA,NA,NA,NA,NA,NA,NA,NA
Euchiton argentifolius,96,92,25.12,NA,16.3,NA,NA,NA,405,NA,NA
Euchiton argentifolius,96,92,NA,NA,NA,NA,0.026,NA,NA,NA,42
Euchiton fordianus,96,92,17.9,NA,19.2,NA,NA,NA,352.5,NA,NA
Euchiton fordianus,96,92,NA,NA,NA,NA,0.087,NA,NA,NA,40
Euchiton nitidulus,96,92,NA,NA,NA,NA,0.1,NA,NA,NA,9
Euphrasia alsa,96,92,7.04,NA,43.2,NA,NA,NA,773.33,NA,NA
Euphrasia collina subs.glacialis,96,92,29.89,NA,90,NA,NA,NA,65.42,NA,NA
Euphrasia collina var. diversicolor,96,92,9.36,NA,166,NA,NA,NA,283.33,NA,NA
Euphrasia collina var. diversicolor,96,92,NA,NA,NA,NA,0.275,NA,NA,NA,63
Ewartia nubigena,96,92,NA,NA,NA,NA,45.893,NA,NA,NA,11
Gonocarpus micranthus subsp. micranthus,96,92,24.37,NA,1.9,NA,NA,NA,613.64,NA,NA
Gonocarpus montanus,96,92,NA,NA,NA,NA,0.703,NA,NA,NA,28
Goodenia pinnatifida,96,92,5.15,NA,NA,NA,NA,NA,NA,NA,NA
Goodenia pusilliflora,96,92,34.03,NA,NA,NA,NA,NA,NA,NA,NA
Helichrysum scorpioides,96,92,14.63,NA,90.1,NA,NA,NA,445.29,NA,NA
Helichrysum scorpioides,96,92,NA,NA,NA,NA,0.253,NA,NA,NA,162
Hyalosperma semisterile,96,92,16.76,NA,NA,NA,NA,NA,NA,NA,NA
Isoetopsis graminifolia,96,92,72.07,NA,NA,NA,NA,NA,NA,NA,NA
Leptorhynchos squamatus,96,92,10.77,NA,108.9,NA,NA,NA,373.5,NA,NA
Leptorhynchos squamatus,96,92,38.29,NA,NA,NA,NA,NA,NA,NA,NA
Leptorhynchos tetrachaetus,96,92,38.06,NA,NA,NA,NA,NA,NA,NA,NA
Leptorynchus squamatus,96,92,NA,NA,NA,NA,0.114,NA,NA,NA,45
Leucochrysum albicans subsp. alpinum,96,92,21.57,NA,66.2,NA,NA,NA,132.35,NA,NA
Leucopogon montanus,96,92,NA,NA,NA,NA,12.201,NA,NA,NA,6
Lomandra micrantha,96,92,2.66,perennial,34.07,NA,10.2,NA,NA,NA,NA
Luzula acutifolia subsp. nana,96,92,10.01,NA,22,NA,NA,NA,422.5,NA,NA
Luzula acutifolia subsp. nana,96,92,NA,NA,NA,NA,0.33,NA,NA,NA,40
Luzula alpestris,96,92,21.86,NA,200.8,NA,NA,NA,244.44,NA,NA
Luzula alpestris,96,92,NA,NA,NA,NA,0.223,NA,NA,NA,296
Luzula australasica,96,92,7.35,NA,25.8,NA,NA,NA,429.33,NA,NA
Luzula australasica subsp. dura,96,92,NA,NA,NA,NA,0.257,NA,NA,NA,192
Luzula modesta,96,92,NA,NA,NA,NA,0.427,NA,NA,NA,466
