Family,Genus,Species,Introduced,Fire_response,Fire induced flowering,Geophyte,Thickets,Sandplains,Granites
Aizoaceae,Carpobrotus,sp.,,NSS,,,x,,x
Anarthriaceae,Anarthria,prolifera,,RSS,,,x,x,x
Anarthriaceae,Anarthria,scabra,,RSS,,,x,x,x
Anarthriaceae,Lyginia,imberbis,,RSS,,,,x,
Apiaceae,Platysace,compressa,,NSS*,,,x,,x
Apiaceae,Platysace,filiformis,,NSS,,,x,,
Apiaceae,Xanthosia,huegelii,,NSS,,,,x,x
Apiaceae,Xanthosia,rotundifolia,,RSS,,,x,x,x
Araliaceae,Trachymene,coerulea,,FE,,,,,x
Asparagaceae,Lomandra,?caespitosa,,RSS,,,,,x
Asparagaceae,Lomandra,nigricans,,RSS,x,,x,x,
Asparagaceae,Lomandra,purpurea,,RSS,x,,x,,
Asparagaceae,Lomandra,sonderi,,RSS,x,,x,x,x
Asparagaceae,Lomandra,sp.,,RSS,,,,,x
Asparagaceae,Thysanotus,dichotomus - not flowering,,RSS,,x,,,x
Asparagaceae,Thysanotus,isantherus,,RSS,,x,,,x
Asparagaceae,Thysanotus,sparteus,,RSS,,,,x,
Asparagaceae,Thysanotus,thyrsoideus,,RSS,,x,,x,
Asteraceae,Euchiton,sphaericus,,A,,,,,x
Asteraceae,Hypochaeris,sp.,x,A,,,x,,x
Asteraceae,Senecio,hispidulus,,NSS*,,,,,x
Asteraceae,Sonchus,oleraceus,x,A,,,x,,x
Asteraceae,Vellereophyton,dealbatum,x,A,,,x,,x
Boryaceae,Borya,nitida,,NSS*,,,,,x
Campanulaceae,Isotoma,hypocraterifor mis,,FE,,,,x,
Campanulaceae,Lobelia,gibbosa,,A,,,,,x
Campanulaceae,Lobelia,heterophylla,,A,,,x,,
Campanulaceae,Lobelia,sp.,,A,,,,x,
Caryophyllaceae,Sagina,apetala,*,A,,,,,x
Casuarinaceae,Allocasuarina,humilis,,RSC+,,,,x,
Casuarinaceae,Allocasuarina,trichodon,,NSC,,,x,x,x
Centrolepidaceae,Centrolepis,aristata,,A,,,,,x
Centrolepidaceae,Centrolepis,sp.,,A,,,,,x
Chenopodiaceae,Rhagodia,baccata,,?NSS*,,,,x,
Colchicaceae,Burchardia,congesta,,RSS,x,x,x,x,x
Crassulaceae,Crassula,colorata,,A,,,,,x
Cyperaceae,Chaetospora,curvifolia,,RSS*,,,,x,x
Cyperaceae,Cyathochaeta,avenacea,,RSS,,,x,,
Cyperaceae,Cyathochaeta,equitans,,RSS,,,,x,
Cyperaceae,Isolepis,sp.,,A,,,x,,x
Cyperaceae,Lepidosperma,aff. angustatum,,RSS,,,x,,x
Cyperaceae,Lepidosperma,aff. drummondii,,RSS,,,x,,
Cyperaceae,Lepidosperma,aff. gracile,,RSS,,,x,,
Cyperaceae,Lepidosperma,aff. squamatum,,RSS,,,x,x,
Cyperaceae,Lepidosperma,drummondii,,RSS,,,x,,
Cyperaceae,Lepidosperma,hopperi,,RSS,,,,,x
Cyperaceae,Lepidosperma,sp.,,RSS,,,x,x,
Cyperaceae,Lepidosperma,sp. 2,,RSS,,,x,,
Cyperaceae,Mesomelaena,gracilipes,,RSS,,,x,x,
Cyperaceae,Mesomelaena,stygia,,RSS,,,x,,x
Cyperaceae,Morelotia,octandra,,RSS,x,,x,,x
Cyperaceae,Netrostylis,sp. Jarrah Forest,,RSS,,,x,x,x
Cyperaceae,Schoenus,brevisetis,,RSS,,,x,,x
Cyperaceae,Schoenus,caespititius,,RSS,,,,x,
Cyperaceae,Schoenus,sp.,,RSS,,,x,,
Cyperaceae,Schoenus,subflavus,,RSS*,,,,,x
Cyperaceae,Schoenus,sublateralis,,RSS*,,,x,x,
Cyperaceae,Tricostularia,?exsul,,RSS,,,,x,
Dasypogonaceae,Dasypogon,bromeliifolius,,RSS,x,,,x,
Dilleniaceae,Hibbertia,cunninghamii,,NSS+,,,x,,x
Dilleniaceae,Hibbertia,furfuracea,,RSS,,,x,,
Dilleniaceae,Hibbertia,furfuracea,,RSS+,,,,,x
Droseraceae,Drosera,erythrogyne,,RSS,,x,,,x
Droseraceae,Drosera,erythrohiza,,RSS,x,x,,x,x
