cleaned_name,taxonomic_reference,cleaned_scientific_name_id,cleaned_name_taxonomic_status,cleaned_name_alternative_taxonomic_status,taxon_name,taxon_id,scientific_name_authorship,taxon_rank,taxonomic_status,family,taxon_distribution,establishment_means,scientific_name,scientific_name_id
Abelia x grandiflora,APC,https://id.biodiversity.org.au/name/apni/190758,accepted,NA,Abelia x grandiflora,https://id.biodiversity.org.au/taxon/apni/51432945,(Rovelli ex Andr̩) Rehder,Species,accepted,Caprifoliaceae,NSW (naturalised),naturalised,Abelia x grandiflora (Rovelli ex Andr̩) Rehder,https://id.biodiversity.org.au/name/apni/190758
Abelmoschus ficulneus,APC,https://id.biodiversity.org.au/name/apni/55929,accepted,NA,Abelmoschus ficulneus,https://id.biodiversity.org.au/node/apni/2897916,(L.) Wight,Species,accepted,Malvaceae,"WA, NT, Qld",native,Abelmoschus ficulneus (L.) Wight,https://id.biodiversity.org.au/name/apni/55929
Abelmoschus manihot,APC,https://id.biodiversity.org.au/name/apni/55937,accepted,NA,Abelmoschus manihot,https://id.biodiversity.org.au/node/apni/2901085,(L.) Medik.,Species,accepted,Malvaceae,"ChI, NT, Qld (naturalised), NSW (doubtfully naturalised)",native and naturalised,Abelmoschus manihot (L.) Medik.,https://id.biodiversity.org.au/name/apni/55937
Abelmoschus manihot subsp. manihot,APC,https://id.biodiversity.org.au/name/apni/116920,accepted,NA,Abelmoschus manihot subsp. manihot,https://id.biodiversity.org.au/node/apni/2917035,NA,Subspecies,accepted,Malvaceae,"Qld (naturalised), NSW (doubtfully naturalised)",naturalised,Abelmoschus manihot (L.) Medik. subsp. manihot,https://id.biodiversity.org.au/name/apni/116920
Abelmoschus manihot subsp. tetraphyllus,APC,https://id.biodiversity.org.au/name/apni/55945,accepted,NA,Abelmoschus manihot subsp. tetraphyllus,https://id.biodiversity.org.au/node/apni/2892917,(Roxb. ex Hornem.) Borss.Waalk.,Subspecies,accepted,Malvaceae,"ChI, Qld (naturalised)",native and naturalised,Abelmoschus manihot subsp. tetraphyllus (Roxb. ex Hornem.) Borss.Waalk.,https://id.biodiversity.org.au/name/apni/55945
Abelmoschus moschatus,APC,https://id.biodiversity.org.au/name/apni/55953,accepted,NA,Abelmoschus moschatus,https://id.biodiversity.org.au/node/apni/2900572,Medik.,Species,accepted,Malvaceae,"WA, NT, Qld, NSW (naturalised)",native and naturalised,Abelmoschus moschatus Medik.,https://id.biodiversity.org.au/name/apni/55953
Abelmoschus moschatus subsp. biakensis,APC,https://id.biodiversity.org.au/name/apni/116595,accepted,NA,Abelmoschus moschatus subsp. biakensis,https://id.biodiversity.org.au/node/apni/2907435,(Hochr.) Borss.Waalk.,Subspecies,accepted,Malvaceae,WA,native,Abelmoschus moschatus subsp. biakensis (Hochr.) Borss.Waalk.,https://id.biodiversity.org.au/name/apni/116595
Abelmoschus moschatus subsp. moschatus,APC,https://id.biodiversity.org.au/name/apni/243806,accepted,NA,Abelmoschus moschatus subsp. moschatus,https://id.biodiversity.org.au/node/apni/2911283,NA,Subspecies,accepted,Malvaceae,NSW (naturalised),naturalised,Abelmoschus moschatus Medik. subsp. moschatus,https://id.biodiversity.org.au/name/apni/243806
Abelmoschus moschatus subsp. tuberosus,APC,https://id.biodiversity.org.au/name/apni/55961,accepted,NA,Abelmoschus moschatus subsp. tuberosus,https://id.biodiversity.org.au/node/apni/2919287,(Span.) Borss.Waalk.,Subspecies,accepted,Malvaceae,"WA, NT, Qld",native,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,https://id.biodiversity.org.au/name/apni/55961
Abildgaardia ovata,APC,https://id.biodiversity.org.au/name/apni/150737,accepted,NA,Abildgaardia ovata,https://id.biodiversity.org.au/node/apni/2919627,(Burm.f.) Kral,Species,accepted,Cyperaceae,"NT, Qld, NSW",native,Abildgaardia ovata (Burm.f.) Kral,https://id.biodiversity.org.au/name/apni/150737
Abildgaardia vaginata,APC,https://id.biodiversity.org.au/name/apni/56037,accepted,nomenclatural synonym,Abildgaardia vaginata,https://id.biodiversity.org.au/node/apni/2899106,R.Br.,Species,accepted,Cyperaceae,"NT, Qld, NSW",native,Abildgaardia vaginata R.Br.,https://id.biodiversity.org.au/name/apni/56037
