leaf age,type,description
0,field,red/expanding leaves
0/1,field,red/expanding leaves & new leaves
0/1/3,field,red/expanding leaves & new leaves & old leaves
0/2,field,red/expanding leaves & expanded leaves
0/3,field,red/expanding leaves & old leaves
1,field,new leaves & old leaves
2,field,expanded leaves
2to3,field,expanded leaves & old leaves
3,field,old leaves
1/3,field,new leaves & old leaves
