Ort,Site,latitude,Typ,Species,art#,#,dec/ev,de,Höhe,Umf,leaf type,age,sample wt,sample area,SLA,SLA,m2/kg,,N [mg/g],N(mg/g),N [mg/g],sample#,d13C,d13C,d13C,,delta,delta,delta,art,rainfall,15N,15N,15N
,,dg.mi,,,,,,,m,(cm),,,(g),(cm2),young,exp.,old,,young,expanding,0ld,old,young,expanding,old,,young,expanding,old,,mm,young,expanding,old
1,Melville Island 1,11.77,0.0,Cochlospermum fraseri,16,1,deciduous,2,3,15,"new leaves, deciduous",1,3.18,272.89,,8.58,,,,14.10,,1,,-29.1,,,,21.94,,Cho/de/yg,1801,,-0.51,
1,Melville Island 1,11.77,5.0,Cycas armstrongii,17,1,evergreen,1,1.5,32,old leaves,3,3.29,224.10,,,6.81,,,,21.04,2, ,,-25.6,,,,18.27,Cyc/ev/old,1801,,,-1.67
1,Melville Island 1,11.77,1.0,Erythrophleum chlorostachys ,18,1,deciduous,2,13.5,93,new leaves,1,3.09,328.53,,,10.63,,,,23.37,3,-26.1,,,,,,18.79,Ery/de/yg,1801,,,-1.41
1,Melville Island 1,11.77,1.0,Erythrophleum chlorostachys ,18,2,deciduous,2,15,77,new leaves,1,3.11,299.20,,,9.62,,,,23.12,4,-26.7,,,,,,19.42,Ery/de/yg,1801,,,-1.11
1,Melville Island 1,11.77,1.0,Erythrophleum chlorostachys ,18,3,deciduous,2,17,120,new leaves,1,2.85,267.71,,,9.39,,,,22.60,5,-26.0,,,,,,18.69,Ery/de/yg,1801,,,-1.36
1,Melville Island 1,11.77,2.0,Eucalyptus miniata,24,2,evergreen,1,27,92,old ,3,3.27,152.07,,,4.65,,,,8.18,8,,,-29.1,,,,21.94,E.m/e/old,1801,,,-4.66
1,Melville Island 1,11.77,2.0,Eucalyptus miniata,24,1,evergreen,1,21.5,78,red/expanded,0/2,3.28,172.38,3.14,5.26,,,12.12,12.70,,"6,7",-25.3,-26.4,,,17.95,19.10,,E.m./e/med,1801,-4.89,-3.54,
1,Melville Island 1,11.77,2.0,Eucalyptus miniata,24,3,evergreen,1,19,100,red/expanded,0/2,3.16,164.03,3.62,5.19,,,12.34,12.03,,"9,10",-26.4,-28.5,,,19.10,21.31,,E.m/e/med,1801,-1.22,-1.38,
1,Melville Island 1,11.77,2.0,Eucalyptus nesophilla ,25,1,evergreen,1,25.5,167,red/expanding,0/2,2.54,160.01,3.69,6.30,,,11.60,14.12,,"11,12",-27.1,-27.2,,,19.84,19.94,,E.n/e/old,1801,-2.28,-1.21,
