site,species,growth form,leaf longevity,Nfixer,SLA,Nmass%,Narea g/m2,d13C,15N
Kapalga,Buchanania obovata,T,D,N,76.2,1.8,2.3,-26.75,-0.49
Kapalga,Erythrophleum chlorostachys,T,D,Y,108.8,2.4,2.2,-25.7,-0.7
Kapalga,Planchonia careya,T,E,N,88.5,2,2.3,-25.3,-1.25
Kapalga,Acacia mimula,T,E,Y,53.8,2.4,4.4,-28.9,-3
Kapalga,Eucalyptus clavigera,T,D,N,54,1.2,2.2,-26.2,-0.3
Kapalga,Eucalyptus miniata,T,E,N,55,1.1,2,-27.9,-1.5
Kapalga,Eucalyptus porrecta,T,D,N,77.8,1.2,1.6,-28.8,-1.3
Kapalga,Eucalyptus tectifica,T,E,N,75.9,1.6,2.1,-26.2,-0.3
Kapalga,Eucalyptus tetradonta,T,E,N,45,0.9,2,-27.2,-1.4
Kapalga,Xanthostemon paradoxus,T,E,N,77.4,1.5,1.9,-25.8,-0.04
Kapalga,Livistona humilis,T,E,N,42.5,1.1,2.7,-29.3,1.2
Katherine,Buchanania obovata,T,D,N,62,1.2,1.9,-27.1,1.45
Katherine,Petalostigma quadriloculare,S,E,N,49.4,0.7,1.4,-29.8,0.24
Katherine,Lysiphyllum cunninghamii,T,E,Y,69.3,1.5,2.2,-27.4,3.29
Katherine,Planchonia careya,T,D,N,62.4,1.8,2.9,-27,-2.27
Katherine,Acacia dimidiata,S,E,Y,50.1,2.2,4.3,-26.1,0.06
Katherine,Eucalyptus bleeseri,T,E,N,43.7,0.9,2.1,-26.9,1.1
Katherine,Eucalyptus conferiflora,T,S-D,N,71.2,1.2,1.6,-27.2,0.9
Katherine,Eucalyptus miniata,T,E,N,47.1,1.1,2.3,-27.2,-0.7
Katherine,Eucalyptus tectifica,T,D,N,47.8,1.1,2.2,-26,1.9
Katherine,Eucalyptus tetrodonta,T,E,N,39.4,0.9,2.3,-27,0.3
Katherine,Grevillea pyramidalis,S,E,N,10.3,0.6,3.4,-25.3,5.4
Kidman Springs,Carissa lanceolata,S,E,N,44.7,1.3,2.9,-28.9,4.25
Kidman Springs,Lysiphyllum cunninghamii,T,E,Y,71.8,1.3,1.8,-27.7,2.72
Kidman Springs,Acacia holosericea,T,E,Y,35.8,1.9,5.4,-27.9,-1.15
Kidman Springs,Eucalyptus brevifolia,T,E,N,34,0.8,2.4,-26.4,12.8
Kidman Springs,Eucalyptus pruinosa,T,E,N,41.4,1.1,2.6,-28.3,3
Kidman Springs,Eucalyptus pruinosa,T,E,N,44.9,1.3,3,-26.9,8.79
Kidman Springs,Eucalyptus tectifica,T,E,N,37.9,1.1,2.9,-25.9,3.6
Kidman Springs,Eucalyptus terminalis,T,E,N,38.7,0.9,2.3,-27,0.3
Kidman Springs,Melaleuca sp,S,E,N,16.5,1,6.2,-27.4,8.2
Kidman Springs,Hakea arborescens,T,E,N,24.9,0.6,2.3,-26.5,1.98
Melville Island,Cochlospermum fraseri,T,D,N,85.8,1.4,1.6,-29.1,-0.51
Melville Island,Cycas armstrongii,?,E,N,68.1,2.1,3.1,-25.6,-1.67
Melville Island,Erythrophleum chlorostachys,T,D,Y,98.8,2.3,2.3,-26.27,-1.29
Melville Island,Eucalyptus miniata,T,E,N,50.3,1.1,2.2,-28,-3.19
Melville Island,Eucalyptus nesophilla,T,E,N,62.8,1.3,2,-27,-0.835
Melville Island,Eucalyptus tetrodonta,T,E,N,45.6,1.1,2.4,-27.47,-1.98
Melville Island,Livistona humilis,T,E,N,49.8,1.8,3.5,-30.5,1.65
Melville Island,Persoonia falcata,S,E,N,48,0.7,1.5,-30,4.09
Mt_Sanford,Terminalia arostrata,T,E,N,44,1.1,2.4,-27.6,3.35
Mt_Sanford,Terminalia canescens,T,E,N,52.1,1,1.8,-27.8,8.34
Mt_Sanford,Lysiphyllum cunninghamii,T,E,Y,100.4,2.5,2.4,-24.8,4.04
Mt_Sanford,Eucalyptus brevifolia,T,E,N,34.3,0.9,2.6,-27.3,5.6
Mt_Sanford,Eucalyptus terminalis,T,E,N,35.2,1,2.9,-27.1,6.1
Mt_Sanford,Grevillea dimidiata,S,E,N,30,0.8,2.6,-29,1.12
Mt_Sanford,Hakea leucoptera,T,E,N,6.8,0.5,5,-26.8,-2.26
Mt_Sanford,Ventilago viminalis,V,E,N,20.8,1.5,7.2,-27.1,-0.35
