Species,Family,Continent,Climate,Mass (5weeks; g)-mean,Mass (5weeks; g)-sd,root extension rate (5weeks ; mm d-1)-mean,root extension rate (5weeks ; mm d-1)-sd,STRL (5weeks; gm-1)-mean,STRL (5weeks; gm-1)-SD,STRL (5weeks; gm-1)-N,Mass (20 weeks; g) - mean,Mass (20 weeks; g) - sd,RMF (20 weeks; g g-1) - mean,RMF (20 weeks; g g-1) - sd,SMF (20 weeks; g g-1) - mean,SMF (20 weeks; g g-1) - sd,LMF (20 weeks; g g-1); mean,LMF (20 weeks; g g-1); sd,LMF (20 weeks; g g-1); N,RGR (from 5 to 20weeks; (g g-1d-1)) - mean,RGR (from 5 to 20weeks; (g g-1d-1))-sd
Acacia aulacocarpa,Fabaceae,Australia,H,0.244,0.164,10.114,3.508,10.06,4.78,10,31.159,22.241,0.152,0.103,0.201,0.035,0.646,0.079,9,0.047,0.006
Acacia bidwillii,Fabaceae ,Australia,H,0.377,0.154,18.078,4.24,7.695,2.15,10,8.111,8.98,0.397,0.125,0.214,0.07,0.389,0.092,10,0.028,0.009
Acacia cambagei,Fabaceae,Australia,SA,0.199,0.141,20.632,6.215,21.726,12.823,10,5.75,4.052,0.192,0.045,0.183,0.035,0.625,0.057,10,0.035,0.009
Acacia erioloba,Fabaceae ,Africa,SA,0.816,0.175,30.309,2.117,6.924,1.455,5,7.417,2.645,0.364,0.122,0.277,0.055,0.36,0.076,5,0.021,0.003
Acacia harpophylla,Fabaceae,Australia,SA,0.205,0.131,18.174,7.208,11.881,4.432,10,3.03,2.38,0.242,0.08,0.179,0.038,0.579,0.06,10,0.024,0.007
Acacia mellifera,Fabaceae ,Africa,SA,0.292,0.2,25.411,6.544,16.296,8.461,5,7.71,4.512,0.245,0.042,0.441,0.014,0.309,0.059,5,0.032,0.008
Acacia natalitia,Fabaceae,Africa,H,0.474,0.211,20.62,7.234,5.814,1.736,10,67.097,33.109,0.343,0.054,0.287,0.044,0.369,0.032,9,0.049,0.005
Acacia nigrescens,Fabaceae ,Africa,SA,1.6,1.029,29.689,2.255,3.231,1.889,10,32.145,10.864,0.466,0.068,0.282,0.037,0.252,0.048,10,0.031,0.004
Acacia nilotica,Fabaceae,Africa,H,0.675,0.302,18.822,4.946,4.338,3.684,10,17.718,1.94,0.354,0.062,0.319,0.032,0.327,0.046,5,0.035,0.002
Acacia shirleyi,Fabaceae ,Australia,SA,0.128,0.097,12.166,5.162,33.371,27.428,10,12.71,16.077,0.119,0.046,0.214,0.047,0.668,0.067,10,0.031,0.02
Acacia sieberiana,Fabaceae,Africa,H,0.786,0.491,22.143,6.166,4.23,2.778,10,37.317,23.949,0.612,0.189,0.175,0.113,0.213,0.088,9,0.039,0.005
