Genus_species,Leaf_area_cm2,Leaf_weight_g,LMA_g_m2,lamina_depth_um,leaf_type,leaf_shape,SITE_text,latitude (deg),longitude (deg)
Acacia decora,1.3,0.0206,158,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia decora,1.4,0.0227,162,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia decora,1.7,0.0263,155,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia decora,1.07,0.018,168,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia decora,1.06,0.0174,164,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia decora,1.14,0.0189,166,245,phyllode,oblanceolate,The Rock,-35.26666667,147.0666667
Acacia doratoxylon,5.92,0.1804,305,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia doratoxylon,5.52,0.1645,298,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia doratoxylon,4.29,0.1286,300,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia doratoxylon,6.1,0.1685,276,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia doratoxylon,6.83,0.1976,289,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia doratoxylon,6.04,0.1737,288,382,phyllode,linear,The Rock,-35.26666667,147.0666667
Acacia linearifolia,1.18,0.0304,258,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia linearifolia,1.07,0.0286,267,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia linearifolia,1.38,0.0343,249,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia linearifolia,1.35,0.0338,250,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia linearifolia,1.17,0.028,239,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia linearifolia,1.2,0.0294,245,349,phyllode,linear,The Rock,-35.26666667,147.0666667
Acacia pycnantha,13.71,0.2991,218,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia pycnantha,14.61,0.2831,194,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia pycnantha,11.75,0.2632,224,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia pycnantha,11.69,0.2259,193,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia pycnantha,13.68,0.311,227,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia pycnantha,8.32,0.167,201,368,phyllode,oblanceolate,The Rock,-35.26666667,147.0666667
Acacia verniciflua,1.73,0.0269,155,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia verniciflua,1.58,0.0212,134,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia verniciflua,1.34,0.0177,132,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia verniciflua,2.2,0.0273,124,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia verniciflua,3.07,0.0327,107,,phyllode,,The Rock,-35.26666667,147.0666667
Acacia verniciflua,2.99,0.0355,119,224,phyllode,elliptic,The Rock,-35.26666667,147.0666667
Allocasuarina verticillata,0.0721,.na,.na,,article,,The Rock,-35.26666667,147.0666667
Allocasuarina verticillata,0.0653,.na,.na,,article,,The Rock,-35.26666667,147.0666667
Allocasuarina verticillata,0.0703,.na,.na,,article,,The Rock,-35.26666667,147.0666667
Allocasuarina verticillata,0.0739,.na,.na,,article,,The Rock,-35.26666667,147.0666667
Allocasuarina verticillata,0.1034,.na,.na,,article,,The Rock,-35.26666667,147.0666667
Allocasuarina verticillata,0.069,.na,.na,258,article,linear,The Rock,-35.26666667,147.0666667
Ameyma miquelii,12.31,0.4585,372,,broadleaf,,The Rock,-35.26666667,147.0666667
Ameyma miquelii,15.33,0.6057,395,,broadleaf,,The Rock,-35.26666667,147.0666667
Ameyma miquelii,10.96,0.3207,293,,broadleaf,,The Rock,-35.26666667,147.0666667
Ameyma miquelii,12.41,0.4845,390,,broadleaf,,The Rock,-35.26666667,147.0666667
Ameyma miquelii,5.89,0.1484,252,,broadleaf,,The Rock,-35.26666667,147.0666667
Ameyma miquelii,8.49,0.2952,348,575,broadleaf,linear to elliptic,The Rock,-35.26666667,147.0666667
Astroloma humifusum,0.077,0.0018,234,,broadleaf,,The Rock,-35.26666667,147.0666667
Astroloma humifusum,0.075,0.0016,213,,broadleaf,,The Rock,-35.26666667,147.0666667
Astroloma humifusum,0.057,0.0011,193,,broadleaf,,The Rock,-35.26666667,147.0666667
Astroloma humifusum,0.062,0.0008,129,,broadleaf,,The Rock,-35.26666667,147.0666667
Astroloma humifusum,0.062,0.0008,129,,broadleaf,,The Rock,-35.26666667,147.0666667
Astroloma humifusum,0.079,0.0013,165,310,broadleaf,narrow elliptic,The Rock,-35.26666667,147.0666667
Beyeria viscosa,1.47,0.0254,173,,broadleaf,,The Rock,-35.26666667,147.0666667
Beyeria viscosa,1.28,0.0262,205,,broadleaf,,The Rock,-35.26666667,147.0666667
Beyeria viscosa,1.7,0.027,159,,broadleaf,,The Rock,-35.26666667,147.0666667
Beyeria viscosa,1.2,0.0221,184,,broadleaf,,The Rock,-35.26666667,147.0666667
Beyeria viscosa,1.34,0.0254,190,,broadleaf,,The Rock,-35.26666667,147.0666667
Beyeria viscosa,1.19,0.0219,184,300,broadleaf,oblanceolate,The Rock,-35.26666667,147.0666667
Brachychiton populneus,6.55,0.0802,122,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachychiton populneus,8.56,0.0946,111,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachychiton populneus,5.62,0.06,107,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachychiton populneus,6.02,0.0752,125,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachychiton populneus,5.89,0.0632,107,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachychiton populneus,5.62,0.0634,113,208,broadleaf,lanceolate to ovate,The Rock,-35.26666667,147.0666667
Brachyloma daphnoides,0.193,0.0027,140,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachyloma daphnoides,0.22,0.003,136,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachyloma daphnoides,0.299,0.0045,151,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachyloma daphnoides,0.189,0.0032,169,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachyloma daphnoides,0.215,0.003,140,,broadleaf,,The Rock,-35.26666667,147.0666667
Brachyloma daphnoides,0.257,0.0037,144,305,broadleaf,ovate elliptic,The Rock,-35.26666667,147.0666667
Callitris endlicheri,0.0146,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris endlicheri,0.0159,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris endlicheri,0.0128,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris endlicheri,0.0115,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris endlicheri,0.0101,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris endlicheri,0.0125,.na,.na,513,decurrent leaf base,linear,The Rock,-35.26666667,147.0666667
Callitris glaucophylla,0.0126,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris glaucophylla,0.0116,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris glaucophylla,0.0128,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris glaucophylla,0.0149,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris glaucophylla,0.0102,.na,.na,,decurrent leaf base,,The Rock,-35.26666667,147.0666667
Callitris glaucophylla,0.0166,.na,.na,340,decurrent leaf base,linear,The Rock,-35.26666667,147.0666667
Calytrix tetragona,0.0227,0.00056,247,,broadleaf,,The Rock,-35.26666667,147.0666667
Calytrix tetragona,0.0222,0.00053,239,,broadleaf,,The Rock,-35.26666667,147.0666667
Calytrix tetragona,0.0219,0.00056,256,,broadleaf,,The Rock,-35.26666667,147.0666667
Calytrix tetragona,0.0219,0.0005,228,,broadleaf,,The Rock,-35.26666667,147.0666667
Calytrix tetragona,0.0359,0.0011,306,,broadleaf,,The Rock,-35.26666667,147.0666667
Calytrix tetragona,0.0392,0.001,255,693,broadleaf,linear,The Rock,-35.26666667,147.0666667
Calytrix tetragona,,,,,broadleaf,,The Rock,-35.26666667,147.0666667
Cassinia laevis,0.109,0.0026,239,,broadleaf,,The Rock,-35.26666667,147.0666667
Cassinia laevis,0.1177,0.0021,178,,broadleaf,,The Rock,-35.26666667,147.0666667
Cassinia laevis,0.1756,0.0027,154,,broadleaf,,The Rock,-35.26666667,147.0666667
Cassinia laevis,0.1782,0.0033,185,,broadleaf,,The Rock,-35.26666667,147.0666667
Cassinia laevis,0.1413,0.0024,170,,broadleaf,,The Rock,-35.26666667,147.0666667
Cassinia laevis,0.1196,0.0022,184,152,broadleaf,linear,The Rock,-35.26666667,147.0666667
Dianella revoluta,64,,,490,broadleaf,linear,The Rock,-35.26666667,147.0666667
Dillwynia juniperina,0.1049,0.0031,296,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia juniperina,0.0525,0.0014,267,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia juniperina,0.0499,0.0017,341,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia juniperina,0.1091,0.0031,284,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia juniperina,0.0422,0.0011,261,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia juniperina,0.0663,0.0017,256,230,broadleaf,linear,The Rock,-35.26666667,147.0666667
Dillwynia sericea,0.0354,0.001,282,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia sericea,0.0238,0.0007,294,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia sericea,0.0253,0.0008,316,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia sericea,0.0278,0.00075,270,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia sericea,0.0229,0.0006,262,,broadleaf,,The Rock,-35.26666667,147.0666667
Dillwynia sericea,0.0299,0.00085,284,318,broadleaf,linear,The Rock,-35.26666667,147.0666667
Dodonea viscosa subsp. cuneata,0.8,0.0112,140,,broadleaf,,The Rock,-35.26666667,147.0666667
Dodonea viscosa subsp. cuneata,0.893,0.0126,141,,broadleaf,,The Rock,-35.26666667,147.0666667
Dodonea viscosa subsp. cuneata,0.782,0.011,141,,broadleaf,,The Rock,-35.26666667,147.0666667
Dodonea viscosa subsp. cuneata,0.668,0.0095,142,,broadleaf,,The Rock,-35.26666667,147.0666667
Dodonea viscosa subsp. cuneata,0.932,0.0119,128,,broadleaf,,The Rock,-35.26666667,147.0666667
Dodonea viscosa subsp. cuneata,0.904,0.0141,156,270,broadleaf,cuneate,The Rock,-35.26666667,147.0666667
Eucalyptus albens,30.89,0.808,262,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus albens,20.53,0.5634,274,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus albens,12.03,0.303,252,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus albens,26.42,0.7954,301,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus albens,21.58,0.6294,292,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus albens,21.48,0.5993,279,420,broadleaf,broad lanceolate,The Rock,-35.26666667,147.0666667
Eucalyptus blakelyi,13.01,0.2768,213,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus blakelyi,14.62,0.3192,218,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus blakelyi,16.37,0.3717,227,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus blakelyi,11.8,0.2543,216,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus blakelyi,20.85,0.4544,218,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus blakelyi,11.88,0.2737,230,380,broadleaf,lanceolate,The Rock,-35.26666667,147.0666667
Eucalyptus macrorhyncha,14.51,0.2997,207,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus macrorhyncha,11.86,0.2463,208,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus macrorhyncha,10.62,0.257,242,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus macrorhyncha,8.69,0.1934,223,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus macrorhyncha,10.24,0.2391,233,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus macrorhyncha,12.32,0.2575,209,370,broadleaf,lanceolate,The Rock,-35.26666667,147.0666667
Eucalyptus microcarpa,19.91,0.5356,269,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus microcarpa,17.55,0.4989,284,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus microcarpa,8.57,0.2569,300,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus microcarpa,15.3,0.449,293,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus microcarpa,12.91,0.3456,268,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus microcarpa,17.02,0.4441,261,440,broadleaf,lanceolate,The Rock,-35.26666667,147.0666667
Eucalyptus polyanthemos,12.08,0.2217,184,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus polyanthemos,13.15,0.2362,180,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus polyanthemos,9.6,0.1731,180,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus polyanthemos,11.55,0.1997,173,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus polyanthemos,11.75,0.2137,182,,broadleaf,,The Rock,-35.26666667,147.0666667
Eucalyptus polyanthemos,8.5,0.1513,178,370,broadleaf,ovate elliptic,The Rock,-35.26666667,147.0666667
Exocarpos,0.0024,.na,.na,,scale_leaf,,The Rock,-35.26666667,147.0666667
Exocarpos,0.0034,.na,.na,,scale_leaf,,The Rock,-35.26666667,147.0666667
Exocarpos,0.007,.na,.na,,scale_leaf,,The Rock,-35.26666667,147.0666667
Exocarpos,0.0046,.na,.na,,scale_leaf,,The Rock,-35.26666667,147.0666667
Exocarpos,0.0065,.na,.na,,scale_leaf,,The Rock,-35.26666667,147.0666667
Exocarpos,0.0074,.na,.na,160,scale_leaf,,The Rock,-35.26666667,147.0666667
Goodenia ovata,7.26,0.063,87,,broadleaf,,The Rock,-35.26666667,147.0666667
Goodenia ovata,7.19,0.0583,81,,broadleaf,,The Rock,-35.26666667,147.0666667
Goodenia ovata,7.3,0.058,79,,broadleaf,,The Rock,-35.26666667,147.0666667
Goodenia ovata,4.58,0.0366,80,,broadleaf,,The Rock,-35.26666667,147.0666667
Goodenia ovata,5.33,0.0436,82,,broadleaf,,The Rock,-35.26666667,147.0666667
Goodenia ovata,6.7,0.0507,76,217,broadleaf,ovate elliptic,The Rock,-35.26666667,147.0666667
Grevillea floribunda,2.91,0.0669,230,,broadleaf,,The Rock,-35.26666667,147.0666667
Grevillea floribunda,3.45,0.0658,191,,broadleaf,,The Rock,-35.26666667,147.0666667
Grevillea floribunda,4.2,0.0738,176,,broadleaf,,The Rock,-35.26666667,147.0666667
Grevillea floribunda,4.24,0.0757,179,,broadleaf,,The Rock,-35.26666667,147.0666667
Grevillea floribunda,2.76,0.0656,238,,broadleaf,,The Rock,-35.26666667,147.0666667
Grevillea floribunda,3.05,0.0642,210,220,broadleaf,oblong elliptic,The Rock,-35.26666667,147.0666667
Hibbertia sericea,0.215,0.0042,195,,broadleaf,,The Rock,-35.26666667,147.0666667
Hibbertia sericea,0.18,0.0041,228,,broadleaf,,The Rock,-35.26666667,147.0666667
Hibbertia sericea,0.187,0.004,214,,broadleaf,,The Rock,-35.26666667,147.0666667
Hibbertia sericea,0.126,0.0035,278,,broadleaf,,The Rock,-35.26666667,147.0666667
Hibbertia sericea,0.185,0.0037,200,,broadleaf,,The Rock,-35.26666667,147.0666667
Hibbertia sericea,0.144,0.0031,215,205,broadleaf,linear,The Rock,-35.26666667,147.0666667
Lissanthe strigosa,0.183,0.0071,388,,broadleaf,,The Rock,-35.26666667,147.0666667
Lissanthe strigosa,0.173,0.0069,399,,broadleaf,,The Rock,-35.26666667,147.0666667
Lissanthe strigosa,0.157,0.007,446,,broadleaf,,The Rock,-35.26666667,147.0666667
Lissanthe strigosa,0.17,0.0074,435,,broadleaf,,The Rock,-35.26666667,147.0666667
Lissanthe strigosa,0.172,0.0059,343,,broadleaf,,The Rock,-35.26666667,147.0666667
Lissanthe strigosa,0.151,0.0057,377,660,broadleaf,lanceolate,The Rock,-35.26666667,147.0666667
Lomandra filiformis,1.45,,373,,broadleaf,,The Rock,-35.26666667,147.0666667
Lomandra filiformis,2.42,,427,,broadleaf,,The Rock,-35.26666667,147.0666667
Lomandra filiformis,1.88,,431,,broadleaf,,The Rock,-35.26666667,147.0666667
Lomandra filiformis,2.39,,409,,broadleaf,,The Rock,-35.26666667,147.0666667
Lomandra filiformis,4.41,,332,,broadleaf,,The Rock,-35.26666667,147.0666667
Lomandra filiformis,2.8,,380,460,broadleaf,linear,The Rock,-35.26666667,147.0666667
Melichrus urceolatus,0.221,0.038,1719,,broadleaf,,The Rock,-35.26666667,147.0666667
Melichrus urceolatus,0.2586,0.0045,174,,broadleaf,,The Rock,-35.26666667,147.0666667
