Block!,Column!,Row!,Species!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,P_LL,LMR_D,LMR,RMR_D,RMR,Total_B,Total_Bln,Total_B_D,Total_BG,Total_LL,Total_LD,Total_LF,ABG,ABG_D,ABG_BG,ABG_BG_D,LMR_Comments,Was_Licored!,Photo,Cond,Ci,Trmmol,VpdL,Ci_Ca,WUEi,Photo_D,Cond_D,Ci_D,Trmmol_D,VpdL_D,Ci_Ca_D,WUEi_D,SLA_Licorred,fresh_weight_g,turgid_weight_g,water_uptake_g,water_content_g,dry_weight_g,dry_weight_mg,RWC,area_cm2,area_mm2,SLA_cm_g:4,SLA_mm_mg,LMA_gr,LMA_mm_mg,SLA_Done,%N:1,%C:1,d13C:2,complete,insufficient_sample,Average_PRI,species_name,population,water_treatment,context
2,5,e,ag,1,LoElev,LoWat,1,ag1LoElev1,7,8,15,0.466666667,0.59039913,0.573431525,0.384918746,0.4008639,1.4707,0.385738478,1.4122,0.5661,0.8098,0.0585,0.8683,0.9046,0.8461,1.597950892,1.494612259,Okay,Yes,13.46218562,0.272922592,287.9455172,2.260421802,0.815384004,0.767071897,49.32602135,11.73786049,0.340263319,322.9947378,4.108209651,1.208195763,0.830557063,34.49640272,y,0.3994,0.4238,0.0244,0.2888,0.135,13.5,0.915512465,8.868,886.8,65.6889,6.568888889,0.015223275,NA,Yes,NA,NA,NA,NA,No,0.0039,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 1 grown under low water conditions
1,11,a,ag,1,LoElev,LoWat,2,ag1LoElev2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Root Weight,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,-0.036233333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 1 grown under low water conditions
3,9,d,ag,1,LoElev,HiWat,3,ag1LoElev3,7,6,13,0.538461538,0.808287825,0.808287825,0.172759396,0.172759396,1.5565,0.442439711,1.5565,0.2689,1.2581,NA,1.2581,1.2876,1.2876,4.788397174,4.788397174,Okay,Yes,2.140370579,0.069325458,339.2178272,0.976345093,1.338661954,0.85289232,30.8742362,4.87340416,0.030314843,125.7931924,0.307112459,0.949111197,0.323610255,160.7596687,y,0.6078,0.6079,1e-4,0.4193,0.1886,18.86,0.999761507,12.28,1228,65.1113,6.511134677,0.015358306,NA,Yes,3.4,43.9,-26.04,AGM1L3,No,0.047566667,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 1 grown under high water conditions
1,13,a,ag,1,LoElev,HiWat,4,ag1LoElev4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Root Weight,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,0.057133333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 1 grown under high water conditions
2,7,b,ag,1,LoElev,LoWat,5,ag1LoElev5,8,12,20,0.4,0.654348016,0.70047811,0.218670637,0.234086435,1.1419,0.132693542,1.0667,0.2497,0.7472,0.0752,0.8224,0.8922,0.817,3.573087705,3.271926312,Okay,Yes,10.5462573,0.260463501,305.6155188,2.542718281,0.972559202,0.80483214300000006,40.49034605,5.755282074,0.146041441,315.5213982,1.772084057,1.174040489,0.813719368,39.40855449,y,0.4542,0.4754,0.0212,0.3395,0.1359,13.59,0.937555228,9.138,913.8,67.2406,6.72406181,0.014871963,NA,Yes,4.8,41.4,-27.08,AGM1L5,No,0.0224,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 1 grown under low water conditions
2,4,g,ag,1,LoElev,HiWat,6,ag1LoElev6,2,12,14,0.142857143,0.166764533,0.395543175,0.214327657,0.508356546,0.1703,-1.770193691,0.0718,0.0365,0.0284,0.0985,0.1269,0.1338,0.0353,3.665753425,0.967123288,Okay,Yes,0.559921366,0.011982033,316.3101121,0.153129625,1.197378185,0.793674489,46.73008193,5.103585406,0.069963919,255.4937765,0.600210771,0.813597207,0.675000419,72.94596213,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,-0.036233333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 1 grown under high water conditions
3,8,b,ag,1,LoElev,HiWat,6,ag1LoElev6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Root Weight,No,NA,NA,NA,NA,NA,NA,NA,5.446778097,0.084904783,272.6559846,0.909983795,1.022792653,0.712168809,64.15160485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,0.0039,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 1 grown under high water conditions
1,1,e,ag,1,LoElev,HiWat,7,ag1LoElev7,5,4,9,0.555555556,0.509035222,0.547250576,0.390811639,0.420151465,0.3265,-1.11932533,0.3037,0.1276,0.1662,0.0228,0.189,0.1989,0.1761,1.558777429,1.380094044,Okay,Yes,0.235661944,0.015875362,365.4892547,0.248393518,1.470154299,0.916127672,14.84450818,NA,NA,NA,NA,NA,NA,NA,y,0.0466,0.0478,0.0012,0.0354,0.0124,1.24,0.966101695,1.58,158,127.4194,12.74193548,0.007848101,NA,Yes,2.6,45.8,-24.94,AGM1L7,No,0.29133333300000003,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 1 grown under high water conditions
3,4,a,ag,1,LoElev,LoWat,8,ag1LoElev8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Root Weight,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,0.057133333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 1 grown under low water conditions
1,9,a,ag,1,LoElev,LoWat,9,ag1LoElev9,4,5,9,0.444444444,0.356031522,0.367389491,0.576884219,0.59528774,0.4949,-0.703399557,0.4796,0.2855,0.1762,0.0153,0.1915,0.2094,0.1941,0.733450088,0.679859895,Okay,Yes,6.093824287,0.08083618,261.7163202,1.066136069,1.261050448,0.66892739,75.38486211,NA,NA,NA,NA,NA,NA,NA,y,0.063,0.0683,0.0053,0.0478,0.0205,2.05,0.889121339,1.89,189,92.1951,9.219512195,0.010846561,NA,Yes,2.4,43.6,-26.36,AGM1L9,No,0.0039,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 1 grown under low water conditions
3,14,d,ag,1,LoElev,LoWat,12,ag1LoElev12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Root Weight,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,-0.033733333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 1 grown under low water conditions
1,12,g,ag,3,LoElev,LoWat,1,ag3LoElev1,22,0,22,1,0.701016883,0.701016883,0.274558459,0.274558459,2.0553,0.720421823,2.0553,0.5643,1.4408,0,1.4408,1.491,1.491,2.64221159,2.64221159,Okay,Yes,9.549917576,0.182187806,288.0692115,1.519868059,0.821859226,0.757868026,52.41798441,8.618715666,0.171787503,275.623415,1.368312246,0.778724777,0.75865131,50.17079526,y,0.3862,0.438,0.0518,0.3227,0.1153,11.53,0.839479393,7.345,734.5,63.7034,6.370338248,0.015697754,NA,Yes,NA,NA,NA,NA,No,-0.032333333,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 3 grown under low water conditions
1,5,a,ag,3,LoElev,HiWat,2,ag3LoElev2,4,11,15,0.266666667,0.837708361,0.851340536,0.121932012,0.123916233,1.5238,0.421207215,1.4994,0.1858,1.2765,0.0244,1.3009,1.338,1.3136,7.201291712,7.069967707,Okay,Yes,10.79509318,0.293070232,319.294707,3.111521336,1.056600965,0.823386251,36.83449218,18.43797591,0.634681156,324.1911713,4.110314131,0.68849661,0.8525805,29.05076943,y,0.5138,0.534,0.0202,0.3966,0.1374,13.74,0.94906707,10.463,1046.3,76.1499,7.614992722,0.013131989,NA,Yes,4.6,42.8,-25.39,AGM3L2,No,0.026066667,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 3 grown under high water conditions
2,6,b,ag,3,LoElev,HiWat,3,ag3LoElev3,14,3,17,0.823529412,0.711378824,0.717864944,0.241298824,0.24349890799999999,5.3125,1.670062534,5.2645,1.2819,3.7792,0.048,3.8272,4.0306,3.9826,3.14423902,3.106794602,Okay,Yes,12.08312961,0.185881887,238.2803574,1.33376127,0.699906015,0.680289913,65.00434131,5.04222337,0.071223111,256.7914075,0.608478547,0.813640927,0.678008019,70.79476472,y,0.6669,0.6944,0.0275,0.4835,0.2109,21.09,0.943123061,14.384,1438.4,68.2029,6.820293978,0.014662125,NA,Yes,3.5,42.7,-26.95,AGM3L3,No,0.034,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 3 grown under high water conditions
3,1,e,ag,3,LoElev,LoWat,4,ag3LoElev4,7,1,8,0.875,0.744320592,0.758658647,0.228719096,0.233124975,2.5927,0.952699804,2.5437,0.593,1.9298,0.049,1.9788,1.9997,1.9507,3.372175379,3.289544688,Okay,Yes,14.56693743,0.111349914,169.9784611,1.192864555,1.024334443,0.437724695,130.8212721,17.58037183,0.102476431,84.59429134,0.900606762,0.83511764,0.230136023,171.5552703,y,0.6957,0.7097,0.014,0.5092,0.2005,20.05,0.972505892,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,-0.025366667,Aciphylla glacialis,low elevation,low water,low elevation maternal lineage 3 grown under low water conditions
1,2,f,ag,3,LoElev,HiWat,5,ag3LoElev5,8,7,15,0.533333333,0.659184101,0.708053368,0.262159169,0.281594599,3.3411,1.206300094,3.1105,0.8759,2.2024,0.2306,2.433,2.4652,2.2346,2.814476538,2.551204475,Okay,Yes,16.81047655,0.468654409,306.44122,3.881219481,0.874577239,0.817104424,35.86966479,13.19411445,0.389047649,283.4816365,2.06595242,0.549072004,0.820453211,33.91387785,y,0.6346,0.7269,0.0923,0.5185,0.2084,20.84,0.8219865,14.168,1416.8,67.9846,6.798464491,0.014709204,NA,Yes,NA,NA,NA,NA,No,0.051566667,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 3 grown under high water conditions
3,13,f,ag,3,LoElev,HiWat,6,ag3LoElev6,4,8,12,0.333333333,0.464654772,0.884434765,0.049200844,0.093650037,2.7967,1.028440151,1.4693,0.1376,1.2995,1.3274,2.6269,2.6591,1.3317,19.32485465,9.678052326,Okay,Yes,0.39355635,0.010380653,330.8658075,0.1262349,1.137540946,0.83033746,37.91248413,1.359846507,0.028051225,311.2607476,0.479674493,1.600597958,0.78009259,48.47725947,y,0.4538,0.5381,0.0843,0.352,0.1861,18.61,0.760511364,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,No,0.057133333,Aciphylla glacialis,low elevation,high water,low elevation maternal lineage 3 grown under high water conditions
