Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Terminalia erythrocarpa F.Muell.,NA,NA,JRS 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Terminalia ferdinandiana Exell,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Terminalia fitzgeraldii C.A.Gardner,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Terminalia grandiflora F.Muell.,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Terminalia latipes Benth.,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Terminalia microcarpa Decne.,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Terminalia platyphylla F.Muell.,NA,NA,"Yates 2003, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Terminalia platyptera F.Muell.,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Terminalia pterocarya F.Muell.,NA,NA,KNP plots,Resprouter,Epicormic shoots,NA,NA
Terminalia savannicola Byrnes,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Terminalia sp. Black Point (G.M.Wightman 120),NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Terminalia subacroptera Domin,NA,NA,JRS 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Terminalia volucris R.Br. ex Benth.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
COMMELINACEAE,NA,NA,NA,NA,NA,NA,NA
Aneilema,NA,NA,NA,NA,NA,NA,NA
Aneilema siliculosum R.Br.,NA,NA,"KNP plots, JRS 2004",Resprouter,Underground storage organs (bulbs/tubers),NA,NA
Aneilema sp. Cannon Hill (P.Martensz 810) B.Stuckey,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema,NA,NA,NA,NA,NA,NA,NA
Cartonema parviflorum Hassk.,NA,NA,NA,NA,NA,NA,NA
Cartonema sp. El Sharana (Martensz & Schoddde AE587),NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema sp. Goyder River (I.D.Cowie 8334) Harwood & Cowie,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema sp. Korlobidahdah (R.K.Harwood 874) Harwood & Cowie,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema sp. antrorse (N.Byrnes 231) Conran,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema sp. bulbous,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema sp. pedicellate (M.Lazarides 7850) Conran,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema sp. tufted (L.A.Craven 2323) Conran,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema spicatum R.Br.,NA,NA,Yates 2003,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cartonema spicatum R.Br. var. humile Hassk.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema spicatum R.Br. var. spicatum,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cartonema trigonospermum C.B.Clarke,NA,NA,Yates 2003,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Commelina,NA,NA,NA,NA,NA,NA,NA
Commelina agrostophylla F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Commelina benghalensis L.,NA,NA,NA,NA,NA,NA,NA
Commelina ciliata Stanley,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Commelina diffusa Burm.f.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Commelina ensifolia R.Br.,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Commelina sp. sandstone (R.J.Fensham 739) I.D.Cowie,NA,NA,NA,NA,NA,NA,NA
Commelina tricarinata Stanley,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Underground storage organs (bulbs/tubers),NA,NA
Commelina undulata R.Br.,NA,NA,NA,NA,NA,NA,NA
Cyanotis,NA,NA,NA,NA,NA,NA,NA
Cyanotis axillaris (L.) D.Don,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Murdannia,NA,NA,NA,NA,NA,NA,NA
Murdannia cryptantha Faden,NA,NA,NA,NA,NA,NA,NA
Murdannia gigantea (R.Br.) A.Bruckn.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Murdannia graminea (R.Br.) A.Bruckn.,NA,NA,"Yates 2003, Albrecht 2004",Faculative resprouter,NA,NA,NA
Murdannia nudiflora (L.) Brenan,NA,NA,NA,NA,NA,NA,NA
Murdannia sp. Kakadu (R.K.Harwood 1409) R.L.Barrett,NA,NA,I.D. Cowie,NA,NA,NA,NA
Murdannia sp. Top End (G.M.Chippendale 7726),NA,NA,NA,NA,NA,NA,NA
Murdannia vaginata (L.) R.Br.,NA,NA,NA,NA,NA,NA,NA
CONVOLVULACEAE,NA,NA,NA,NA,NA,NA,NA
Aniseia,NA,NA,NA,NA,NA,NA,NA
Aniseia martinicensis (Jacq.) Choisy,NA,NA,KNP plots,Seeder,None,NA,NA
Bonamia,NA,NA,NA,NA,NA,NA,NA
Bonamia alatisemina R.W.Johnson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Bonamia brevifolia (Benth.) Myint & Ward,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Bonamia deserticola R.W.Johnson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Bonamia erecta R.W.Johnson,NA,NA,Latz 2004,Resprouter,Root suckers or rhizomes,NA,NA
Bonamia fruticosa R.W.Johnson,NA,NA,I.D. Cowie,NA,NA,NA,NA
Bonamia linearis (R.Br.) Hallier f.,NA,NA,NA,NA,NA,NA,NA
Bonamia longipilosa R.W.Johnson,NA,NA,NA,NA,NA,NA,NA
Bonamia media (R.Br.) Hallier f.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Bonamia multiflora R.W.Johnson,NA,NA,NA,NA,NA,NA,NA
Bonamia pannosa (R.Br.) Hallier f.,NA,NA,"Yates 2003, Albrecht 2004",Faculative resprouter,NA,NA,NA
Bonamia wilsoniae R.W.Johnson,NA,NA,NA,NA,NA,NA,NA
Camonea,NA,NA,NA,NA,NA,NA,NA
Camonea umbellata (L.) A.R.Simões & Staples,NA,NA,I.D. Cowie,NA,NA,NA,NA
Convolvulus,NA,NA,NA,NA,NA,NA,NA
Convolvulus clementii Domin,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Convolvulus crispifolius F.Muell.,NA,NA,NA,NA,NA,NA,NA
Convolvulus remotus R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cressa,NA,NA,NA,NA,NA,NA,NA
Cressa australis R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cuscuta,NA,NA,NA,NA,NA,NA,NA
Cuscuta chinensis Lam.,NA,NA,NA,NA,NA,NA,NA
Cuscuta victoriana Yunck.,NA,NA,NA,NA,NA,NA,NA
Distimake,NA,NA,NA,NA,NA,NA,NA
Distimake aegyptius (L.) A.R.Simões & Staples,NA,NA,NA,NA,NA,NA,NA
Distimake davenportii (F.Muell.) A.R.Simões & Staples,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Distimake dissectus (Jacq.) A.R.Simões & Staples,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Distimake kimberleyensis (R.W.Johnson) A.R.Simões & Staples,NA,NA,I.D. Cowie,NA,NA,NA,NA
Distimake quinatus (R.Br.) A.R.Simões & Staples,NA,NA,KNP plots,Seeder,None,NA,NA
Duperreya,NA,NA,NA,NA,NA,NA,NA
Duperreya commixta (Staples) Staples,NA,NA,NA,NA,NA,NA,NA
Erycibe,NA,NA,NA,NA,NA,NA,NA
Erycibe coccinea (F.M.Bailey) Hoogland,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Evolvulus,NA,NA,NA,NA,NA,NA,NA
Evolvulus alsinoides L.,NA,NA,NA,NA,NA,NA,NA
Evolvulus alsinoides L. var. alsinoides,NA,NA,NA,NA,NA,NA,NA
Evolvulus alsinoides L. var. decumbens (R.Br.) Ooststr.,NA,NA,"Albrecht 2004, Brennan 2004",Faculative resprouter,NA,NA,NA
Evolvulus alsinoides L. var. sericeus Benth.,NA,NA,NA,NA,NA,NA,NA
Evolvulus alsinoides L. var. villosicalyx Ooststr.,NA,NA,"Albrecht 2004, Brennan 2004",Faculative resprouter,NA,NA,NA
Evolvulus nummularius (L.) L.,NA,NA,NA,NA,NA,NA,NA
Ipomoea,NA,NA,NA,NA,NA,NA,NA
Ipomoea abrupta R.Br.,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Ipomoea antonschmidii R.W.Johnson,NA,NA,I.D. Cowie,NA,NA,NA,NA
Ipomoea aquatica Forssk.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ipomoea argillicola R.W.Johnson,NA,NA,"Brock 2004, Brennan 2004",Resprouter,Underground storage organs (bulbs/tubers),NA,NA
Ipomoea bracteolata R.W.Johnson,NA,NA,NA,NA,NA,NA,NA
Ipomoea brassii C.T.White,NA,NA,NA,NA,NA,NA,NA
Ipomoea coptica (L.) Roth ex Roem. & Schult.,NA,NA,Yates 2003,Seeder,None,NA,NA
Ipomoea costata F.Muell. ex Benth.,NA,NA,"Yates 2003, Latz 2004, Liddle 2004","Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Underground storage organs (bulbs/tubers)",NA,NA
Ipomoea diamantinensis J.M.Black ex Eardley,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Ipomoea diantha Roem. & Schult.,NA,NA,NA,NA,NA,NA,NA
Ipomoea diversifolia R.Br.,NA,NA,"KNP plots, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ipomoea dunlopii R.W.Johnson,NA,NA,I.D. Cowie,NA,NA,NA,NA
Ipomoea eriocarpa R.Br.,NA,NA,NA,NA,NA,NA,NA
Ipomoea gracilis R.Br.,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Ipomoea graminea R.Br.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ipomoea hederifolia L.,NA,NA,NA,NA,NA,NA,NA
Ipomoea imperati (Vahl) Griseb.,NA,NA,NA,NA,NA,NA,NA
Ipomoea limosa R.W.Johnson,NA,NA,I.D. Cowie,NA,NA,NA,NA
Ipomoea lonchophylla J.M.Black,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ipomoea mauritiana Jacq.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Ipomoea muelleri Benth.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ipomoea nil (L.) Roth,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,KNP plots,Seeder,None,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
Ipomoea plebeia R.Br.,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Seeder,None,NA,NA
Ipomoea polpha R.W.Johnson,NA,NA,NA,NA,NA,NA,NA
Ipomoea polpha R.W.Johnson subsp. latzii R.W.Johnson,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Underground storage organs (bulbs/tubers)",NA,NA
Ipomoea polymorpha Roem. & Schult.,NA,NA,"KNP plots, Latz 2004, Liddle 2004",Seeder,None,NA,NA
Ipomoea purpurea Lam.,NA,NA,NA,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Ipomoea quamoclit L.,NA,NA,NA,NA,NA,NA,NA
Ipomoea racemigera F.Muell. & Tate,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ipomoea tolmerana R.W.Johnson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Ipomoea tolmerana R.W.Johnson subsp. tolmerana,NA,NA,I.D. Cowie,NA,NA,NA,NA
Ipomoea triloba L.,NA,NA,"KNP plots, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Ipomoea velutina R.Br.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Ipomoea versipellis R.W.Johnson,NA,NA,NA,NA,NA,NA,NA
Ipomoea violacea L.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Jacquemontia,NA,NA,NA,NA,NA,NA,NA
Jacquemontia browniana Ooststr.,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA
Jacquemontia paniculata (Burm.f. ) Hallier f.,NA,NA,JRS 2004,Seeder,None,NA,NA
Jacquemontia sp. Borroloola (P.K.Latz 1526),NA,NA,NA,NA,NA,NA,NA
Jacquemontia sp. Darwin (G.Chippendale 7807),NA,NA,NA,NA,NA,NA,NA
Jacquemontia sp. Douglas Daly (C.R.Michell 1124),NA,NA,NA,NA,NA,NA,NA
Jacquemontia sp. Keep River (J.L.Egan 5015),NA,NA,NA,NA,NA,NA,NA
Merremia,NA,NA,NA,NA,NA,NA,NA
Merremia gemella (Burm.f.) Hallier f.,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
Merremia hederacea (Burm.f.) Hallier f.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Merremia incisa (R.Br.) Hallier f.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Operculina,NA,NA,NA,NA,NA,NA,NA
Operculina aequisepala (Domin) R.W.Johnson,NA,NA,"Yates 2003, JRS 2004",Seeder,None,NA,NA
Operculina codonantha (Benth.) Hallier f.,NA,NA,JRS 2004,Seeder,None,NA,NA
Operculina riedeliana (Oliv.) Ooststr.,NA,NA,I.D. Cowie,NA,NA,NA,NA
NA,NA,NA,JRS 2004,Seeder,None,NA,NA
Operculina turpethum (L.) Silva Manso,NA,NA,NA,NA,NA,NA,NA
Polymeria,NA,NA,NA,NA,NA,NA,NA
Polymeria ambigua R.Br.,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA
Polymeria angusta F.Muell.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Polymeria calycina R.Br.,NA,NA,Brennan 2004,NA,NA,NA,NA
Polymeria distigma Benth.,NA,NA,NA,NA,NA,NA,NA
Polymeria lanata R.Br.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Polymeria longifolia Lindl.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Polymeria pusilla R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA
Polymeria quadrivalvis R.Br.,NA,NA,NA,NA,NA,NA,NA
Polymeria sp. Western Tanami (D.E.Albrecht 7809),NA,NA,Brennan 2004,NA,NA,NA,NA
Stictocardia,NA,NA,NA,NA,NA,NA,NA
Stictocardia tiliifolia (Desr.) Hallier f.,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),Dispersal reliant,NA
Xenostegia,NA,NA,NA,NA,NA,NA,NA
Xenostegia tridentata (L.) Austin & Staples,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
CRASSULACEAE,NA,NA,NA,NA,NA,NA,NA
Bryophyllum,NA,NA,NA,NA,NA,NA,NA
Bryophyllum houghtonii (P.B.Ward) P.I.Forst.,NA,NA,NA,NA,NA,NA,NA
Crassula,NA,NA,NA,NA,NA,NA,NA
Crassula colorata (Nees) Ostenf.,NA,NA,NA,NA,NA,NA,NA
Crassula colorata (Nees) Ostenf. var. acuminata (Reader) Toelken,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Crassula tetramera (Toelken) A.P.Druce & Sykes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
CUCURBITACEAE,NA,NA,NA,NA,NA,NA,NA
Austrobryonia,NA,NA,NA,NA,NA,NA,NA
Austrobryonia argillicola I.Telford,NA,NA,"Albrecht 2004, Liddle 2004",NA,NA,NA,NA
Austrobryonia centralis I.Telford,NA,NA,Brennan 2004,NA,NA,NA,NA
Austrobryonia micrantha (F.Muell.) I.Telford,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Citrullus,NA,NA,NA,NA,NA,NA,NA
Citrullus amarus Schrad.,NA,NA,Latz 2004,Seeder,None,NA,NA
Citrullus colocynthis (L.) Schrad.,NA,NA,Latz 2004,Resprouter,Underground storage organs (bulbs/tubers),NA,NA
Coccinia,NA,NA,NA,NA,NA,NA,NA
Coccinia grandis (L.) Voigt,NA,NA,NA,NA,NA,NA,NA
Cucumis,NA,NA,NA,NA,NA,NA,NA
Cucumis althaeoides (Ser.) P.Sebastian & I.Telford,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cucumis argenteus (Domin) P.Sebastian & I.Telford,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cucumis melo L.,NA,NA,NA,NA,NA,NA,NA
Cucumis myriocarpus Naudin,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cucumis picrocarpus F.Muell.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cucumis umbellatus I.Telford,NA,NA,JRS 2004,Seeder,None,NA,NA
Diplocyclos,NA,NA,NA,NA,NA,NA,NA
Diplocyclos palmatus (L.) C.Jeffrey,NA,NA,JRS 2004,Seeder,None,NA,NA
Diplocyclos palmatus (L.) C.Jeffrey subsp. affinis (Endl.) P.S.Green,NA,NA,I.D. Cowie,NA,NA,NA,NA
Luffa,NA,NA,NA,NA,NA,NA,NA
Luffa aegyptiaca Mill.,NA,NA,"KNP plots, JRS 2004",Resprouter,None,NA,NA
Luffa saccata F.Muell. ex I.Telford,NA,NA,Yates 2003,Seeder,None,NA,NA
Momordica,NA,NA,NA,NA,NA,NA,NA
Momordica balsamina L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Momordica charantia L.,NA,NA,NA,NA,NA,NA,NA
Muellerargia,NA,NA,NA,NA,NA,NA,NA
Muellerargia timorensis Cogn.,NA,NA,NA,NA,NA,NA,NA
Trichosanthes,NA,NA,NA,NA,NA,NA,NA
Trichosanthes cucumerina L.,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
Trichosanthes cucumerina L. var. cucumerina,NA,NA,I.D. Cowie,NA,NA,NA,NA
Trichosanthes morrisii W.E.Cooper,NA,NA,JRS 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Trichosanthes pilosa Lour.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Zehneria,NA,NA,NA,NA,NA,NA,NA
Zehneria mucronata (Blume) Miq.,NA,NA,NA,NA,NA,NA,NA
CUPRESSACEAE,NA,NA,NA,NA,NA,NA,NA
Callitris,NA,NA,NA,NA,NA,NA,NA
Callitris glaucophylla Joy Thomps. & L.A.S.Johnson,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA
Callitris intratropica R.T.Baker & H.G.Sm.,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003, JRS 2004, Liddle 2004",Seeder,Epicormic shoots,Strictly serotinous,NA
CYCADACEAE,NA,NA,NA,NA,NA,NA,NA
Cycas,NA,NA,NA,NA,NA,NA,NA
Cycas angulata R.Br.,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas arenicola K.D.Hill,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas armstrongii Miq.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cycas armstrongii x conferta,NA,NA,NA,NA,NA,NA,NA
Cycas armstrongii x maconochiei,NA,NA,NA,NA,NA,NA,NA
Cycas arnhemica K.D.Hill,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas arnhemica x orientis,NA,NA,NA,NA,NA,NA,NA
Cycas calcicola Maconochie,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cycas calcicola x conferta,NA,NA,NA,NA,NA,NA,NA
Cycas canalis K.D.Hill,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas conferta Chirgwin,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas maconochiei Chirgwin & K.D.Hill,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas maconochiei Chirgwin & K.D.Hill subsp. maconochiei,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas maconochiei Chirgwin & K.D.Hill subsp. viridis K.D.Hill,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas orientis K.D.Hill,NA,NA,I.D.Cowie,NA,NA,NA,NA
Cycas pruinosa Maconochie,NA,NA,I.D.Cowie,NA,NA,NA,NA
CYMODOCEACEAE,NA,NA,NA,NA,NA,NA,NA
Cymodocea,NA,NA,NA,NA,NA,NA,NA
Cymodocea rotundata Ehrenb. & Hemprich ex Asch. & Schweinf.,NA,NA,NA,NA,NA,NA,NA
Cymodocea serrulata (R.Br.) Asch. & Magnus,NA,NA,NA,NA,NA,NA,NA
Halodule,NA,NA,NA,NA,NA,NA,NA
Halodule pinifolia (Miki) Hartog,NA,NA,NA,NA,NA,NA,NA
Halodule uninervis (Forssk.) Asch.,NA,NA,NA,NA,NA,NA,NA
Syringodium,NA,NA,NA,NA,NA,NA,NA
Syringodium isoetifolium (Asch.) Dandy,NA,NA,NA,NA,NA,NA,NA
CYPERACEAE,NA,NA,NA,NA,NA,NA,NA
Abildgaardia,NA,NA,NA,NA,NA,NA,NA
Abildgaardia ovata (Burm.f.) Kral,NA,NA,NA,NA,NA,NA,NA
Abildgaardia vaginata R.Br.,NA,NA,I.D. Cowie,NA,NA,NA,NA
Actinoschoenus,NA,NA,NA,NA,NA,NA,NA
"Actinoschoenus arthrostyloides (W.Fitzg.) K.L.Clarke, K.L.Wilson & J.J.Bruhl",NA,NA,NA,NA,NA,NA,NA
"Actinoschoenus pentagonus Rye, R.L.Barrett & M.D.Barrett",NA,NA,I.D.Cowie,NA,NA,NA,NA
Actinoschoenus sp. Deaf Adder Gorge (C.R.Dunlop 4403) NT Herbarium,NA,NA,NA,NA,NA,NA,NA
Actinoschoenus sp. Mount Brockman (R.C.Hinz 362) NT Herbarium,NA,NA,NA,NA,NA,NA,NA
Actinoschoenus sp. sandstone (P.K.Latz 7686) NT Herbarium,NA,NA,"KNP plots, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Actinoscirpus,NA,NA,NA,NA,NA,NA,NA
Actinoscirpus grossus (L.f.) Goetgh. & D.A.Simpson,NA,NA,NA,NA,NA,NA,NA
Arthrostylis,NA,NA,NA,NA,NA,NA,NA
Arthrostylis aphylla R.Br.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Baumea,NA,NA,NA,NA,NA,NA,NA
Baumea arthrophylla (Nees) Boeck.,NA,NA,"Albrecht 2004, Brock 2004, Liddle 2004",NA,NA,NA,NA
Baumea rubiginosa (Spreng.) Boeck.,NA,NA,NA,NA,NA,NA,NA
Bolboschoenus,NA,NA,NA,NA,NA,NA,NA
Bolboschoenus caldwellii (V.Cook.) Sojak,NA,NA,"Albrecht 2004, Liddle 2004",Resprouter,NA,NA,NA
Bulbostylis,NA,NA,NA,NA,NA,NA,NA
Bulbostylis barbata (Rottb.) C.B.Clarke,NA,NA,"KNP plots, Latz 2004",Seeder,None,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
Bulbostylis pyriformis S.T.Blake,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Bulbostylis sp. Koongarra (I.D.Cowie 8230),NA,NA,NA,NA,NA,NA,NA
Bulbostylis turbinata S.T.Blake,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Carex,NA,NA,NA,NA,NA,NA,NA
Carex fascicularis Sol. ex Boott,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cladium,NA,NA,NA,NA,NA,NA,NA
Cladium mariscus (L.) Pohl,NA,NA,NA,NA,NA,NA,NA
Crosslandia,NA,NA,NA,NA,NA,NA,NA
Crosslandia setifolia W.Fitzg.,NA,NA,NA,NA,NA,NA,NA
Crosslandia sp. Wilton River (P.K.Latz 2774) Brennan & Cowie,NA,NA,I.D. Cowie,NA,NA,NA,NA
Cyperus,NA,NA,NA,NA,NA,NA,NA
Cyperus alterniflorus R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus angustatus R.Br.,NA,NA,NA,NA,NA,NA,NA
Cyperus aquatilis R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus astartodes K.L.Wilson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus betchei (Kuk.) S.T.Blake,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus betchei (Kuk.) S.T.Blake subsp. commiscens K.L.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus bifax C.B.Clarke,NA,NA,"Latz 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Underground storage organs (bulbs/tubers)",NA,NA
Cyperus blakeanus K.L.Wilson,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cyperus breviculmis R.Br.,NA,NA,NA,NA,NA,NA,NA
Cyperus brevifolius (Rottb.) Hassk.,NA,NA,NA,NA,NA,NA,NA
Cyperus bulbosus Vahl,NA,NA,Latz 2004,Seeder,None,NA,NA
Cyperus carinatus R.Br.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus castaneus Willd,NA,NA,KNP plots,Seeder,None,NA,NA
Cyperus centralis K.L.Wilson,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cyperus compactus Retz.,NA,NA,NA,NA,NA,NA,NA
Cyperus compressus L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus concinnus R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus conicus (R.Br.) Boeckeler,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Cyperus cracens K.L.Wilson,NA,NA,NA,NA,NA,NA,NA
Cyperus crispulus K.L.Wilson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Cyperus cristulatus S.T.Blake,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
