Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Eremophila latrobei subsp. latrobei,R+,P-,NA,NA,NA,NA,NA
Eremophila longifolia,R+,P-,NA,NA,NA,NA,NA
Eremophila macdonnellii,R+,P-,NA,NA,NA,NA,NA
Eremophila maculata,R-,P-,NA,NA,NA,NA,NA
Eremophila ovata,R+,P+,NA,NA,NA,NA,NA
Eremophila prostrata,R+,P+,NA,NA,NA,NA,NA
Eremophila sturtii,R+,P-,NA,NA,NA,NA,NA
Eremophila willsii,R+,P+,NA,NA,NA,NA,NA
Erythrina vespertilio,R-,P-,NA,NA,NA,NA,NA
Eucalyptus brevifolia,R+,P-,NA,NA,NA,NA,VI
Eucalyptus camaldulensis var. obtusa,R+,P-,NA,NA,NA,NA,VI
Eucalyptus coolabah subsp. arida,R+,P-,NA,NA,NA,NA,VI
Eucalyptus gamophylla,R+,P-,NA,NA,NA,NA,NA
Eucalyptus gillenii,R+,P-,NA,NA,NA,NA,NA
Eucalyptus intertexta,R+,P-,NA,NA,NA,NA,VI
Eucalyptus leucophloia subsp. euroa,R+,P-,NA,NA,NA,NA,NA
Eucalyptus mannensis subsp. mannensis,R+,P-,NA,NA,NA,NA,NA
Eucalyptus minniritchi,R+,P-,NA,NA,NA,NA,NA
Eucalyptus normantonensis,R+,P-,NA,NA,NA,NA,VI
Eucalyptus odontocarpa,R+,P-,NA,NA,NA,NA,NA
Eucalyptus oxymitra,R+,P-,NA,NA,NA,NA,NA
Eucalyptus pachyphylla,R+,P-,NA,NA,NA,NA,NA
Eucalyptus sessilis,R+,P-,NA,NA,NA,NA,NA
Eucalyptus socialis subsp. eucentrica,R+,P-,NA,NA,NA,NA,NA
Eucalyptus thozetiana,R+,P-,NA,NA,NA,NA,VI
Eucalyptus trivalvis,R+,P-,NA,NA,NA,NA,NA
Eucalyptus victrix,R+,P-,NA,NA,NA,NA,VI
Euphorbia sarcostemmoides,R-,P-,NA,NA,NA,NA,NA
Exocarpos sparteus,R+,P-,NA,NA,NA,NA,NA
Ficus brachypoda,R-,P-,NA,NA,NA,NA,NA
Gastrolobium brevipes,R-,P+,NA,NA,NA,NA,NA
Gossypium australe,R+,P+,NA,NA,NA,NA,NA
Gossypium sturtianum var. sturtianum,R+,P+,NA,NA,NA,NA,NA
Grevillea albiflora,R+,P+,NA,NA,NA,NA,NA
Grevillea eriostachya,R+,P+,NA,NA,NA,NA,NA
Grevillea juncifolia,R+,P+,NA,NA,NA,NA,NA
Grevillea pyramidalis subsp. leucadendron,R+,P+,NA,NA,NA,NA,NA
Grevillea refracta subsp. refracta,R-,P+,NA,NA,NA,NA,NA
Grevillea stenobotrya,R-,P+,NA,NA,NA,NA,NA
Grevillea striata,R+,P-,NA,NA,NA,NA,VI
Grevillea wickhamii subsp. aprica,R+,P+,NA,NA,NA,NA,NA
Gyrostemon ramulosus,R-,P-,NA,NA,NA,NA,NA
Gyrostemon tepperi,R-,P-,NA,NA,NA,NA,NA
Hakea arborescens,R+,P-,NA,NA,NA,NA,NA
Hakea chordophylla,R+,P-,NA,NA,NA,NA,VI
Hakea divaricata,R+,P-,NA,NA,NA,NA,VI
Hakea eyreana,R+,P-,NA,NA,NA,NA,NA
Hakea grammatophylla,R+,P-,NA,NA,NA,NA,NA
Hakea leucoptera subsp. leucoptera,R-,P-,NA,NA,NA,NA,NA
Hakea lorea subsp. lorea,R+,P-,NA,NA,NA,NA,VI
Hakea macrocarpa,R+,P-,NA,NA,NA,NA,VI
Harnieria kempeana subsp. kempeana,R-,P-,NA,NA,NA,NA,NA
Hibbertia glaberrima,R+,P-,NA,NA,NA,NA,NA
Hibiscus burtonii,R+,P+,NA,NA,NA,NA,NA
