"site_name","trait_name","unit","value"
"Bola Creek Royal NP","pH","","5.59"
"Bundeena Road Royal NP","pH","","5.75"
"Challenger Track KCNP","pH","","5.71"
"Dyke KCNP","pH","","6.11"
"Bola Creek Royal NP","% water","%","1.98"
"Bundeena Road Royal NP","% water","%","1.39"
"Challenger Track KCNP","% water","%","8.45"
"Dyke KCNP","% water","%","27.05"
"Bola Creek Royal NP","% organic matter","%","26.78"
"Bundeena Road Royal NP","% organic matter","%","2.73"
"Challenger Track KCNP","% organic matter","%","4.72"
"Dyke KCNP","% organic matter","%","11.08"
"Bola Creek Royal NP","oxidised N","mgN/kg","1.46"
"Bundeena Road Royal NP","oxidised N","mgN/kg","0.17"
"Challenger Track KCNP","oxidised N","mgN/kg","0.13"
"Dyke KCNP","oxidised N","mgN/kg","0.09"
"Bola Creek Royal NP","total Kjeldahl N","mgN/kg","664.4"
"Bundeena Road Royal NP","total Kjeldahl N","mgN/kg","376.9"
"Challenger Track KCNP","total Kjeldahl N","mgN/kg","404.9"
"Dyke KCNP","total Kjeldahl N","mgN/kg","404.9"
"Bola Creek Royal NP","total N","mgN/kg","665.8"
"Bundeena Road Royal NP","total N","mgN/kg","377"
"Challenger Track KCNP","total N","mgN/kg","405.1"
"Dyke KCNP","total N","mgN/kg","625.7"
"Bola Creek Royal NP","total P","mgP/kg","290.8"
"Bundeena Road Royal NP","total P","mgP/kg","108.7"
"Challenger Track KCNP","total P","mgP/kg","179.9"
"Dyke KCNP","total P","mgP/kg","227"
