SITE_ID,latitude,longitude,soil total p (ppm),soil pH,% soil water,% soil organic matter,soil oxidised N  (mgN/kg),soil total Kjehldal N (mgN/kg),soil total N (mgN/kg)
Bola Creek Royal NP_3,-34.14777778,151.0322222,290.8,5.59,1.98,26.78,1.46,664.4,665.8
Bundeena Road Royal NP_3,-34.12583333,151.0861111,108.7,5.75,1.39,2.73,0.17,376.9,377
Challenger Track KCNP_3,-33.59666667,151.2766667,179.9,5.71,8.45,4.72,0.13,404.9,405.1
Dyke KCNP_3,-33.57916667,151.2938889,227,6.11,27.05,11.08,0.09,404.9,625.7
