var_name,trait_name,unit
area leaf,leaf_area,mm2
SLA,specific_leaf_area,cm2/g
water content leaf,leaf_water_content_per_mass,g/g
lamina thickness,leaf_thickness,mm
force of fracture,leaf_fracture_force,N
toughness leaf,leaf_toughness,N/m
carbon content leaf,leaf_C_per_dry_mass,% dry weight
nitrogen content leaf,leaf_N_per_dry_mass,% dry weight
C:N ratio leaf,leaf_CN_ratio,g/g
