name_original,raw_trait_value ,trait ,units,SITE_ID
Acmena smithii,3734,area leaf,mm2,Bola Creek Royal NP_3
Acmena smithii,143.9,SLA,cm2/g,Bola Creek Royal NP_3
Acmena smithii,63.1,water content leaf,%,Bola Creek Royal NP_3
Acmena smithii,0.3,lamina thickness ,mm,Bola Creek Royal NP_3
Acmena smithii,0.4,force of fracture,N,Bola Creek Royal NP_3
Acmena smithii,1672,toughness leaf,Nm-1,Bola Creek Royal NP_3
Acmena smithii,49.4,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Acmena smithii,1.2,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Acmena smithii,40.21,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Blechnum cartilagineum,24288,area leaf,mm2,Bola Creek Royal NP_3
Blechnum cartilagineum,130.4,SLA,cm2/g,Bola Creek Royal NP_3
Blechnum cartilagineum,64.5,water content leaf,%,Bola Creek Royal NP_3
Blechnum cartilagineum,0.2,lamina thickness ,mm,Bola Creek Royal NP_3
Blechnum cartilagineum,0.3,force of fracture,N,Bola Creek Royal NP_3
Blechnum cartilagineum,1194,toughness leaf,Nm-1,Bola Creek Royal NP_3
Blechnum cartilagineum,42.1,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Blechnum cartilagineum,1,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Blechnum cartilagineum,43.6,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Ceratopetalum apetalum,4597,area leaf,mm2,Bola Creek Royal NP_3
Ceratopetalum apetalum,123.6,SLA,cm2/g,Bola Creek Royal NP_3
Ceratopetalum apetalum,66.59,water content leaf,%,Bola Creek Royal NP_3
Ceratopetalum apetalum,0.28,lamina thickness ,mm,Bola Creek Royal NP_3
Ceratopetalum apetalum,0.49,force of fracture,N,Bola Creek Royal NP_3
Ceratopetalum apetalum,1765,toughness leaf,Nm-1,Bola Creek Royal NP_3
Ceratopetalum apetalum,45.4,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Ceratopetalum apetalum,0.91,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Ceratopetalum apetalum,50.45,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Citriobatus pauciflorus,45.3,area leaf,mm2,Bola Creek Royal NP_3
Citriobatus pauciflorus,227.8,SLA,cm2/g,Bola Creek Royal NP_3
Citriobatus pauciflorus,50.5,water content leaf,%,Bola Creek Royal NP_3
Citriobatus pauciflorus,0.15,lamina thickness ,mm,Bola Creek Royal NP_3
Citriobatus pauciflorus,0.07,force of fracture,N,Bola Creek Royal NP_3
Citriobatus pauciflorus,440,toughness leaf,Nm-1,Bola Creek Royal NP_3
Citriobatus pauciflorus,46.5,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Citriobatus pauciflorus,1.5,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Citriobatus pauciflorus,32.15,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Diospyros australis,2599,area leaf,mm2,Bola Creek Royal NP_3
Diospyros australis,87.5,SLA,cm2/g,Bola Creek Royal NP_3
Diospyros australis,60.2,water content leaf,%,Bola Creek Royal NP_3
Diospyros australis,0.3,lamina thickness ,mm,Bola Creek Royal NP_3
Diospyros australis,0.5,force of fracture,N,Bola Creek Royal NP_3
Diospyros australis,1560,toughness leaf,Nm-1,Bola Creek Royal NP_3
Diospyros australis,47.3,carbon content leaf,% dry weight,Bola Creek Royal NP_3
Diospyros australis,1.3,nitrogen content leaf,% dry weight,Bola Creek Royal NP_3
Diospyros australis,35.45,C:N ratio leaf,ratio,Bola Creek Royal NP_3
Doryphora sassafras,4619,area leaf,mm2,Bola Creek Royal NP_3
Doryphora sassafras,143,SLA,cm2/g,Bola Creek Royal NP_3
Doryphora sassafras,69.6,water content leaf,%,Bola Creek Royal NP_3
Doryphora sassafras,0.3,lamina thickness ,mm,Bola Creek Royal NP_3
Doryphora sassafras,0.5,force of fracture,N,Bola Creek Royal NP_3
Doryphora sassafras,1693,toughness leaf,Nm-1,Bola Creek Royal NP_3
Doryphora sassafras,42.7,carbon content leaf,% dry weight,Bola Creek Royal NP_3
