Family,Species,Growth Form,Leaf Type,Dispersal Mode,Seed Bank,Fire Response,Post-fire Recruitment,Site (original),Site,Fire intensity
Fabaceae,Acacia falciformis,Small Tree,Sclerophyll,Invertebrate,Soil,IV & V,+,WPNP,Washpool National Park,High intensity fire
Fabaceae,Acacia irrorata,Small Tree,Sclerophyll,Invertebrate,Soil,II,+,WPNP,Washpool National Park,High intensity fire
Fabaceae,Acacia maidenii,Tree,Sclerophyll,Invertebrate,Soil,IV & V,+,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Fabaceae,Acacia melanoxylon,Tree,Sclerophyll,Invertebrate,Soil,II,+,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Fabaceae,Acacia ulicifolia*,Shrub,Sclerophyll,Invertebrate,Soil,II,+,MGNP,Mummel Gulf National Park,Low intensity fire
Myrtaceae,Acmena smithii,Tree,Mesophyll,Vertebrate,Dispersed,V,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Epacridaceae,Acrotriche aggregata,Shrub,Sclerophyll,Vertebrate,Soil,V,+,MGNP,Mummel Gulf National Park,Low intensity fire
Myrtaceae,Archirhodomyrtus beckleri,Small Tree,Mesophyll,Vertebrate,Soil,V,-,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Rutaceae,Asterolasia correifolia,Small Tree,Mesophyll,Passive,Soil,II,+,WPNP,Washpool National Park,High intensity fire
Proteaceae,Banksia integrifolia subsp. monticola,Tree,Sclerophyll,Wind,Canopy,VI,+,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Proteaceae,Banksia spinulosa*,Shrub,Sclerophyll,Wind,Canopy,V,+,MGNP,Mummel Gulf National Park,Low intensity fire
Euphorbiaceae,Breynia cernua,Shrub,Mesophyll,Vertebrate,Dispersed,IV & V,-,WPNP,Washpool National Park,High intensity fire
Cunoniaceae,Caldcluvia paniculosa,Tree,Mesophyll,Passive,Soil,V,+,"MGNP, WPNP**","Mummel Gulf National Park, Washpool National Park",Low and high intensity fire
Cunoniaceae,Callicoma serratifolia,Tree,Mesophyll,Passive,Soil,V,-,WPNP,Washpool National Park,High intensity fire
