site,latitude,longitude,vegetation,MAP (mm),date,name_original,name_edited,rep,delta_13C,notes,photosynthetic_pathway
Idalia,-24.08,145,Tropical woodland,450,1992,A. aneura,Acacia aneura,1,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,A. aneura,Acacia aneura,2,-25.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,A. aneura,Acacia aneura,3,-25.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Bendi Host,Acacia catenulata,1,-26.4,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Bendi Host,Acacia catenulata,2,-26.4,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Bendi Host,Acacia catenulata,3,-26.4,host,
Idalia,-24.08,145,Tropical woodland,450,1992,A.harpophylla,Acacia harpophylla,1,-28.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,A.harpophylla,Acacia harpophylla,2,-28.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,A.harpophylla,Acacia harpophylla,3,-28.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Acacia harpophylla Host,Acacia harpophylla Host,1,-29,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Acacia harpophylla Host,Acacia harpophylla Host,2,-29,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Acacia harpophylla Host,Acacia harpophylla Host,3,-29,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Heterodendron obifolium Host,Alectryon oleifolius,1,-26.7,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Heterodendron obifolium Host,Alectryon oleifolius,2,-26.9,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Heterodendron obifolium Host,Alectryon oleifolius,3,-26.5,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Ameana maidenii,Amyema maidenii,1,-29.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Ameana maidenii,Amyema maidenii,2,-29.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Ameana maidenii,Amyema maidenii,3,-29.6,,
Idalia,-24.08,145,Tropical woodland,450,1992,Ameana quondong,Amyema quandang,1,-27.7,,
Idalia,-24.08,145,Tropical woodland,450,1992,Ameana quondong,Amyema quandang,2,-27.8,,
Idalia,-24.08,145,Tropical woodland,450,1992,Ameana quondong,Amyema quandang,3,-27.5,,
Idalia,-24.08,145,Tropical woodland,450,1992,Apophyllum,Apophyllum anomalum,1,-26.9,,
Idalia,-24.08,145,Tropical woodland,450,1992,Apophyllum,Apophyllum anomalum,2,-27,,
Idalia,-24.08,145,Tropical woodland,450,1992,Apophyllum,Apophyllum anomalum,3,-27.1,,
Idalia,-24.08,145,Tropical woodland,450,1992,Arachodendropsis Host,Arachodendropsis Host,1,-26.4,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Arachodendropsis Host,Arachodendropsis Host,2,-26.4,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Arachodendropsis Host,Arachodendropsis Host,3,-26.6,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Archedindro,Archidendropsis basaltica,1,-25.3,,
Idalia,-24.08,145,Tropical woodland,450,1992,Archedindro,Archidendropsis basaltica,2,-25.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Archedindro,Archidendropsis basaltica,3,-25.4,,
Idalia,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca HOst,Atalaya hemiglauca,1,-24.6,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca Host,Atalaya hemiglauca,1,-25.3,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca HOst,Atalaya hemiglauca,2,-24.8,host,
Idalia,-24.08,145,Tropical woodland,450,1992,Attabia hemiglauca Host,Atalaya hemiglauca,2,-25.3,host,
