var_name,trait_name,unit
Leaf habit,NA,NA
LMF (g g-1),leaf_mass_fraction,g/g
Leaf size (cm2),leaf_area,cm2
SLA (mm2 mg-1),specific_leaf_area,mm2/mg
LAR (mm2 mg-1),leaf_area_ratio,mm2/mg
LDMC (mg g-1),leaf_dry_matter_content,mg/g
LWCa (g H2O cm-2),leaf_water_content_per_area,g/cm2
Nm (mg N g-1),leaf_N_per_dry_mass,mg/g
Pm (mg P g-1),leaf_P_per_dry_mass,mg/g
Km (mg K g-1),leaf_K_per_dry_mass,mg/g
Na (mg N cm-2),leaf_N_per_area,mg/cm2
Pa (mg P cm-2),leaf_P_per_area,mg/cm2
Ka (mg K cm-2),leaf_K_per_area,mg/cm2
Aa (?molCO2 m-2 s-1),photosynthetic_rate_per_area,umolCO2/m2/s
Am (nmolCO2 g-1 s-1),photosynthetic_rate_per_dry_mass,nmolCO2/g/s
gs (?molH2O m-2 s-1),stomatal_conductance_per_area,umolH2O/m2/s
PWUE (?molCO2  ?mol-1 H2O ),leaf_PWUE,umolCO2/umolH2O
PNUE (?molCO2 s-1 g-1 N),leaf_PNUE,umolCO2/s/gN
