species,Ind_ID,stem_specific_density,wd_notes
Acacia harpophylla,1,0.77,branch
Acacia harpophylla,2,0.74,branch
Acacia harpophylla,3,0.80,branch
Acacia harpophylla,4,0.82,branch
Acacia harpophylla,5,0.77,branch
Alectryon diversifolius,1,0.81,stem
Alectryon diversifolius,2,0.77,stem
Bursaria incana,1,0.74,branch
Bursaria incana,2,0.74,branch
Bursaria incana,3,0.67,branch
Capparis mitchellii,1,0.70,branch
Capparis mitchellii,2,0.73,branch
Capparis mitchellii,3,0.66,branch
Capparis mitchellii,4,0.69,branch
Carissa ovata,1,0.66,stem
Carissa ovata,2,0.63,stem
Carissa ovata,3,0.64,stem
Casuarina cristata,1,0.78,branch
Casuarina cristata,2,0.82,branch
Casuarina cristata,3,0.76,branch
Casuarina cristata,4,0.78,branch
Casuarina cristata,5,0.85,branch
Elaeodendron australe,1,0.67,branch
Elaeodendron australe,2,0.62,branch
Elaeodendron australe,3,0.66,branch
Elaeodendron australe,4,0.65,branch
Eremophila deserti,1,0.66,stem
Eremophila deserti,2,0.71,stem
Eremophila deserti,3,0.68,stem
Eremophila mitchelii,1,0.65,stem
Eucalyptus woollsiana,1,0.65,branch
Eucalyptus woollsiana,2,0.66,branch
Eucalyptus woollsiana,3,0.64,branch
Eucalyptus woollsiana,4,0.68,branch
Geijera parviflora,1,0.74,stem
Geijera parviflora,2,0.79,stem
Geijera parviflora,3,0.68,stem
Geijera parviflora,4,0.66,stem
Geijera parviflora,5,0.69,stem
Melaleuca lanceolata,1,0.61,branch
Melaleuca lanceolata,2,0.62,branch
Myoporum montanum,1,0.57,stem
Myoporum montanum,2,0.62,stem
Pittosporum angustifolium,1,0.67,branch
Pittosporum angustifolium,2,0.66,branch
Psydrax odorata,1,0.68,branch
Psydrax odorata,2,0.69,branch
Psydrax odorata,3,0.71,branch
Santalum lanceolatum,1,0.63,branch
Santalum lanceolatum,2,0.65,branch
Santalum lanceolatum,3,0.66,branch
Santalum lanceolatum,4,0.57,branch
Santalum lanceolatum,5,0.58,branch
Santalum lanceolatum,6,0.61,branch
Santalum lanceolatum,7,0.66,branch
Santalum lanceolatum,8,0.68,branch
Senna coronilloides,1,0.74,stem
Senna coronilloides,2,0.63,stem
Senna coronilloides,3,0.72,stem
Senna coronilloides,4,0.71,stem
