species name,number of replicates / species,Organ,LDMC_g_kg,LMA_g_m2,leaf_ash_g_kg,leaf_Si_g_kg,leaf_P_g_kg,leaf_N_g_kg,leaf_C_g_kg,leaf phenolics_g_kg,leaf flavonoids_g_kg,leaf tannins_g_kg,leaf C_thirteen,leaf force_of_fracture_N,leaf toughness_N_m (force fracture divided by leaf/culm thickness),Health status,Development state,Date and time of sampling,Latitude,Longitude,Dataset owner,Affiliations,Dataset name,Dataset reference,plant_photosynthetic_organ,Florabase habitat,Habitat,Soil sampling sub-zone
Chaetospora subbulbosa,5,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),475.808031,206.4801621,67.35010132,23.78,0.28465476,8.43,447.35,1.666526968,4.460695531,0.87254395,-33.13780545,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Chaetospora subbulbosa,5,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),429.524869,268.7510312,30.96284459,4.89,0.26688317,5.71,455.96,22.78725407,9.111393953,9.32820638,-31.12840353,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Chaetospora subbulbosa,5,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),432.221284,184.0727895,40.95519322,9.16,0.32539605,6.18,452.86,21.53165079,8.239898615,9.37059549,-31.8130236,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Chaetospora subbulbosa,5,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),452.317881,188.9531999,99.62519647,37.52,0.36249217,10.71,420.76,3.606442374,5.248744656,0.434504208,-31.5783609,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Chaetospora subbulbosa,5,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),424.892704,216.4361623,41.15912296,9.02,0.34744117,6.85,452.9,21.66709784,8.884746134,8.735845718,-30.8029127,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Chorizandra enodis,3,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),363.458057,255.9440974,24.60043873,4.31,0.42242602,12,462.67,NA,NA,NA,-26.20180642,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Chorizandra enodis,3,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),420.080873,353.7169104,20.73640835,4.01,0.29275875,8.21,466.91,26.17111953,8.662497312,12.23387353,-26.97907828,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Chorizandra enodis,3,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),431.90542,284.3279912,23.51076476,4.52,0.31065408,8.21,435.56,21.57302826,7.19013883,12.42276004,-28.07774173,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Cyathochaeta avenacea,5,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),327.412947,177.9857319,53.1557165,12.75,0.43140449,8.01,445.6,14.53758369,6.3955594,2.726930792,-29.20709955,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
Cyathochaeta avenacea,5,main photosynthetically?active organ (leaves or culms in sedges from Western Australia),451.524984,227.6001879,49.5911369,12.04,0.33634378,9.32,442.03,10.62971426,5.70681607,2.259036145,-29.04474379,NA,NA,healthy,mature,July 2022 ; middle day,32.020� S, 115.981� E,F�lix de Tombeur,"1-School of Biological Sciences, University of Western Australia, Perth, Australia ; 2-CEFE, Univ Montpellier, CNRS, EPHE, IRD, Montpellier, France",Sedges in Alison Baird Reserve (Western Australia),"de Tombeur, F. et al. Anatomical and trait analyses reveal a silicon-carbon trade?off in the epidermis of sedges. Plant Cell and Environment 48, 2396�2410 (2025).",,,,
