Species,resprouting_capacity,juvenile_period_years,source_id,value_type,location_name,context
Leucopogon conostephioides,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Andersonia lehmanniana,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Lysinema ciliatum,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Beaufortia elegans,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Acacia pulchella,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Gompholobium tomentosum,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Darwinia foetida,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,inferred
Boronia purdieana,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Gastrolobium capitatum,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Leucopogon squarrosus,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Podotheca chrysantha,Seeders,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Trithuria occidentalis,Seeders,1,Mickle_2009,mean,Gnangara Groundwater System,inferred
Banksia menziesii,Resprouters,8,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Banksia attenuata,Resprouters,8,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Calytrix sapphirina,Resprouters,5,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Elythranthera brunonis,Resprouters,5,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Stylidium bicolour,Resprouters,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Eucalyptus argutifolia,Resprouters,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Eucalyptus x mundijongensis,Resprouters,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Schoenus curvifolius,Resprouters,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Caladenia flava,Resprouters,4,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Eremaea pauciflora,Resprouters,2,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Conostephium pendulum,Resprouters,1,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Epiblema grandiflorum var. cyaneum,Resprouters,1,Mickle_2009,mean,Gnangara Groundwater System,inferred
Eleocharis keigheryi,Resprouters,1,Mickle_2009,minimum,Gnangara Groundwater System,inferred
Eleocharis keigheryi,Resprouters,6,Mickle_2009,maximum,Gnangara Groundwater System,inferred
Calectasia sp. Pinjar (C. Tauss 557),Resprouters,2,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Grevillea curviloba subsp. curviloba,unknown,1,Mickle_2009,minimum,Gnangara Groundwater System,inferred
Grevillea curviloba subsp. curviloba,unknown,6,Mickle_2009,maximum,Gnangara Groundwater System,inferred
Grevillea curviloba subsp. incurva,unknown,1,Mickle_2009,minimum,Gnangara Groundwater System,inferred
Grevillea curviloba subsp. incurva,unknown,6,Mickle_2009,maximum,Gnangara Groundwater System,inferred
Marianthus paralius,unknown,2,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Melaleuca systena,unknown,1,Mickle_2009,minimum,Gnangara Groundwater System,inferred
Melaleuca systena,unknown,7,Mickle_2009,maximum,Gnangara Groundwater System,inferred
Sarcozona bicarinata,unknown,,Mickle_2009,mean,Gnangara Groundwater System,scored at this location
Melaleuca viminea,Seeders,5,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Astroloma xerophyllum,Seeders,4,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Templetonia retusa,Seeders,4,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Corymbia calophylla,Resprouters,4,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Eucalyptus gomphocephala,Resprouters,4,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Eucalyptus marginata,Resprouters,4,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Drakaea elastica,Resprouters,1,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Caladenia huegelii,Resprouters,1,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Banksia elegans,Resprouters,3,Wilson_2004,mean,Gnangara Groundwater System,scored at this location
Leucopogon conostephioides,Seeders,5,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Andersonia lehmanniana,Seeders,3,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Lysinema ciliatum,Seeders,2,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Beaufortia elegans,Seeders,2,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Acacia pulchella,Seeders,2,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Gompholobium tomentosum,Seeders,2,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Banksia menziesii,Resprouters,2,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Banksia attenuata,Resprouters,2,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Elythranthera brunonis,Resprouters,2,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Schoenus curvifolius,Resprouters,2,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Caladenia flava,Resprouters,1,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Eremaea pauciflora,Resprouters,4,DEC_2008,mean,Gnangara Groundwater System,scored at this location
Conostephium pendulum,Resprouters,5,DEC_2008,mean,Gnangara Groundwater System,scored at this location
