Date,DEPLOYED,Collected,Total hours,Location,Location_raw,Sightings,sightings_edited,length_of_visit (seconds),behavioural_notes,time_of_day,time_of_day (end)
19.10.10,10,12:47,2:47,Nursery,Translocation Nursey,Lasioglossum,Lasioglossum,,,10:46,
19.10.10,10,12:47,2:47,Nursery,Translocation Nursey,Random wandering assassin bug (captured),assassin bug ,,,,
19.10.10,10,12:47,2:47,Nursery,Translocation Nursey,Ants (captured),ant,,,,
19.10.10,10,12:47,2:47,Nursery,Translocation Nursey,Brown fly (captured),fly,,,,
19.10.15,11:11,13:41,2:03,Turramurra,Think Auluba,"Lasionglossum foraging on flowers, characteristic rocking and brushing",Lasioglossum,,"foraging on flowers, characteristic rocking and brushing",10:56,
19.10.15,11:11,13:41,2:03,Turramurra,Think Auluba,"Lasionglossum foraging on flowers, characteristic rocking and brushing",Lasioglossum,,"foraging on flowers, characteristic rocking and brushing",11:21,
19.10.15,11:11,13:41,2:03,Turramurra,Think Auluba,"Lasionglossum foraging on flowers, characteristic rocking and brushing",Lasioglossum,,"foraging on flowers, characteristic rocking and brushing",11:24,
19.10.15,11:11,13:41,2:03,Turramurra,Think Auluba,"Lasionglossum foraging on flowers, characteristic rocking and brushing",Lasioglossum,,"foraging on flowers, characteristic rocking and brushing",11:37,
19.10.15,11:11,13:41,2:03,Turramurra,Think Auluba,"Lasionglossum foraging on flowers, characteristic rocking and brushing",Lasioglossum,,"foraging on flowers, characteristic rocking and brushing",11:47,
19.10.15,11:11,13:41,2:03,Turramurra,Think Auluba,Bronze skink (no evidence of floral visiting),Bronze skink,,no evidence of floral visiting,,
19.10.15,11:11,13:41,2:03,Turramurra,Think Auluba,Ants (no evidence of floral visiting),Ants,,no evidence of floral visiting,,
19.10.15,11:11,13:41,2:03,Turramurra,Think Auluba,Another bee spp. flyby,bee spp.,,flyby,,
19.10.15,10:59,12:03,1:04,Turramurra,Auluba,Lasioglossum visit (18 seconds),Lasioglossum,18,,11:07:03,11:21
19.10.15,10:59,12:03,1:04,Turramurra,Auluba,Lasioglossum on a different flower,Lasioglossum,,,11:08,
19.10.15,10:59,12:03,1:04,Turramurra,Auluba,Lasioglossum (1 sec),Lasioglossum,1,,11:08:37,11:07:38
19.10.15,10:59,12:03,1:04,Turramurra,Auluba,Lasioglossum (4 sec),Lasioglossum,4,,11:10:39,11:10:43
19.09.16,9:09,10:09,1,Nursery,Translocation Nursey,None,None,,,,
19.11.02,7,10,3,Turramurra,Auluba,Lasioglossum (first sighting),Lasioglossum,,first sighting,7:45,
19.11.02,7,10,3,Turramurra,Auluba,Lasioglossum (last sighting),Lasioglossum,,last sighting,9:20,
19.11.02,7,10,3,Turramurra,Auluba,Black ant activity,Ant,,,7:06,7:25
19.08.20,2:02,2:52,0:05,,,None,None,,,,
19.10.24,11:03,12,0:03,Nursery,Lower level translocation site,None,None,,,,
19.10.26,7:24,7:56,0:32,Turramurra,Auluba plant 85,Lasioglossum (1 of 3),Lasioglossum,,,7:27,
19.10.26,7:24,7:56,0:32,Turramurra,Auluba plant 85,Lasioglossum (2 of 3),Lasioglossum,,,7:27,
19.10.26,7:24,7:56,0:32,Turramurra,Auluba plant 85,Lasioglossum (3 of 3),Lasioglossum,,,7:27,
19.10.26,7:24,7:56,0:32,Turramurra,Auluba plant 85,Lasioglossum,Lasioglossum,,,7:37,
19.10.26,7:24,7:56,0:32,Turramurra,Auluba plant 85,Spider,Spider,,,,
19.10.26,7:24,7:56,0:32,Turramurra,Auluba plant 85,Lasioglossum (same bee on approx 5 flowers),Lasioglossum,,same bee on approx 5 flowers,7:47,7:49
19.10.26,7:24,7:56,0:32,Turramurra,Auluba plant 85,Lasioglossum,Lasioglossum,,,7:54,
19.10.26,7:22,7:54,0:32,Turramurra,Auluba,Lasioglossum (3 flowers in 1 min),Lasioglossum,20,3 flowers in 1 min,7:28,7:29
19.10.26,7:22,7:54,0:32,Turramurra,Auluba,"Lasioglossum (14 sec, 2 flowers)",Lasioglossum,14,2 flowers in 14 sec,7:34:44,7:34:59
19.10.26,7:22,7:54,0:32,Turramurra,Auluba,Lasioglossum (1 sec),Lasioglossum,1,,7:36:46,7:36:47
19.10.26,7:22,7:54,0:32,Turramurra,Auluba,Lasioglossum (12 sec),Lasioglossum,12,,7:40:57,7:41:09
19.10.26,7:22,7:54,0:32,Turramurra,Auluba,Lasioglossum (4 sec),Lasioglossum,4,,7:46:29,7:46:33
19.09.26,3:17,4:07,0:05,Nursery,Translocation Nursey,None,None,,,,
