genus,species,binomial,growth form ,min height (m) ,max height (m) ,extreme max height (m) ,extreme min leaf length (mm) ,min leaf length (mm) ,max leaf length (mm) ,extreme max leaf length (mm) ,extreme min leaf width (mm) ,min leaf width (mm) ,max leaf width (mm) ,extreme max leaf width (mm) ,seed shape,seed length min (mm) ,seed length max (mm) ,seed width min (mm) ,seed width max (mm) ,seed breadth min (mm) ,seed breadth max (mm) ,leaf type ,leaf shape 
Eremophila,saligna,Eremophila saligna,shrub,1,3,,22,30,60,70,,3,7,,ovoid,1.5,1.5,0.5,0.5,0.5,0.5,simple,elliptic
Eremophila,cuneata,Eremophila cuneata,shrub,,1,,,9.5,23,,,5,10.5,,ovoid,2.5,2.5,0.5,0.5,0.5,0.5,simple,elliptic
Myoporum,floribundum,Myoporum floribundum,shrub,2,3,,13,40,80,113,,0.8,1.5,2.5,oblong,1.5,1.7,0.6,0.6,0.6,0.6,simple,elliptic
Myoporum,batae,Myoporum batae,shrub,1,4,,,45,95,152,,3,9,16,ovoid,1.5,1.5,0.6,0.7,0.6,0.7,simple,elliptic
Eremophila,drummondii,Eremophila drummondii,shrub,0.25,2,,6,10,45,55,,0.7,6,,ovoid,1.2,1.6,0.6,0.7,0.6,0.7,simple,elliptic
Eremophila,rugosa,Eremophila rugosa,shrub,,2,,6,7.5,25,34,,0.5,1.2,,ovoid,1.2,1.7,0.6,0.7,0.6,0.7,simple,elliptic
Calamphoreus,inflatus,Calamphoreus inflatus,shrub,0.5,3,,10.5,15,35,40,,2,6,,ovoid,1.5,1.7,0.7,0.7,0.7,0.7,simple,elliptic
Myoporum,caprarioides,Myoporum caprarioides,shrub,0.5,1.5,2,7,20,49,62,2,4,14,19,oblong,1.5,2.2,0.6,0.7,0.6,0.7,simple,elliptic
Myoporum,tenuifolium,Myoporum tenuifolium,shrub,1,2,3,15,50,70,80,5,9,16,25,ovoid,2,2.2,0.7,0.7,0.7,0.7,simple,elliptic
Eremophila,gibbifolia,Eremophila gibbifolia,shrub,0.3,0.9,,,1.5,4,5,,1,2,,ovoid,2,2.5,0.7,0.7,0.7,0.7,simple,elliptic
Myoporum,oppositifolium,Myoporum oppositifolium,shrub,0.4,1,2,8,20,50,72,4,8,16,26,oblong,1.6,1.8,0.7,0.8,0.7,0.8,simple,elliptic
Myoporum,platycarpum,Myoporum platycarpum,tree; shrub,,10,,25,37.5,77.2,94,3.1,4,9,14,ovoid,1.5,2,0.6,0.8,0.6,0.8,simple,elliptic
Myoporum,crassifolium,Myoporum crassifolium,tree; shrub,,6,,28,55,128,145,,11,30,44,ovoid,1.7,2,0.7,0.8,0.7,0.8,simple,elliptic
Glycocystis,beckeri,Glycocystis beckeri,shrub,1,1.5,3,9,12,22,27,2.5,3.5,6.5,7,ovoid,2,2,0.8,0.8,0.8,0.8,simple,elliptic
Eremophila,brevifolia,Eremophila brevifolia,shrub,,2,,3,4,8.5,9.5,,3.5,7.5,9.5,ovoid,2,2,0.6,0.8,0.6,0.8,simple,elliptic
Myoporum,montanum,Myoporum montanum,tree; shrub,1,4,8,36,45,100,140,1.8,5,21,38,ovoid,2,2.5,0.6,0.8,0.6,0.8,simple,elliptic
Myoporum,viscosum,Myoporum viscosum,shrub,0.5,2,,10,20,52,70,5,7,20,28,oblong,2,2,0.9,0.9,0.9,0.9,simple,elliptic
Myoporum,petiolatum,Myoporum petiolatum,shrub,0.5,2,4.5,20,30,63,90,6,10,27,40,ovoid,2,2.2,0.7,0.9,0.7,0.9,simple,elliptic
Myoporum,acuminatum,Myoporum acuminatum,tree; shrub,2,10,13,,50,142,275,7,11,28,66,ovoid,2.2,2.5,0.8,0.9,0.8,0.9,simple,elliptic
Eremophila,caniculata,Eremophila caniculata,shrub,0.2,0.4,,,23,42,69,,4,8,,ovoid,2.4,2.6,0.9,0.9,0.9,0.9,simple,elliptic
Myoporum,insulare,Myoporum insulare,tree; shrub,0.2,6,,24,40,73,145,3.5,10,20,34,oblong,2.2,2.7,0.9,0.9,0.9,0.9,simple,elliptic
Eremophila,flabellata,Eremophila flabellata,shrub,0.3,0.5,,5.5,8,12,,,5.5,8.5,,ovoid,1.5,2,1,1,1,1,simple,elliptic
Myoporum,tetrandrum,Myoporum tetrandrum,shrub,1,3,,21,32,80,125,,3,10,24,oblong,2,2,0.9,1,0.9,1,simple,elliptic
Myoporum,brevipes,Myoporum brevipes,shrub,0.3,2,,2.5,6,18,28,,1.2,4.5,8,oblong,2,2,1,1,1,1,simple,elliptic
Eremophila,sturtii,Eremophila sturtii,shrub,1,3,5,10,18,40,52,,0.5,2.5,3,ovoid,2,2,1,1,1,1,simple,elliptic
Myoporum,parvifolium,Myoporum parvifolium,shrub,,,,10,18,40,57,1.5,3,6.5,8,ovoid,2,2.2,0.9,1,0.9,1,simple,elliptic
Myoporum,boninense,Myoporum boninense,shrub,0.2,2.8,,12,30,61,70,5.5,10,20,36,ovoid,2,2.5,0.7,1,0.7,1,simple,elliptic
Eremophila,lanceolata,Eremophila lanceolata,shrub,0.15,0.5,0.7,9,16,45,70,1.8,2.5,6.5,8,ovoid,2,2.5,0.8,1,0.8,1,simple,elliptic
