species_name,trait,units,value
Acanthocarpus canaliculatus,dispersal,,
Acanthocarpus humilis,dispersal,,
Acanthocarpus parviflorus,dispersal,,
Acanthocarpus preissii,dispersal,,
Acanthocarpus robustus,dispersal,,
Acanthocarpus rupestris,dispersal,,
Acanthocarpus verticillatus,dispersal,,
Acer pseudoplatanus,dispersal,,
Acidonia microcarpa,dispersal,,
Actinostrobus acuminatus,dispersal,,
Actinostrobus arenarius,dispersal,,
Actinostrobus pyramidalis,dispersal,,
Adenanthera abrosperma,dispersal,,
Adenanthera pavonina,dispersal,,
Adenanthos acanthophyllus,dispersal,,
Adenanthos apiculatus,dispersal,,
Adenanthos argyreus,dispersal,,
Adenanthos barbiger,dispersal,,
Adenanthos cacomorphus,dispersal,,
Adenanthos cuneatus,dispersal,,
Adenanthos cunninghamii,dispersal,,
Adenanthos cygnorum,dispersal,,
Adenanthos cygnorum subsp. chamaephyton,dispersal,,
Adenanthos cygnorum subsp. cygnorum,dispersal,,
Adenanthos detmoldii,dispersal,,
Adenanthos dobagii,dispersal,,
Adenanthos dobsonii,dispersal,,
Adenanthos drummondii,dispersal,,
Adenanthos ellipticus,dispersal,,
Adenanthos eyrei,dispersal,,
Adenanthos filifolius,dispersal,,
Adenanthos flavidiflorus,dispersal,,
Adenanthos forrestii,dispersal,,
Adenanthos glabrescens,dispersal,,
Adenanthos glabrescens subsp. exasperatus,dispersal,,
Adenanthos glabrescens subsp. glabrescens,dispersal,,
Adenanthos gracilipes,dispersal,,
Adenanthos ileticos,dispersal,,
Adenanthos labillardierei,dispersal,,
Adenanthos linearis,dispersal,,
Adenanthos macropodianus,dispersal,,
Adenanthos meisneri,dispersal,,
Adenanthos obovatus,dispersal,,
Adenanthos oreophilus,dispersal,,
Adenanthos pamela,dispersal,,
Adenanthos pungens,dispersal,,
Adenanthos pungens subsp. effusus,dispersal,,
Adenanthos pungens subsp. pungens,dispersal,,
Adenanthos sericeus,dispersal,,
Adenanthos sericeus subsp. sericeus,dispersal,,
Adenanthos sericeus subsp. sphalma,dispersal,,
Adenanthos stictus,dispersal,,
Adenanthos terminalis,dispersal,,
Adenanthos velutinus,dispersal,,
Adenanthos venosus,dispersal,,
Adonis microcarpa,dispersal,,
Afrocarpus falcata,dispersal,,
Agapanthus praecox,dispersal,,
Agastachys odorata,dispersal,,
Agathis atropurpurea,dispersal,,
Agathis microstachya,dispersal,,
Agathis robusta,dispersal,,
Agrostocrinum scabrum,dispersal,,
Ailanthus integrifolia subsp. integrifolia,dispersal,,
Ailanthus triphysa,dispersal,,
Akania lucens,dispersal,,
Alangium villosum,dispersal,,
Alangium villosum subsp. polyosmoides,dispersal,,
Alania endlicheri,dispersal,,
Albizia canescens,dispersal,,
Albizia lebbeck,dispersal,,
Albizia procera,dispersal,,
Albizia retusa subsp. retusa,dispersal,,
Albuca canadensis,dispersal,,
Alectryon connatus,dispersal,,
Alectryon coriaceus,dispersal,,
Alectryon forsythii,dispersal,,
Alectryon kimberleyanus,dispersal,,
Alectryon repandodentatus,dispersal,,
Alectryon subcinereus,dispersal,,
Alectryon subdentatus,dispersal,,
Alectryon subdentatus f. pseudostipularis,dispersal,,
Alectryon subdentatus f. subdentatus,dispersal,,
Alectryon tomentosus,dispersal,,
Alectryon unilobatus,dispersal,,
Allium ampeloprasum,dispersal,,
Allium neapolitanum,dispersal,,
Allium oleraceum,dispersal,,
Allium roseum,dispersal,,
Allium scorodoprasum,dispersal,,
Allium triquetrum,dispersal,,
Allium vineale,dispersal,,
Allocasuarina acuaria,dispersal,,
Allocasuarina acutivalvis,dispersal,,
Allocasuarina acutivalvis subsp. acutivalvis,dispersal,,
Allocasuarina acutivalvis subsp. prinsepiana,dispersal,,
Allocasuarina brachystachya,dispersal,,
Allocasuarina campestris,dispersal,,
Allocasuarina corniculata,dispersal,,
Allocasuarina crassa,dispersal,,
Allocasuarina decaisneana,dispersal,,
Allocasuarina decussata,dispersal,,
Allocasuarina defungens,dispersal,,
Allocasuarina dielsiana,dispersal,,
Allocasuarina diminuta,dispersal,,
Allocasuarina diminuta subsp. annectens,dispersal,,
Allocasuarina diminuta subsp. diminuta,dispersal,,
Allocasuarina diminuta subsp. mimica,dispersal,,
Allocasuarina distyla,dispersal,,
Allocasuarina drummondiana,dispersal,,
Allocasuarina emuina,dispersal,,
Allocasuarina eriochlamys,dispersal,,
Allocasuarina eriochlamys subsp. eriochlamys,dispersal,,
Allocasuarina eriochlamys subsp. grossa,dispersal,,
Allocasuarina fibrosa,dispersal,,
Allocasuarina filidens,dispersal,,
Allocasuarina fraseriana,dispersal,,
Allocasuarina glareicola,dispersal,,
Allocasuarina globosa,dispersal,,
Allocasuarina grampiana,dispersal,,
Allocasuarina grevilleoides,dispersal,,
Allocasuarina gymnanthera,dispersal,,
Allocasuarina helmsii,dispersal,,
Allocasuarina huegeliana,dispersal,,
Allocasuarina humilis,dispersal,,
Allocasuarina inophloia,dispersal,,
Allocasuarina lehmanniana,dispersal,,
Allocasuarina lehmanniana subsp. ecarinata,dispersal,,
Allocasuarina lehmanniana subsp. lehmanniana,dispersal,,
Allocasuarina littoralis,dispersal,,
Allocasuarina luehmannii,dispersal,,
Allocasuarina mackliniana,dispersal,,
Allocasuarina mackliniana subsp. hirtilinea,dispersal,,
Allocasuarina mackliniana subsp. mackliniana,dispersal,,
Allocasuarina mackliniana subsp. xerophila,dispersal,,
Allocasuarina media,dispersal,,
Allocasuarina microstachya,dispersal,,
Allocasuarina misera,dispersal,,
Allocasuarina monilifera,dispersal,,
Allocasuarina muelleriana,dispersal,,
Allocasuarina muelleriana subsp. alticola,dispersal,,
Allocasuarina muelleriana subsp. muelleriana,dispersal,,
Allocasuarina muelleriana subsp. notocolpica,dispersal,,
Allocasuarina nana,dispersal,,
Allocasuarina ophiolitica,dispersal,,
Allocasuarina paludosa,dispersal,,
Allocasuarina paradoxa,dispersal,,
Allocasuarina pinaster,dispersal,,
Allocasuarina portuensis,dispersal,,
Allocasuarina pusilla,dispersal,,
Allocasuarina ramosissima,dispersal,,
Allocasuarina rigida,dispersal,,
Allocasuarina rigida subsp. exsul,dispersal,,
Allocasuarina rigida subsp. rigida,dispersal,,
Allocasuarina robusta,dispersal,,
Allocasuarina rupicola,dispersal,,
Allocasuarina scleroclada,dispersal,,
Allocasuarina simulans,dispersal,,
Allocasuarina spinosissima,dispersal,,
Allocasuarina striata,dispersal,,
Allocasuarina tessellata,dispersal,,
Allocasuarina thalassoscopica,dispersal,,
Allocasuarina thuyoides,dispersal,,
Allocasuarina tortiramula,dispersal,,
Allocasuarina torulosa,dispersal,,
Allocasuarina trichodon,dispersal,,
Allocasuarina verticillata,dispersal,,
Allocasuarina zephyrea,dispersal,,
Allophylus cobbe,dispersal,,
Alloxylon flammeum,dispersal,,
Alloxylon pinnatum,dispersal,,
Alloxylon wickhamii,dispersal,,
Alnus cordata,dispersal,,
Aloe arborescens,dispersal,,
Aloe parvibracteata,dispersal,,
Aloe saponaria,dispersal,,
Aloe vera,dispersal,,
Alpinia arctiflora,dispersal,,
