species,growth_light_regime,n,specific_leaf_area,chlorophyll,chlorophyll_per_dry_mass,dark_respiration_rate,light_compensation_point,Pmax
Nothofagus cunninghamii,Sun,5-8,131±7,383±24,50,1.73±0.12,27±3,8.10±0.61
Nothofagus cunninghamii,Shade,5-8,149±8,406±15,60,1.05±0.12,17±2,4.96±0.31
Nothofagus cunninghamii,Bush-house,5-8,139±8,540±11,75,0.36±0.03,6±1,6.10±0.51
Eucryphia lucida,Sun,5-8,104±5,429±23,45,2.03±0.20,30±1,7.09±1.02
Eucryphia lucida,Shade,5-8,185±9,381±22,70,0.83±0.20,15±3,4.92±0.40
Eucryphia lucida,Bush-house,5-8,144±12,453±11,65,0.45±0.06,8±1,3.70±0.38
Atherosperma moschatum,Sun,5-8,132±5,298±29,39,1.60±0.16,21±1,5.17±0.63
Atherosperma moschatum,Shade,5-8,229±7,537±31,123,0.41±0.16,5±2,9.63±0.70
Atherosperma moschatum,Bush-house,5-8,172±10,380±20,65,0.42±0.06,7±1,4.91±0.40
Phyllocladus aspleniifolius,Sun,5-8,41±4,484±47,20,0.87±0.15,11±2,2.01±0.17
Phyllocladus aspleniifolius,Shade,5-8,115±6,618±54,71,0.92±0.16,13±2,4.24±0.32
Phyllocladus aspleniifolius,Bush-house,5-8,106±2,555±40,58,0.41±0.05,7±1,3.75±0.35
Athrotaxis selaginoides,Sun,1,24,,,1.61,20,1.07
Athrotaxis selaginoides,Shade,5-8,52±3,,,0.48±0.06,6±1,2.75±0.45
Athrotaxis selaginoides,Bush-house,5-8,38±1,,,0.80±0.15,9±1,2.30±0.09
Lagarostrobos franklinii,Sun,5-8,42±1,,,1.00±0.01,17±1,2.40±0.27
Lagarostrobos franklinii,Shade,5-8,60±3,,,0.45±0.11,8±2,1.84±0.31
Lagarostrobos franklinii,Bush-house,5-8,64±4,,,0.83±0.05,13±1,2.22±0.04
