species,growth_light_regime,specific_leaf_area_m2_g_x10-3,chlorophyll_mg_m2,dark_respiration_rate_umol_m2_s,light_compensation_point_umol_quanta_m2_s,Pmax_umol_g_leaf_dwt_s_x10-3
Nothofagus cunninghamii,Sun,131±7,383±24,1.73±0.12,27±3,8.10±0.61
Nothofagus cunninghamii,Shade,149±8,406±15,1.05±0.12,17±1,4.96±0.31
Nothofagus moorei,Sun,117±3,403±49,1.31±0.15,22±3,6.75±0.48
Nothofagus moorei,Shade,138±12,416±13,0.90±0.14,13±1,4.04±0.58
Nothofagus obliqua,Sun,228±7,263±25,1.44±0.26,19±3,16.70±1.12
Nothofagus obliqua,Shade,442±4,460±11,0.44±0.10,12±2,10.79±1.46
Nothofagus alpina,Sun,238±20,246±26,0.65±0.11,10±1,11.18±0.95
Nothofagus alpina,Shade,417±18,293±10,0.46±0.10,7±0,15.17±1.10
Nothofagus dombeyi,Sun,137±16,440±41,1.38±0.15,20±2,7.04±1.14
Nothofagus dombeyi,Shade,316±16,541±8,0.85±0.13,13±1,8.85±1.35
Ceratopetalum apetalum,Sun,113±5,337±32,0.40±0.07,9±1,3.15±0.31
Ceratopetalum apetalum,Shade,220±26,434±22,0.31±0.04,6±1,5.29±0.50
Doryphora sassafras,Sun,109±4,433±10,0.99±0.18,12±3,4.71±0.36
Doryphora sassafras,Shade,196±19,611±31,0.37±0.06,6±2,7.11±0.59
Eucryphia moorei,Sun,137±6,377±20,1.02±0.07,14±2,7.26±0.40
Eucryphia moorei,Shade,186±15,487±1,0.60±0.14,11±2,4.26±0.27
