"var_name","character","unit"
"longevity",NA,NA
"growth form","plant_growth_form",""
"leaf longevity","leaf_phenology",""
"height (m)","plant_height","m"
"leaf type","leaf_type",""
"leaf length (mm)","leaf_length","mm"
"leaf width (mm)","leaf_width","mm"
"leaf shape","leaf_shape",""
"seed shape","seed_shape",""
"seed length (mm)","seed_length","mm"
"seed width (mm)","seed_width","mm"
"seed breadth (mm)","seed_breadth","mm"
"flowering","flowering_time",""
"fruiting","fruiting_time",""
"dispersal mode","dispersal_syndrome",""
