accepted_name,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,euclid_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaflength_min2,leaflength_max2,leafwidth_min2,leafwidth_max2
Angophora bakeri,0.4,0.7,0.4,0.7,0.7,1,0.7,1.2,3,7,white_cream,YYNNNNNNNNYY,5,13,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,0.5,2
Angophora costata,0.4,1,0.5,1.1,1,2,0.9,2,3,3,white_cream,NNNNNNNNNYYY,7,21,1.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,21,1.2,5
Angophora floribunda,0.3,0.5,0.3,0.5,0.7,1.2,0.7,1.1,3,7,white_cream,YYNNNNNNYYYY,5.5,15,1,5,angophora_floribunda,4.5,12,cm,2,5,cm,55,150,10,50,NA,NA,NA,NA
Angophora hispida,0.9,1.3,0.7,1.3,1.5,2.6,1.3,2,3,7,white_cream,YYNNYNNNYYYY,5,11.5,2,6,angophora_hispida,10,14,cm,4,6,cm,50,115,20,60,NA,NA,NA,NA
Angophora inopina,0.5,0.8,0.5,0.8,0.6,1.3,0.9,1.5,3,7,white_cream,NNNNNNNNNNNY,4.5,12,0.8,3,angophora_inopina,4,7,cm,1.5,3,cm,45,120,8,30,NA,NA,NA,NA
Angophora leiocarpa,0.4,0.6,0.4,0.5,1,1.5,0.7,1.2,3,3,white_cream,YYNNNNNNYYYY,5.5,16,0.6,2.2,angophora_costata_subsp._leiocarpa,4.5,14,cm,0.7,2.8,cm,55,160,6,22,NA,NA,NA,NA
Angophora melanoxylon,0.4,0.6,0.4,0.7,0.8,1.3,0.7,1.1,3,7,white_cream,YYNNNNNNYYYY,3,9,0.6,2.2,angophora_melanoxylon,4.5,10,cm,1.2,2.5,cm,30,90,6,22,NA,NA,NA,NA
Angophora robur,0.7,1,0.7,1.2,1.2,1.7,1.2,1.6,3,7,white_cream,NNNNNNNNNNNY,6,18,2.5,6,angophora_robur,8,15,cm,2,5,cm,60,180,25,60,NA,NA,NA,NA
Angophora subvelutina,0.4,0.6,0.4,0.6,0.8,1.1,0.6,1.1,3,7,white_cream,YYNNNNNNYYYY,6,12,2,5,angophora_subvelutina,5,11,cm,2.5,5,cm,60,120,20,50,NA,NA,NA,NA
Angophora woodsiana,0.6,0.7,0.6,0.7,1.2,1.5,0.9,1.6,3,7,white_cream,YNNNNNNNNNNY,7.5,17,1.7,4.5,angophora_woodsiana,5.5,10,cm,2,3,cm,75,170,17,45,NA,NA,NA,NA
Corymbia abbreviata,1.1,1.6,0.9,1.2,2,3.5,1.7,3,7,11,white_cream,YNNNNNYNYNYN,7,23.5,3,11,corymbia_abbreviata,15,23,cm,8,15,cm,70,235,30,110,NA,NA,NA,NA
