taxon_name,trait_name,value_type,value,unit,original_name,observation_id,value_new
Adenanthos apiculatus,leaf_length,minimum,5,mm,Adenanthos apiculatus,0016,NA
Adenanthos apiculatus,leaf_length,maximum,20,mm,Adenanthos apiculatus,0016,NA
Adenanthos apiculatus,leaf_width,maximum,0.5,mm,Adenanthos apiculatus,0016,NA
Adenanthos apiculatus,plant_height,maximum,0.5,m,Adenanthos apiculatus,0016,NA
Adenanthos dobsonii,leaf_length,minimum,10,mm,Adenanthos dobsonii,0027,NA
Adenanthos dobsonii,leaf_width,minimum,4,mm,Adenanthos dobsonii,0027,NA
Adenanthos drummondii,leaf_length,minimum,5,mm,Adenanthos drummondii,0028,NA
Adenanthos eyrei,leaf_width,maximum,3,mm,Adenanthos eyrei,0030,NA
Adenanthos forrestii,leaf_length,maximum,15,mm,Adenanthos forrestii,0033,NA
Adenanthos forrestii,leaf_width,maximum,3,mm,Adenanthos forrestii,0033,NA
Adenanthos gracilipes,leaf_width,maximum,1,mm,Adenanthos gracilipes,0037,NA
Adenanthos obovatus,plant_height,maximum,2,m,Adenanthos obovatus,0043,NA
Adenanthos sericeus,leaf_width,maximum,0.5,mm,Adenanthos sericeus,0049,NA
Adenanthos sericeus subsp. sphalma,leaf_length,minimum,25,mm,Adenanthos sericeus subsp. sphalma,0051,NA
Adenanthos venosus,plant_height,maximum,1.5,m,Adenanthos venosus,0055,NA
Ornithogalum maximum,plant_height,maximum,1.5,m,Albuca canadensis,0074,NA
Allocasuarina acuaria,leaf_length,minimum,15,mm,Allocasuarina acuaria,0093,NA
Allocasuarina acuaria,leaf_length,maximum,30,mm,Allocasuarina acuaria,0093,NA
Allocasuarina acuaria,leaf_width,minimum,0.6,mm,Allocasuarina acuaria,0093,NA
Allocasuarina acuaria,leaf_width,maximum,0.9,mm,Allocasuarina acuaria,0093,NA
Allocasuarina acutivalvis subsp. acutivalvis,leaf_length,minimum,10,mm,Allocasuarina acutivalvis subsp. acutivalvis,0095,NA
Allocasuarina acutivalvis subsp. acutivalvis,leaf_length,maximum,25,mm,Allocasuarina acutivalvis subsp. acutivalvis,0095,NA
Allocasuarina acutivalvis subsp. prinsepiana,leaf_length,minimum,12,mm,Allocasuarina acutivalvis subsp. prinsepiana,0096,NA
Allocasuarina acutivalvis subsp. prinsepiana,leaf_length,maximum,20,mm,Allocasuarina acutivalvis subsp. prinsepiana,0096,NA
Allocasuarina eriochlamys subsp. eriochlamys,leaf_length,minimum,5,mm,Allocasuarina eriochlamys subsp. eriochlamys,0113,NA
Allocasuarina eriochlamys subsp. eriochlamys,leaf_length,maximum,14,mm,Allocasuarina eriochlamys subsp. eriochlamys,0113,NA
Allocasuarina eriochlamys subsp. eriochlamys,leaf_width,minimum,0.5,mm,Allocasuarina eriochlamys subsp. eriochlamys,0113,NA
Allocasuarina eriochlamys subsp. eriochlamys,leaf_width,maximum,0.9,mm,Allocasuarina eriochlamys subsp. eriochlamys,0113,NA
Allocasuarina eriochlamys subsp. grossa,leaf_length,minimum,9,mm,Allocasuarina eriochlamys subsp. grossa,0114,NA
Allocasuarina eriochlamys subsp. grossa,leaf_length,maximum,18,mm,Allocasuarina eriochlamys subsp. grossa,0114,NA
Allocasuarina eriochlamys subsp. grossa,leaf_width,minimum,0.8,mm,Allocasuarina eriochlamys subsp. grossa,0114,NA
Allocasuarina eriochlamys subsp. grossa,leaf_width,maximum,1.1,mm,Allocasuarina eriochlamys subsp. grossa,0114,NA
Allocasuarina fibrosa,leaf_length,minimum,9,mm,Allocasuarina fibrosa,0115,NA
Allocasuarina fibrosa,leaf_length,maximum,16,mm,Allocasuarina fibrosa,0115,NA
Allocasuarina grevilleoides,leaf_length,minimum,10,mm,Allocasuarina grevilleoides,0121,NA
