genus,spp,binomial,longevity,growth form,min height (m),max height (m),leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),flowering month begin,flowering month end
Micromyrtus,erichsenii,Micromyrtus erichsenii,p,s,0.3,2,1.2,2.4,0.8,1.2,1.1,1.4,0.6,0.8,2,11
Micromyrtus,imbricata,Micromyrtus imbricata,p,s,0.2,1,1.5,3,1.3,2,0.9,1,0.7,0.8,8,11
Micromyrtus,monotaxis,Micromyrtus monotaxis,p,s,0.7,1.6,1.7,3.5,1.3,1.5,1.5,1.5,0.9,0.9,3,12
Micromyrtus,ninghanensis,Micromyrtus ninghanensis,p,s,,0.4,2.2,3.7,1.1,1.4,1.1,1.1,0.7,0.7,9,10
Micromyrtus,obovata,Micromyrtus obovata,p,s,0.4,1.6,1.5,3,0.8,1.4,1.2,1.2,0.7,0.7,7,9
Micromyrtus,papillosa,Micromyrtus papillosa,p,s,0.4,1.2,1.5,3.5,1.4,1.7,,,,,8,10
Micromyrtus,rogeri,Micromyrtus rogeri,p,s,0.2,0.4,3,4.5,2,2.5,,,,,7,10
Micromyrtus,uniovula,Micromyrtus uniovula,p,s,,0.4,1.5,4.5,1,2,,,,,10,12
