species_name,leaf_length_min_GrassBase_2014,leaf_length_min_Metcalfe_2020_2,leaf_length_min_SAH_2014,leaf_length_min_Wheeler_2002,leaf_length_min_to_keep,original_name
Acrachne racemosa,130,130,NA,NA,omit,Acrachne racemosa
Agrostis avenacea,NA,80,NA,80,omit,Lachnagrostis filiformis
Aira cupaniana,NA,10,NA,NA,keep,Aira cupaniana
Alloteropsis cimicina,15,30,NA,NA,keep,Alloteropsis cimicina
Alloteropsis semialata,100,100,NA,NA,omit,Alloteropsis semialata
Amphipogon caricinus,100,100,8,NA,omit,Amphipogon caricinus var. caricinus
Amphipogon sericeus,NA,80,NA,NA,keep,Amphipogon sericeus
Ancistrachne uncinulata,10,10,NA,NA,omit,Ancistrachne uncinulata
Andropogon gayanus,NA,300,NA,NA,keep,Andropogon gayanus
Aristida acuta,70,70,NA,NA,omit,Aristida acuta
Aristida anthoxanthoides,40,40,NA,NA,omit,Aristida anthoxanthoides
Aristida benthamii,200,200,NA,NA,omit,Aristida benthamii var. benthamii
Aristida benthamii,200,200,NA,NA,omit,Aristida benthamii var. spinulifera
Aristida biglandulosa,150,150,NA,NA,omit,Aristida biglandulosa
Aristida blakei,110,110,NA,NA,omit,Aristida blakei
Aristida burraensis,70,70,NA,NA,omit,Aristida burraensis
Aristida calycina,200,200,NA,NA,omit,Aristida calycina
Aristida calycina,200,200,NA,NA,omit,Aristida calycina var. calycina
Aristida calycina,200,200,NA,NA,omit,Aristida calycina var. praealta
Aristida caput-medusae,20,20,NA,NA,omit,Aristida caput-medusae
Aristida contorta,30,30,NA,NA,omit,Aristida contorta
Aristida dominii,80,80,NA,NA,omit,Aristida dominii
Aristida exserta,40,40,NA,NA,omit,Aristida exserta
Aristida gracilipes,40,40,NA,NA,omit,Aristida gracilipes
Aristida granitica,100,100,NA,NA,omit,Aristida granitica
Aristida helicophylla,100,100,NA,NA,omit,Aristida helicophylla
Aristida holathera,100,100,NA,NA,omit,Aristida holathera
Aristida holathera,100,100,NA,NA,omit,Aristida holathera var. holathera
Aristida hygrometrica,110,110,NA,NA,omit,Aristida hygrometrica
Aristida inaequiglumis,150,150,NA,NA,omit,Aristida inaequiglumis
Aristida ingrata,100,100,NA,NA,omit,Aristida ingrata
Aristida jerichoensis,160,160,NA,NA,omit,Aristida jerichoensis
Aristida jerichoensis,160,160,NA,NA,omit,Aristida jerichoensis var. jerichoensis
Aristida jerichoensis,160,160,NA,NA,omit,Aristida jerichoensis var. subspinulifera
Aristida latifolia,350,350,NA,NA,omit,Aristida latifolia
Aristida lazaridis,100,100,NA,NA,omit,Aristida lazaridis
Aristida leptopoda,150,150,NA,NA,omit,Aristida leptopoda
Aristida lignosa,150,150,NA,NA,omit,Aristida lignosa
Aristida longicollis,90,90,NA,NA,omit,Aristida longicollis
Aristida macroclada,150,150,NA,NA,omit,Aristida macroclada subsp. macroclada
Aristida macroclada subsp. queenslandica,NA,150,NA,NA,keep,Aristida macroclada subsp. queenslandica
Aristida muricata,90,90,NA,NA,omit,Aristida muricata
Aristida nitidula,120,120,NA,NA,omit,Aristida nitidula
Aristida perniciosa,100,100,NA,NA,omit,Aristida perniciosa
Aristida personata,80,80,NA,NA,omit,Aristida personata
Aristida polyclados,80,80,NA,NA,omit,Aristida polyclados
Aristida pruinosa,200,200,NA,NA,omit,Aristida pruinosa
Aristida psammophila,70,70,NA,NA,omit,Aristida psammophila
Aristida queenslandica,200,200,NA,NA,omit,Aristida queenslandica
Aristida queenslandica,200,200,NA,NA,omit,Aristida queenslandica var. queenslandica
Aristida queenslandica var. dissimilis,NA,200,NA,NA,keep,Aristida queenslandica var. dissimilis
Aristida ramosa,60,60,NA,NA,omit,Aristida ramosa
Aristida schultzii,100,100,NA,NA,omit,Aristida schultzii
Aristida sciuroides,100,100,NA,NA,omit,Aristida sciuroides
Aristida spuria,80,80,NA,NA,omit,Aristida spuria
Aristida superpendens,150,150,NA,NA,omit,Aristida superpendens
Aristida thompsonii,100,100,NA,NA,omit,Aristida thompsonii
Aristida utilis,100,100,NA,NA,omit,Aristida utilis var. utilis
Aristida warburgii,80,80,NA,NA,omit,Aristida warburgii
Arthragrostis aristispicula,20,20,NA,NA,omit,Arthragrostis aristispicula
Arthragrostis deschampsioides,20,20,NA,NA,omit,Arthragrostis deschampsioides
Arthraxon hispidus,NA,10,NA,NA,keep,Arthraxon hispidus
Arundinella nepalensis,80,80,NA,NA,omit,Arundinella nepalensis
Arundinella setosa,100,100,NA,NA,omit,Arundinella setosa
Arundo donax,NA,200,NA,NA,keep,Arundo donax var. donax
Astrebla elymoides,120,120,NA,NA,omit,Astrebla elymoides
Astrebla lappacea,80,100,NA,NA,keep,Astrebla lappacea
Astrebla pectinata,70,75,NA,NA,keep,Astrebla pectinata
Astrebla squarrosa,70,150,NA,NA,keep,Astrebla squarrosa
Avena sterilis subsp. ludoviciana,NA,100,NA,NA,keep,Avena sterilis subsp. ludoviciana
