species_name,leaf_width_max_GrassBase_2014,leaf_width_max_Metcalfe_2020_2,leaf_width_max_SAH_2014,leaf_width_max_Wheeler_2002,leaf_width_max_to_keep,original_name
Acrachne racemosa,12,12,NA,NA,omit,Acrachne racemosa
Agrostis avenacea,NA,5,NA,4,keep,Lachnagrostis filiformis
Aira cupaniana,NA,1,NA,NA,keep,Aira cupaniana
Alloteropsis cimicina,20,20,NA,NA,omit,Alloteropsis cimicina
Alloteropsis semialata,10,10,NA,NA,omit,Alloteropsis semialata
Amphipogon caricinus,3,3,NA,NA,omit,Amphipogon caricinus var. caricinus
Amphipogon sericeus,NA,2.5,NA,NA,keep,Amphipogon sericeus
Ancistrachne uncinulata,8,5,NA,NA,keep,Ancistrachne uncinulata
Andropogon gayanus,NA,20,NA,NA,keep,Andropogon gayanus
Aristida acuta,10,1,NA,NA,keep,Aristida acuta
Aristida anthoxanthoides,1.5,1.5,NA,NA,omit,Aristida anthoxanthoides
Aristida benthamii,3,3,NA,NA,omit,Aristida benthamii var. benthamii
Aristida benthamii,3,3,NA,NA,omit,Aristida benthamii var. spinulifera
Aristida biglandulosa,5,5,NA,NA,omit,Aristida biglandulosa
Aristida blakei,1.5,1.5,NA,NA,omit,Aristida blakei
Aristida burraensis,1,1,NA,NA,omit,Aristida burraensis
Aristida calycina,4,4,NA,NA,omit,Aristida calycina
Aristida calycina,4,4,NA,NA,omit,Aristida calycina var. calycina
Aristida calycina,4,4,NA,NA,omit,Aristida calycina var. praealta
Aristida caput-medusae,1,1,NA,NA,omit,Aristida caput-medusae
Aristida contorta,1,1,NA,NA,omit,Aristida contorta
Aristida dominii,0.5,0.5,NA,NA,omit,Aristida dominii
Aristida exserta,0.5,0.5,NA,NA,omit,Aristida exserta
Aristida gracilipes,1.5,0.5,NA,NA,keep,Aristida gracilipes
Aristida granitica,0.5,1.5,NA,NA,keep,Aristida granitica
Aristida helicophylla,3,3,NA,NA,omit,Aristida helicophylla
Aristida holathera,4,4,NA,NA,omit,Aristida holathera
Aristida holathera,4,4,NA,NA,omit,Aristida holathera var. holathera
Aristida hygrometrica,1.2,1.2,NA,NA,omit,Aristida hygrometrica
Aristida inaequiglumis,4.5,4.5,NA,NA,omit,Aristida inaequiglumis
Aristida ingrata,4,4,NA,NA,omit,Aristida ingrata
Aristida jerichoensis,2,2,NA,NA,omit,Aristida jerichoensis
Aristida jerichoensis,2,2,NA,NA,omit,Aristida jerichoensis var. jerichoensis
Aristida jerichoensis,2,2,NA,NA,omit,Aristida jerichoensis var. subspinulifera
Aristida latifolia,4.5,4.5,NA,NA,omit,Aristida latifolia
Aristida lazaridis,3,3,NA,NA,omit,Aristida lazaridis
Aristida leptopoda,3.5,3.5,NA,NA,omit,Aristida leptopoda
Aristida lignosa,4,4,NA,NA,omit,Aristida lignosa
Aristida longicollis,3,3,NA,NA,omit,Aristida longicollis
