species_name,seed_mass_Kew_2019_1,seed_mass_Metcalfe_2020_2,seed_mass_RBGK_2014,seed_mass_to_keep,original_name
Ischaemum rugosum,1.0884,0.84,NA,keep,Ischaemum rugosum
Ischaemum rugosum,1.0884,0.84,NA,keep,Ischaemum rugosum var. rugosum
Iseilema membranaceum,2.32,2.32,NA,omit,Iseilema membranaceum
Iseilema vaginiflorum,NA,1.01,NA,keep,Iseilema vaginiflorum
Leersia hexandra,0.982,0.93,NA,keep,Leersia hexandra
Leptochloa digitata,0.115,0.115,NA,omit,Leptochloa digitata
Leptochloa fusca,NA,0.41,0.34,keep,Leptochloa fusca
Lolium perenne,NA,2,NA,keep,Lolium perenne
Lophatherum gracile,NA,2.63,NA,keep,Lophatherum gracile
Melinis minutiflora,NA,0.11,NA,keep,Melinis minutiflora
Melinis repens,NA,0.47,NA,keep,Melinis repens
Microstegium nudum,0.068,0.06,NA,keep,Microstegium nudum
Oplismenus burmanni,NA,0.49,0.418,keep,Oplismenus burmannii
Oplismenus compositus,1.0064,1,NA,keep,Oplismenus compositus
Oplismenus hirtellus,1.3496,0.89,0.8944,keep,Oplismenus aemulus
Oryza rufipogon,22.84,1.53,NA,keep,Oryza meridionalis
Oryza sativa,NA,27.5,NA,keep,Oryza sativa
Oxychloris scariosa,0.6896,0.68,NA,keep,Oxychloris scariosa
Panicum antidotale,NA,1.2,NA,keep,Panicum antidotale
Panicum coloratum,NA,0.72,NA,keep,Panicum coloratum
Panicum decompositum,0.702,0.58,NA,keep,Panicum decompositum
Panicum effusum,0.908,0.55,NA,keep,Panicum effusum
Panicum laevinode,NA,0.64,NA,keep,Panicum laevinode
Panicum maximum,NA,1.1,NA,keep,Megathyrsus maximus
Panicum miliaceum,NA,4.3,NA,keep,Panicum miliaceum
Panicum simile,0.9172,0.91,NA,keep,Panicum simile
Panicum trichoides,0.1152,0.11,NA,keep,Panicum trichoides
Paraneurachne muelleri,NA,2.69,2.6992,keep,Paraneurachne muelleri
Paspalidium caespitosum,NA,0.53,0.5348,keep,Paspalidium caespitosum
Paspalidium clementii,0.492,0.492,NA,omit,Paspalidium clementii
Paspalidium constrictum,1.413,1.413,NA,omit,Paspalidium constrictum
Paspalidium disjunctum,NA,0.31,NA,keep,Paspalidium disjunctum
Paspalidium distans,0.452,0.452,NA,omit,Paspalidium distans
Paspalidium gausum,0.985,0.985,NA,omit,Paspalidium gausum
Paspalidium jubiflorum,0.685,0.685,NA,omit,Paspalidium jubiflorum
Paspalum conjugatum,NA,0.55,NA,keep,Paspalum conjugatum
Paspalum dilatatum,NA,1.5,NA,keep,Paspalum dilatatum
Paspalum notatum,NA,3,NA,keep,Paspalum notatum
Paspalum paniculatum,NA,0.24,NA,keep,Paspalum paniculatum
Paspalum plicatulum,NA,1.6,NA,keep,Paspalum plicatulum
Paspalum scrobiculatum,6.948,2.5,NA,keep,Paspalum scrobiculatum
Paspalum urvillei,NA,0.8,NA,keep,Paspalum urvillei
Paspalum virgatum,NA,1.97,NA,keep,Paspalum virgatum
Pennisetum alopecuroides,NA,2.93,NA,keep,Pennisetum alopecuroides
Pennisetum basedowii,NA,4.15,NA,keep,Pennisetum basedowii
Pennisetum glaucum,NA,7.1,NA,keep,Pennisetum glaucum
Pennisetum polystachion,NA,0.4,NA,keep,Pennisetum polystachion
Pennisetum purpureum,NA,0.55,NA,keep,Pennisetum purpureum
Pennisetum setaceum,NA,1.64,NA,keep,Pennisetum setaceum
Pennisetum villosum,NA,1.4,NA,keep,Pennisetum villosum
Perotis rara,0.328,0.27,NA,keep,Perotis rara
Phalaris canariensis,NA,5.2,NA,keep,Phalaris canariensis
Phragmites australis,0.18,0.11,NA,keep,Phragmites australis
Poa annua,NA,0.3,NA,keep,Poa annua
Rottboellia cochinchinensis,22.1612,16.63,NA,keep,Rottboellia cochinchinensis
Saccharum officinarum,NA,0.4,NA,keep,Saccharum officinarum
Schizachyrium fragile,2,2,NA,omit,Schizachyrium fragile
Setaria barbata,NA,1.14,NA,keep,Setaria barbata
Setaria italica,NA,2.3,NA,keep,Setaria italica
Setaria pumila,NA,1.39,NA,keep,Setaria pumila
Setaria sphacelata,NA,0.73,NA,keep,Setaria sphacelata
Setaria sphacelata,NA,0.73,NA,keep,Setaria sphacelata var. sericea
Setaria verticillata,NA,0.8,NA,keep,Setaria verticillata
Sorghum arundinaceum,NA,7.94,NA,keep,Sorghum arundinaceum
Sorghum bicolor,NA,14.3,NA,keep,Sorghum bicolor
Sorghum halepense,NA,3.8,NA,keep,Sorghum halepense
Sorghum x almum,NA,5.8,NA,keep,Sorghum x almum
Spinifex sericeus,13.85,13.85,NA,omit,Spinifex sericeus
Sporobolus actinocladus,0.067,0.06,NA,keep,Sporobolus actinocladus
Sporobolus africanus,NA,0.19,NA,keep,Sporobolus africanus
Sporobolus australasicus,0.1092,0.1,NA,keep,Sporobolus australasicus
Sporobolus carolii,0.088,0.05,NA,keep,Sporobolus caroli
Sporobolus creber,0.0872,0.08,NA,keep,Sporobolus creber
Sporobolus elongatus,0.18,0.1,NA,keep,Sporobolus elongatus
Sporobolus fertilis,NA,0.16,NA,keep,Sporobolus fertilis
Sporobolus mitchellii,0.06,0.06,NA,omit,Sporobolus mitchellii
Sporobolus natalensis,NA,0.21,NA,keep,Sporobolus natalensis
Sporobolus pyramidalis,NA,0.16,NA,keep,Sporobolus pyramidalis
Sporobolus virginicus,0.1876,0.22,NA,keep,Sporobolus virginicus
Themeda quadrivalvis,NA,0.18,NA,keep,Themeda quadrivalvis
Themeda triandra,5.6,2.9,NA,keep,Themeda triandra
Thyridolepis mitchelliana,2.855,2.07,NA,keep,Thyridolepis mitchelliana
Tragus australianus,0.694,0.61,NA,keep,Tragus australianus
Triodia mitchellii,2.19416,2.19,NA,keep,Triodia mitchellii
Tripogon loliiformis,0.7732,0.07,NA,keep,Tripogon loliiformis
Triraphis mollis,0.252,0.17,NA,keep,Triraphis mollis
Uranthoecium truncatum,1.9668,1.96,NA,keep,Uranthoecium truncatum
Urochloa mosambicensis,NA,1.4,NA,keep,Urochloa mosambicensis
Urochloa panicoides,NA,2.12,NA,keep,Urochloa panicoides var. panicoides
Urochloa panicoides,NA,2.12,NA,keep,Urochloa panicoides var. pubescens
Zea mexicana,NA,43.1,NA,keep,Zea mexicana
Zoysia matrella,0.69,0.69,NA,omit,Zoysia matrella
