species_name,leaf_length_max_GrassBase_2014,leaf_length_max_Metcalfe_2020_2,leaf_length_max_SAH_2014,leaf_length_max_Wheeler_2002,leaf_length_max_to_keep,original_name
Acrachne racemosa,750,750,NA,NA,omit,Acrachne racemosa
Agrostis avenacea,NA,300,NA,350,keep,Lachnagrostis filiformis
Aira cupaniana,NA,95,NA,NA,keep,Aira cupaniana
Alloteropsis cimicina,150,150,NA,NA,omit,Alloteropsis cimicina
Alloteropsis semialata,500,500,NA,NA,omit,Alloteropsis semialata
Amphipogon caricinus,150,150,150,NA,omit,Amphipogon caricinus var. caricinus
Amphipogon sericeus,NA,150,NA,NA,keep,Amphipogon sericeus
Ancistrachne uncinulata,170,60,NA,NA,keep,Ancistrachne uncinulata
Andropogon gayanus,NA,600,NA,NA,keep,Andropogon gayanus
Aristida acuta,130,130,NA,NA,omit,Aristida acuta
Aristida anthoxanthoides,90,90,NA,NA,omit,Aristida anthoxanthoides
Aristida benthamii,250,250,NA,NA,omit,Aristida benthamii var. benthamii
Aristida benthamii,250,250,NA,NA,omit,Aristida benthamii var. spinulifera
Aristida biglandulosa,300,300,NA,NA,omit,Aristida biglandulosa
Aristida blakei,200,200,NA,NA,omit,Aristida blakei
Aristida burraensis,140,140,NA,NA,omit,Aristida burraensis
Aristida calycina,250,250,NA,NA,omit,Aristida calycina
Aristida calycina,250,250,NA,NA,omit,Aristida calycina var. calycina
Aristida calycina,250,250,NA,NA,omit,Aristida calycina var. praealta
Aristida caput-medusae,40,40,NA,NA,omit,Aristida caput-medusae
Aristida contorta,100,100,NA,NA,omit,Aristida contorta
Aristida dominii,160,160,NA,NA,omit,Aristida dominii
Aristida exserta,80,80,NA,NA,omit,Aristida exserta
Aristida gracilipes,80,80,NA,NA,omit,Aristida gracilipes
Aristida granitica,210,210,NA,NA,omit,Aristida granitica
Aristida helicophylla,210,210,NA,NA,omit,Aristida helicophylla
Aristida holathera,250,250,NA,NA,omit,Aristida holathera
Aristida holathera,250,250,NA,NA,omit,Aristida holathera var. holathera
Aristida hygrometrica,270,270,NA,NA,omit,Aristida hygrometrica
Aristida inaequiglumis,300,300,NA,NA,omit,Aristida inaequiglumis
Aristida ingrata,230,230,NA,NA,omit,Aristida ingrata
Aristida jerichoensis,180,180,NA,NA,omit,Aristida jerichoensis
Aristida jerichoensis,180,180,NA,NA,omit,Aristida jerichoensis var. jerichoensis
Aristida jerichoensis,180,180,NA,NA,omit,Aristida jerichoensis var. subspinulifera
Aristida latifolia,700,700,NA,NA,omit,Aristida latifolia
Aristida lazaridis,200,200,NA,NA,omit,Aristida lazaridis
Aristida leptopoda,300,300,NA,NA,omit,Aristida leptopoda
Aristida lignosa,200,300,NA,NA,keep,Aristida lignosa
Aristida longicollis,180,180,NA,NA,omit,Aristida longicollis
Aristida macroclada,300,300,NA,NA,omit,Aristida macroclada subsp. macroclada
Aristida macroclada subsp. queenslandica,NA,300,NA,NA,keep,Aristida macroclada subsp. queenslandica
Aristida muricata,190,190,NA,NA,omit,Aristida muricata
Aristida nitidula,170,170,NA,NA,omit,Aristida nitidula
Aristida perniciosa,200,200,NA,NA,omit,Aristida perniciosa
Aristida personata,160,160,NA,NA,omit,Aristida personata
Aristida polyclados,110,110,NA,NA,omit,Aristida polyclados
Aristida pruinosa,400,400,NA,NA,omit,Aristida pruinosa
Aristida psammophila,150,150,NA,NA,omit,Aristida psammophila
Aristida queenslandica,400,400,NA,NA,omit,Aristida queenslandica
Aristida queenslandica,400,400,NA,NA,omit,Aristida queenslandica var. queenslandica
Aristida queenslandica var. dissimilis,NA,400,NA,NA,keep,Aristida queenslandica var. dissimilis
Aristida ramosa,120,120,NA,NA,omit,Aristida ramosa
Aristida schultzii,250,250,NA,NA,omit,Aristida schultzii
Aristida sciuroides,210,210,NA,NA,omit,Aristida sciuroides
Aristida spuria,120,120,NA,NA,omit,Aristida spuria
Aristida superpendens,270,270,NA,NA,omit,Aristida superpendens
Aristida thompsonii,250,250,NA,NA,omit,Aristida thompsonii
Aristida utilis,210,210,NA,NA,omit,Aristida utilis var. utilis
Aristida warburgii,160,160,NA,NA,omit,Aristida warburgii
Arthragrostis aristispicula,100,90,NA,NA,keep,Arthragrostis aristispicula
Arthragrostis deschampsioides,100,90,NA,NA,keep,Arthragrostis deschampsioides
Arthraxon hispidus,NA,80,NA,NA,keep,Arthraxon hispidus
Arundinella nepalensis,400,300,NA,NA,keep,Arundinella nepalensis
Arundinella setosa,400,250,NA,NA,keep,Arundinella setosa
Arundo donax,NA,800,NA,NA,keep,Arundo donax var. donax
Astrebla elymoides,350,350,NA,NA,omit,Astrebla elymoides
Astrebla lappacea,300,200,NA,NA,keep,Astrebla lappacea
Astrebla pectinata,250,250,NA,NA,omit,Astrebla pectinata
Astrebla squarrosa,500,300,NA,NA,keep,Astrebla squarrosa
Avena sterilis subsp. ludoviciana,NA,600,NA,NA,keep,Avena sterilis subsp. ludoviciana
Axonopus compressus,NA,200,NA,NA,keep,Axonopus compressus
Axonopus fissifolius,NA,220,NA,NA,keep,Axonopus fissifolius
Bambusa balcooa,NA,300,NA,NA,keep,Bambusa balcooa
Bambusa moreheadiana,300,300,NA,NA,omit,Bambusa moreheadiana
Bambusa vulgaris,NA,300,NA,NA,keep,Bambusa vulgaris
Bothriochloa bladhii,550,550,NA,NA,omit,Bothriochloa bladhii
Bothriochloa bladhii,550,550,NA,NA,omit,Bothriochloa bladhii subsp. bladhii
Bothriochloa bladhii,550,550,NA,NA,omit,Bothriochloa bladhii subsp. glabra
Bothriochloa decipiens,250,250,NA,NA,omit,Bothriochloa decipiens
Bothriochloa decipiens,250,250,NA,NA,omit,Bothriochloa decipiens var. decipiens
Bothriochloa decipiens,250,250,NA,NA,omit,Bothriochloa decipiens var. cloncurrensis
Bothriochloa erianthoides,300,300,NA,NA,omit,Bothriochloa erianthoides
Bothriochloa ewartiana,150,150,NA,NA,omit,Bothriochloa ewartiana
Bothriochloa macra,NA,300,NA,NA,keep,Bothriochloa macra
Bothriochloa pertusa,NA,300,NA,NA,keep,Bothriochloa pertusa
Brachiaria atrisola,150,150,NA,NA,omit,Urochloa atrisola
Brachiaria brizantha,NA,150,NA,NA,keep,Urochloa brizantha
Brachiaria decumbens,NA,200,NA,NA,keep,Urochloa decumbens
Brachiaria distachya,120,120,NA,NA,omit,Urochloa distachya
Brachiaria foliosa,190,190,NA,NA,omit,Urochloa foliosa
Brachiaria gilesii,NA,100,NA,NA,keep,Urochloa gilesii
Brachiaria holosericea,NA,80,NA,NA,keep,Urochloa holosericea
Brachiaria holosericea,NA,80,NA,NA,keep,Urochloa holosericea subsp. holosericea
Brachiaria holosericea subsp. velutina,80,80,NA,NA,omit,Urochloa holosericea subsp. velutina
Brachiaria humidicola,NA,200,NA,NA,keep,Urochloa humidicola
Brachiaria kurzii,80,80,NA,NA,omit,Urochloa kurzii
Brachiaria mutica,NA,300,NA,NA,keep,Urochloa mutica
Brachiaria piligera,NA,150,NA,NA,keep,Urochloa piligera
Brachiaria polyphylla,NA,80,NA,NA,keep,Urochloa polyphylla
Brachiaria praetervisa,NA,1700,120,NA,keep,Urochloa praetervisa
Brachiaria pubigera,NA,180,NA,NA,keep,Urochloa pubigera
Brachiaria ramosa,NA,250,NA,NA,keep,Urochloa ramosa
Brachiaria reptans,80,80,NA,NA,omit,Urochloa reptans
Brachiaria subquadripara,NA,200,NA,NA,keep,Urochloa subquadripara
Brachiaria whiteana,150,150,NA,NA,omit,Urochloa whiteana
Brachyachne convergens,60,60,NA,NA,omit,Brachyachne convergens
Brachyachne tenella,100,100,NA,NA,omit,Brachyachne tenella
Briza minor,NA,140,NA,NA,keep,Briza minor
Calyptochloa gracillima,40,40,NA,NA,omit,Calyptochloa gracillima
Capillipedium parviflorum,300,300,NA,NA,omit,Capillipedium parviflorum
Capillipedium spicigerum,250,400,NA,NA,keep,Capillipedium spicigerum
Cenchrus caliculatus,560,560,NA,NA,omit,Cenchrus caliculatus
Cenchrus ciliaris,NA,250,NA,NA,keep,Cenchrus ciliaris
Cenchrus echinatus,NA,250,NA,NA,keep,Cenchrus echinatus
Cenchrus elymoides,340,340,NA,NA,omit,Cenchrus elymoides var. elymoides
Cenchrus pennisetiformis,NA,200,NA,NA,keep,Cenchrus pennisetiformis
Cenchrus robustus,220,220,NA,NA,omit,Cenchrus robustus
Cenchrus setiger,NA,300,NA,NA,keep,Cenchrus setiger
Centotheca lappacea,120,120,NA,NA,omit,Centotheca lappacea
Centotheca philippinensis,155,150,NA,NA,keep,Centotheca philippinensis
Chionachne cyathopoda,600,600,NA,NA,omit,Chionachne cyathopoda
Chionachne hubbardiana,400,400,NA,NA,omit,Chionachne hubbardiana
Chloris barbata,NA,400,NA,NA,keep,Chloris inflata
Chloris divaricata,150,150,NA,NA,omit,Chloris divaricata
Chloris divaricata,150,150,NA,NA,omit,Chloris divaricata var. divaricata
Chloris divaricata,150,150,NA,NA,omit,Chloris divaricata var. cynodontoides
Chloris gayana,NA,500,NA,NA,keep,Chloris gayana
Chloris lobata,150,150,NA,NA,omit,Chloris lobata
Chloris pectinata,150,150,NA,NA,omit,Chloris pectinata
Chloris pumilio,120,120,NA,NA,omit,Chloris pumilio
Chloris ventricosa,200,200,NA,NA,omit,Chloris ventricosa
Chloris virgata,NA,300,NA,NA,keep,Chloris virgata
Chrysopogon aciculatus,NA,150,NA,NA,keep,Chrysopogon aciculatus
Chrysopogon benthamianus,NA,450,NA,NA,keep,Chrysopogon fallax
Chrysopogon filipes,450,450,NA,NA,omit,Chrysopogon filipes
Chrysopogon oliganthus,550,550,NA,NA,omit,Chrysopogon oliganthus
Chrysopogon pallidus,400,400,NA,NA,omit,Chrysopogon pallidus
Chrysopogon setifolius,200,200,NA,NA,omit,Chrysopogon setifolius
Chrysopogon sylvaticus,500,500,NA,NA,omit,Chrysopogon sylvaticus
Chrysopogon zizanioides,NA,1000,NA,NA,keep,Chrysopogon zizanioides
