species_name,plant_height_GrassBase_2014,plant_height_Metcalfe_2020_2,plant_height_RBGSYD_2014,plant_height_SAH_2014,plant_height_Wheeler_2002,plant_height_to_keep,original_name
Sporobolus australasicus,0.4,0.4,NA,NA,NA,omit,Sporobolus australasicus
Sporobolus carolii,0.75,0.75,0.6,0.4,NA,omit,Sporobolus caroli
Sporobolus contiguus,0.7,0.7,0.6,NA,NA,omit,Sporobolus contiguus
Sporobolus coromandelianus,NA,0.3,NA,NA,NA,keep,Sporobolus coromandelianus
Sporobolus creber,1.4,1.4,1.3,NA,NA,omit,Sporobolus creber
Sporobolus disjunctus,0.8,0.8,NA,NA,NA,omit,Sporobolus disjunctus
Sporobolus elongatus,1,1,1,0.6,NA,omit,Sporobolus elongatus
Sporobolus fertilis,NA,1.6,1.6,NA,NA,omit,Sporobolus fertilis
Sporobolus laxus,1.5,1.5,NA,NA,NA,omit,Sporobolus laxus
Sporobolus lenticularis,0.6,0.6,NA,NA,NA,omit,Sporobolus lenticularis
Sporobolus mitchellii,0.7,0.7,0.6,NA,NA,omit,Sporobolus mitchellii
Sporobolus natalensis,NA,1.5,NA,NA,NA,keep,Sporobolus natalensis
Sporobolus pulchellus,0.4,0.4,NA,NA,NA,omit,Sporobolus pulchellus
Sporobolus pyramidalis,NA,1.7,1.3,NA,NA,keep,Sporobolus jacquemontii
Sporobolus pyramidalis,NA,1.7,1.3,NA,NA,keep,Sporobolus pyramidalis
Sporobolus scabridus,0.6,0.6,NA,NA,NA,omit,Sporobolus scabridus
Sporobolus sessilis,1,1,NA,NA,NA,omit,Sporobolus sessilis
Sporobolus virginicus,0.5,0.5,0.5,NA,0.4,omit,Sporobolus virginicus
Stenotaphrum micranthum,0.3,0.3,NA,NA,NA,omit,Stenotaphrum micranthum
Stenotaphrum secundatum,NA,0.4,0.3,NA,NA,keep,Stenotaphrum secundatum
Stipa ramosissima,2.5,2.5,2.5,NA,NA,omit,Austrostipa ramosissima
Stipa rudis,NA,1.2,1.2,NA,NA,omit,Austrostipa rudis subsp. rudis
Thaumastochloa brassii,0.35,0.35,NA,NA,NA,omit,Thaumastochloa brassii
Thaumastochloa major,0.35,0.35,NA,NA,NA,omit,Thaumastochloa major
Thaumastochloa monilifera,0.7,0.7,NA,NA,NA,omit,Thaumastochloa monilifera
Thaumastochloa pubescens,0.3,0.3,NA,NA,NA,omit,Thaumastochloa pubescens
Thaumastochloa rariflora,0.6,0.6,NA,NA,NA,omit,Thaumastochloa rariflora
Thaumastochloa x heteromorpha,NA,0.55,NA,NA,NA,keep,Thaumastochloa x heteromorpha
Themeda arguens,3,3,NA,NA,NA,omit,Themeda arguens
Themeda avenacea,2,2,2,1,NA,omit,Themeda avenacea
Themeda intermedia,5,5,NA,NA,NA,omit,Themeda intermedia
Themeda quadrivalvis,NA,2,2,NA,NA,omit,Themeda quadrivalvis
Themeda triandra,2,2,1.2,0.9,2,omit,Themeda triandra
Thuarea involuta,0.25,0.25,NA,NA,NA,omit,Thuarea involuta
Thyridolepis mitchelliana,0.6,0.6,0.5,0.3,NA,omit,Thyridolepis mitchelliana
Thyridolepis xerophila,0.7,0.7,0.5,0.3,NA,omit,Thyridolepis xerophila
Tragus australianus,0.43,0.43,0.4,0.3,NA,omit,Tragus australianus
Triodia bitextura,2,2,NA,NA,NA,omit,Triodia bitextura
Triodia claytonii,1,0.9,NA,NA,NA,keep,Triodia claytonii
Triodia longiceps,2.5,2.5,NA,NA,NA,omit,Triodia longiceps
Triodia microstachya,2.5,2.5,NA,NA,NA,omit,Triodia microstachya
Triodia mitchellii,2,2,2,NA,NA,omit,Triodia mitchellii
Triodia pungens,2.3,2.3,NA,NA,NA,omit,Triodia pungens
Triodia stenostachya,2,2,NA,NA,NA,omit,Triodia stenostachya
Triodia triaristata,1,1,NA,NA,NA,omit,Triodia triaristata
Tripogon loliiformis,0.55,0.55,0.4,NA,NA,omit,Tripogon loliiformis
Triraphis mollis,0.6,1.2,0.8,0.5,NA,keep,Triraphis mollis
Uranthoecium truncatum,0.45,0.45,0.4,0.15,NA,omit,Uranthoecium truncatum
Urochloa mosambicensis,NA,1.5,1,NA,NA,keep,Urochloa mosambicensis
Urochloa panicoides,NA,1,0.7,NA,NA,keep,Urochloa panicoides var. panicoides
Urochloa panicoides,NA,1,0.7,NA,NA,keep,Urochloa panicoides var. pubescens
Vacoparis laxiflorum,NA,2,NA,NA,NA,keep,Vacoparis laxiflorum
Whiteochloa airoides,1.1,1.1,NA,NA,NA,omit,Whiteochloa airoides
Whiteochloa semitonsa,0.6,0.6,NA,NA,NA,omit,Whiteochloa semitonsa
Xerochloa imberbis,0.75,0.75,NA,NA,NA,omit,Xerochloa imberbis
Yakirra australiensis,0.3,0.3,NA,NA,NA,omit,Yakirra australiensis var. australiensis
Yakirra majuscula,0.8,0.75,NA,NA,NA,keep,Yakirra majuscula
Yakirra muelleri,0.3,0.3,NA,NA,NA,omit,Yakirra muelleri
Yakirra pauciflora,0.75,0.75,NA,NA,NA,omit,Yakirra pauciflora
Zea mexicana,NA,4,NA,NA,NA,keep,Zea mexicana
Zoysia matrella,NA,0.25,NA,NA,NA,keep,Zoysia matrella
