PlantID,Order - APG,Family - APG,Family - BRI old,Family - BRI current,Genus - current,Genus - synonyms,Genus - synonyms,Genus - synonyms,Genus - synonyms,Species - current,Species- synonyms,Species- synonyms,Species- synonyms,Species- synonyms,Species- synonyms,current full name with authority,current full name without authority,Altitudinal_range_in_Aus_MIN(m),Altitudinal_range_in_Aus_Max(m),Latitudinal_limits_in_Aus_MIN,Latitudinal_limits_in_Aus_MAX,Longitudinal_limits_in_Aus_MIN,Longitudinal_limits_in_Aus_MAX,Endemicity_level,IUCN Conservation_status,EPBC Conservation_status,NCA Conservation_status,Growth Form,Growth Form,Growth Form,Raunkier_life_form,Raunkier_life_form,Raunkier_life_form,,Height_max (m),Clonality,Clonality,Physical_defence,Photosynthetic pathway,Photosynthetic pathway,Photosynthetic pathway,Specific_leaf_area,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Leaf_type,MIN _#_of_leaflets_in_array,MAX_#_of_leaflets_in_array,MIN length Leaflet (mm),MAX length Leaflet (mm),MIN width Leaflet (mm),MAX width Leaflet (mm),Laminar Unit Area (mm2),Leaf_phenology,Leaf_longevity,Leaf_fracture_toughness,Wood_density,1_Nutrient_uptake_strategy,1_Dispersal_mode,2_Dispersal_mode,Fruit_type,Fruit_functional_type ,Fruit_accessories,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Width_fruit(mm),Min_length_seed (mm),Max_length_seed (mm),Min_breadth_seed (mm),Max_breadth_seed(mm),Min_width_seed (mm),Max_width_seed(mm),Seed_mass (g),Resprouting_capacity,Suckering_capacity,1_Pollination_syndrome,Nectar_volume,Nectar_concentration,Sex habit,Sex habit,Sex habit,Sex habit,Shade tolerance,References
5120,Poales,Poaceae,Poaceae,,Acrachne,,,,,racemosa    ,verticillata,,,,,Acrachne racemosa (B.Heyne ex Roem. & Schult.) Ohwi,Acrachne racemosa,,,,,,,Cosmopolitan,,,,Tussock,,,Therophyte,,,,1,,,,C4,,,,130,750,3,12,simple,,,,,,,,1980,,,,,No obvious special uptake strategy,Wind,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,0.8,1,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992
5121,Poales,Poaceae,Poaceae,,Aira,,,,,cupaniana    ,,,,,,Aira cupaniana Guss.,Aira cupaniana,,,,,,,Cosmopolitan,,,,Tussock,,,Therophyte,,,,0.4,,,,C3,,,,10,95,0.3,1,simple,,,,,,,,20.475,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,1,,,,,,,,,,0.000043,,,Wind,,,hermaphrodite,,,,,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
5122,Poales,Poaceae,Poaceae,,Alloteropsis,Eriachne,Panicum,Axonopus,,cimicina    ,melicacea f. fragrans,cimicinum,cimicinus,,,Alloteropsis cimicina (L.) Stapf,Alloteropsis cimicina,,,,,,,Cosmopolitan,,,,Tussock,,,Therophyte,,,,1.2,,,,C4,,,,30,150,5,20,simple,,,,,,,,675,,,,,No obvious special uptake strategy,Wind,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992
5123,Poales,Poaceae,Poaceae,,Alloteropsis,Panicum,Arundinella,,,semialata    ,semialatum,semialata var. eckloniana ,schultzii,,,Alloteropsis semialata (R.Br.) Hitchc.,Alloteropsis semialata,,,,,,,Cosmopolitan,,,,Tussock,,,Geophyte,,,,1.5,Clonal below ground,,,C3,,,,100,500,1,10,simple,,,,,,,,990,,,,,No obvious special uptake strategy,Wind,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,1.3,1.5,,,,,,,,,,0.001986,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
5124,Poales,Poaceae,Poaceae,,Amphipogon,,,,,caricinus var. caricinus  ,brownii ,strictus var. desertorum ,strictus var. occidentalis ,sericeus ,,Amphipogon caricinus F.Muell. var. caricinus,Amphipogon caricinus var. caricinus,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.5,,,,C3,,,,100,150,2,3,simple,,,,,,,,187.5,,,,,No obvious special uptake strategy,Wind,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,0.001576,,,Wind,,,hermaphrodite,,,,,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC
5125,Poales,Poaceae,Poaceae,,Amphipogon,,,,,sericeus    ,caricinus var. sericeus ,,,,,Amphipogon sericeus (Vickery) T.D.Macfarl.,Amphipogon sericeus,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,0.6,Clonal below ground,,,C3,,,,80,150,2,2.5,simple,,,,,,,,155.25,,,,,No obvious special uptake strategy,Wind,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/GrassBase/Watson & Dallwitz 1992
5126,Poales,Poaceae,Poaceae,,Ancistrachne,Panicum,,,,uncinulata    ,uncinulatum ,,,,,Ancistrachne uncinulata (R.Br.) S.T.Blake,Ancistrachne uncinulata,,,,,,,Gondwanan,,,,Tussock,,,Hemicryophyte,,,,2,,,,,,,,10,60,1.4,5,simple,,,,,,,,67.2,,,,,No obvious special uptake strategy,Wind,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,,,,,,APNI/GrassBase/AusGrass
5127,Poales,Poaceae,Poaceae,,Andropogon,,,,,gayanus    ,,,,,,Andropogon gayanus Kunth,Andropogon gayanus,,,,,,,Cosmopolitan,,,,Tussock,,,Hemicryophyte,,,,2.5,,,,C4,,,,300,600,4,20,simple,,,,,,,,3240,,,,,No obvious special uptake strategy,Wind,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,,,,,,,,,,,,,,,Wind,,,andromonoecious,,,,,GrassBase/Watson & Dallwitz 1992
5129,Poales,Poaceae,Poaceae,,Aristida,,,,,acuta    ,,,,,,Aristida acuta S.T.Blake,Aristida acuta,,,,,,,Australia,,,,Tussock,,,Hemicryophyte,,,,1.25,,,,C4,,,,70,130,1,1,simple,,,,,,,,60,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,4.5,6,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/GrassBase/AusGrass/Watson & Dallwitz 1992
5130,Poales,Poaceae,Poaceae,,Aristida,,,,,anthoxanthoides    ,adscensionis var. subaequiglumis ,depressa ,peregrina ,adscensionis var. anthoxanthoides ,,Aristida anthoxanthoides (Domin) Henrard,Aristida anthoxanthoides,,,,,,,Australia,,,,Tussock,,,Therophyte,,,,0.3,,,,C4,,,,40,90,1.5,1.5,simple,,,,,,,,58.5,,,,,No obvious special uptake strategy,Exozoochory,,caryopsis,Dry dehiscent or indehsicent without attractant or wing,,5,6,,,,,,,,,,,,,Wind,,,hermaphrodite,,,,,APNI/GrassBase/AusGrass/Watson & Dallwitz 1992
