taxon,leaf_phenology,sampling season,p100 (Mpa),p0 (Mpa),RWC at turgor loss,TW:DW,e (Mpa),max gs (mmol m-2 s-1),predawn water potential,tissue
Eucalyptus clavigera,,Oct-93,,,,,,168,,
Planchonia careya,,Oct-92,,,,,,164,,
Planchonia careya,,Mar-93,,,,,,493,,
Planchonia careya,,May-93,,,,,,126,,
Planchonia careya,,Jul-93,,,,,,186,,
Terminalia ferdinandiana,,Oct-92,,,,,,125,,
Terminalia ferdinandiana,,Mar-93,,,,,,501,,
Terminalia ferdinandiana,,May-93,,,,,,337,,
Cochlospermum fraseri,,Oct-92,,,,,,223,,
Cochlospermum fraseri,,Mar-93,,,,,,615,,
Cochlospermum fraseri,,May-93,,,,,,174,,
Eucalyptus miniata,,Oct-92,,,,,,,-0.77,leaf
Eucalyptus miniata,,Mar-93,,,,,,,-0.22,leaf
Eucalyptus miniata,,May-93,,,,,,,-0.65,leaf
Eucalyptus miniata,,Jun-93,,,,,,,-1.25,leaf
Eucalyptus miniata,,Jul-93,,,,,,,-0.52,leaf
Eucalyptus miniata,,Oct-93,,,,,,,-0.68,leaf
Eucalyptus miniata,,Dec-93,,,,,,,-0.33,leaf
Eucalyptus miniata,,Mar-94,,,,,,,-0.07,leaf
Eucalyptus miniata,,Jun-94,,,,,,,-0.53,leaf
Eucalyptus miniata,,Sep-94,,,,,,,-0.40,leaf
Eucalyptus miniata,,Nov-94,,,,,,,-1.38,leaf
Eucalyptus miniata,,Dec-94,,,,,,,-0.55,leaf
Eucalyptus tetrodonta,,Oct-92,,,,,,,-0.72,leaf
Eucalyptus tetrodonta,,Mar-93,,,,,,,-0.11,leaf
Eucalyptus tetrodonta,,May-93,,,,,,,-0.40,leaf
Eucalyptus tetrodonta,,Jun-93,,,,,,,-1.39,leaf
Eucalyptus tetrodonta,,Jul-93,,,,,,,-0.67,leaf
Eucalyptus tetrodonta,,Oct-93,,,,,,,-0.59,leaf
Eucalyptus tetrodonta,,Dec-93,,,,,,,-0.37,leaf
Eucalyptus tetrodonta,,Mar-94,,,,,,,-0.05,leaf
Eucalyptus tetrodonta,,Jun-94,,,,,,,-0.05,leaf
Eucalyptus tetrodonta,,Sep-94,,,,,,,-0.74,leaf
Eucalyptus tetrodonta,,Nov-94,,,,,,,-1.37,leaf
Eucalyptus tetrodonta,,Dec-94,,,,,,,-0.33,leaf
Erythrophleum chlorostachys,,Oct-92,,,,,,,-0.96,leaf
Erythrophleum chlorostachys,,Mar-93,,,,,,,-0.18,leaf
Erythrophleum chlorostachys,,May-93,,,,,,,-0.84,leaf
Erythrophleum chlorostachys,,Jun-93,,,,,,,-1.51,leaf
Erythrophleum chlorostachys,,Jul-93,,,,,,,-1.09,leaf
Erythrophleum chlorostachys,,Oct-93,,,,,,,-0.84,leaf
Erythrophleum chlorostachys,,Dec-93,,,,,,,-0.44,leaf
Erythrophleum chlorostachys,,Mar-94,,,,,,,-0.07,leaf
Erythrophleum chlorostachys,,Jun-94,,,,,,,-0.72,leaf
Erythrophleum chlorostachys,,Sep-94,,,,,,,-1.18,leaf
Erythrophleum chlorostachys,,Nov-94,,,,,,,-1.43,leaf
Erythrophleum chlorostachys,,Dec-94,,,,,,,-0.66,leaf
Xanthostemon paradoxus,,Oct-92,,,,,,,-0.63,leaf
Xanthostemon paradoxus,,Mar-93,,,,,,,-0.15,leaf
Xanthostemon paradoxus,,May-93,,,,,,,-0.59,leaf
Xanthostemon paradoxus,,Jun-93,,,,,,,-1.61,leaf
Xanthostemon paradoxus,,Jul-93,,,,,,,-1.24,leaf
Xanthostemon paradoxus,,Oct-93,,,,,,,-1.03,leaf
Xanthostemon paradoxus,,Dec-93,,,,,,,-0.31,leaf
Xanthostemon paradoxus,,Mar-94,,,,,,,-0.03,leaf
Xanthostemon paradoxus,,Jun-94,,,,,,,-0.54,leaf
Xanthostemon paradoxus,,Sep-94,,,,,,,-0.81,leaf
Xanthostemon paradoxus,,Nov-94,,,,,,,-1.68,leaf
Xanthostemon paradoxus,,Dec-94,,,,,,,-0.31,leaf
Eucalyptus clavigera,,Oct-92,,,,,,,-0.47,leaf
Eucalyptus clavigera,,Mar-93,,,,,,,-0.17,leaf
Eucalyptus clavigera,,May-93,,,,,,,-0.54,leaf
Eucalyptus clavigera,,Jun-93,,,,,,,-0.67,leaf
Eucalyptus clavigera,,Jul-93,,,,,,,-0.42,leaf
Eucalyptus clavigera,,Oct-93,,,,,,,-0.30,leaf
Eucalyptus clavigera,,Dec-93,,,,,,,-0.25,leaf
Eucalyptus clavigera,,Mar-94,,,,,,,-0.13,leaf
Eucalyptus clavigera,,Jun-94,,,,,,,-0.39,leaf
Eucalyptus clavigera,,Sep-94,,,,,,,-0.66,leaf
Eucalyptus clavigera,,Nov-94,,,,,,,-0.57,leaf
Eucalyptus clavigera,,Dec-94,,,,,,,-0.40,leaf
Planchonia careya,,Oct-92,,,,,,,-0.17,leaf
Planchonia careya,,Mar-93,,,,,,,-0.08,leaf
Planchonia careya,,May-93,,,,,,,-0.55,leaf
Planchonia careya,,Jun-93,,,,,,,-0.94,leaf
Planchonia careya,,Jul-93,,,,,,,-0.3,leaf
Planchonia careya,,Oct-93,,,,,,,-0.25,leaf
Planchonia careya,,Dec-93,,,,,,,-0.18,leaf
Planchonia careya,,Mar-94,,,,,,,-0.05,leaf
Planchonia careya,,Jun-94,,,,,,,-0.47,leaf
Planchonia careya,,Sep-94,,,,,,,-0.37,leaf
Planchonia careya,,Nov-94,,,,,,,-0.52,leaf
Planchonia careya,,Dec-94,,,,,,,-0.22,leaf
Terminalia ferdinandiana,,Oct-92,,,,,,,-0.81,leaf
Terminalia ferdinandiana,,Mar-93,,,,,,,-0.17,leaf
Terminalia ferdinandiana,,May-93,,,,,,,-0.84,leaf
Terminalia ferdinandiana,,Jun-93,,,,,,,-1.61,leaf
Terminalia ferdinandiana,,Jul-93,,,,,,,-1.45,twig
Terminalia ferdinandiana,,Oct-93,,,,,,,-0.66,twig
Terminalia ferdinandiana,,Dec-93,,,,,,,-0.18,leaf
Terminalia ferdinandiana,,Mar-94,,,,,,,-0.08,leaf
Terminalia ferdinandiana,,Jun-94,,,,,,,-0.69,leaf
Terminalia ferdinandiana,,Sep-94,,,,,,,,
Terminalia ferdinandiana,,Nov-94,,,,,,,,
Terminalia ferdinandiana,,Dec-94,,,,,,,-0.13,leaf
Cochlospermum fraseri,,Oct-92,,,,,,,-0.47,leaf
Cochlospermum fraseri,,Mar-93,,,,,,,-0.17,leaf
Cochlospermum fraseri,,May-93,,,,,,,-0.45,leaf
Cochlospermum fraseri,,Jun-93,,,,,,,,
Cochlospermum fraseri,,Jul-93,,,,,,,-0.42,twig
Cochlospermum fraseri,,Oct-93,,,,,,,-0.5,twig
Cochlospermum fraseri,,Dec-93,,,,,,,-0.24,leaf
Cochlospermum fraseri,,Mar-94,,,,,,,-0.13,leaf
Cochlospermum fraseri,,Jun-94,,,,,,,-0.44,leaf
Cochlospermum fraseri,,Sep-94,,,,,,,-0.76,twig
Cochlospermum fraseri,,Nov-94,,,,,,,-0.99,twig
Cochlospermum fraseri,,Nov-94,,,,,,,-0.86,leaf
Cochlospermum fraseri,,Dec-94,,,,,,,-0.25,leaf
