Species ,Latitude,Longitude,Organ,Wood density (g/cm^3),Total bark density (g/cm^3),Inner bark density (g/cm^3),Bark thickness (mm),"Relative bark thickness (%, standardized by stem diameter)",Outer bark thickness (mm),Inner bark thickness (mm),Structural Young's modulus (N/m^2),Wood Young's modulus (N/m^2),Total bark Young's modulus (N/m^2),"Bark photosynthesis (0: absence, 1: presence)",MOR,site_name,sample_size
Acacia_dealbata,-42.4,147,Twig,0.62,0.498,0.498,1.21225,18.31868164,0.109798,1.661699667,2333.354828,4248.114249,795.4034762,1,38.86844684,Bothwell,5
Aotus_ericoides,-42.4,147,Twig,0.772,0.6925,0.6925,0.3585,13.05568754,0.066007833,0.351757,5456.114731,6613.804995,4195.698394,0,50.1828448,Bothwell,5
Banksia_marginata,-42.4,147,Twig,0.54,0.408,0.406,1.3285,15.42483419,0.382,1.693,3359.865275,5295.524847,1398.822494,1,40.73390594,Bothwell,5
Bossiaea_cinerea,-42.4,147,Twig,0.796,0.48,0.48,0.24525,11.2369917,0.056,0.225,8990.777354,10615.96162,6403.308378,1,81.24556656,Bothwell,5
Cassinia_aculeata,-42.4,147,Twig,0.656,0.444,0.426,0.764,10.34739364,0.592,0.43,6474.106346,9072.981579,2381.646606,1,55.00933338,Bothwell,5
Daviesia_latifolia,-42.4,147,Twig,0.666,0.634,0.69,0.6385,10.85703506,0.181,0.547,2726.799458,3383.190764,1703.912572,1,38.77164966,Bothwell,5
Epacris_impressa,-42.4,147,Twig,0.642,0.5775,0.5775,0.39275,9.853044736,0.106,0.275,5520.805899,6694.282798,3263.658834,1,56.71255793,Bothwell,5
Eucalyptus_tenuiramis,-42.4,147,Twig,0.575,0.455,0.415,1.10625,14.42720237,0.427,1.209,5040.337336,7053.469218,2732.046239,1,34.94698513,Bothwell,5
Exocarpus_cupressiformis,-42.4,147,Twig,0.616,0.548,0.538,0.8798,12.41512713,0.132,1.058,3551.098965,5177.97357,1253.280812,1,44.40997886,Bothwell,5
Leucopogon_ericoides,-42.4,147,Twig,0.68,0.592,0.55,0.3515,6.960737293,0.045,0.335,6014.530111,6284.350713,5264.515604,1,69.61804738,Bothwell,5
Persoonia_juniperina,-42.4,147,Twig,0.634,0.64,0.404,0.694,10.50258962,0.054,1.31,3033.251676,3590.065107,2305.261826,1,36.90087858,Bothwell,5
Pultenaea_juniperina,-42.4,147,Twig,0.846,0.592,0.646,0.4475,9.986445173,0.102,0.491,8304.532228,9481.701024,6571.416587,1,62.05614596,Bothwell,5
Antirhea_tenuiflora,-16.1,145.4,Twig,0.6,0.403333333,0.463333333,0.563333333,10.26333333,0.059,0.798,7189.266667,10122.76667,2201.8,1,110.5,Daintree National Park,3
Ardisia_brevipedata,-16.1,145.4,Twig,0.586666667,0.446666667,0.433333333,0.643333333,11.96666667,0.069,0.631,4328.866667,6909.933333,894.75,1,60.06666667,Daintree National Park,3
Brombya_platynema,-16.1,145.4,Twig,0.616666667,0.26,0.36,0.81,13.03666667,0.111,1.238,5118.566667,8591.933333,530.85,1,66.2,Daintree National Park,3
Carallia_brachiata,-16.1,145.4,Twig,0.646666667,0.353333333,0.426666667,0.503333333,10.35666667,0.088,0.63,7708.333333,10239.03333,3038.166667,1,77.83333333,Daintree National Park,3
Cryptocarya_mackinnoniana,-16.1,145.4,Twig,0.71,0.633333333,0.686666667,0.67,11.62,0.088,0.851,6443.533333,8642.533333,3037.2,1,67.6,Daintree National Park,3
