ID,Sp,Ht,Yrs,SDMASS,SLA,N,SDMASS_Int,SLA_Int,N_Int,VegType,Site
1,Acasua,93,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
2,Acasua,79,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
3,Acasua,81,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
4,Acasua,88,2.07,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
5,Acasua,149,2.49,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
6,Acasua,156,2.49,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
7,Acasua,225,27.03,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
8,Acasua,42,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
9,Acasua,83,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
10,Acasua,61,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
11,Acasua,63,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
12,Acasua,72,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
13,Acasua,83,1.41,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
14,Acasua,110,4.68,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
15,Acasua,130,4.15,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
16,Acasua,125,4.15,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
17,Acasua,140,11.85,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
18,Acasua,155,11.85,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
19,Acasua,170,22.11,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
20,Acasua,201,2.49,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
21,Acasua,207,2.49,28.485,7.028394715,2.0978275,1.06486116,-0.93166607,0.9743826,1,MyallLakes
