site_name,trait_name,unit,value,notes
Beerwah,longitude,deg,153,
Beerwah,latitude,deg,-26.85,
Kakadu1,longitude,deg,132.92,
Kakadu1,latitude,deg,-12.65,
Kakadu11,longitude,deg,132.92,
Kakadu11,latitude,deg,-12.65,
Kakadu2,longitude,deg,132.92,
Kakadu2,latitude,deg,-12.65,
Kakadu3,longitude,deg,132.92,
Kakadu3,latitude,deg,-12.65,
Kakadu4,longitude,deg,132.92,
Kakadu4,latitude,deg,-12.65,
Kakadu5,longitude,deg,132.92,
Kakadu5,latitude,deg,-12.65,
Kakadu6,longitude,deg,132.92,
Kakadu6,latitude,deg,-12.65,
Monklands,longitude,deg,146.52,
Monklands,latitude,deg,-23.51,
Summerdell,longitude,deg,146.12,
Summerdell,latitude,deg,-23.87,
