gen spp,site_text,C3C4,Nfixer,growth form,deciduous/evergreen,leaf Nmass,leaf Pmass,delta 13C,15-N
Cajanus acutifolius,Kakadu2,C3,Y,S,E,1.68,,-28.73,-1.64
Calycopeplus collinus,Kakadu2,C3,N,S,E,0.85,,-27.93,0.30
Calytrix achaeta,Kakadu2,C3,N,S,E,0.99,,-28.84,0.95
Calytrix exstipulata,Kakadu2,C3,N,S,E,0.86,,-29.06,0.96
Cartonema spicatum,Kakadu2,C3,N,G?,E,1.25,,-29.62,-0.85
Clerodendron sp.,Kakadu2,C3,N,H,E,1.85,,-31.65,-0.36
Cochlospermum fraseri,Kakadu2,C3,N,T,D,1.38,,-28.19,-0.38
Corymbia latifolia,Kakadu2,C3,N,T,facultative-D,1.05,,-28.67,-0.74
Corymbia porrecta,Kakadu2,C3,N,T,E,0.97,,-28.62,0.05
Dampiera sp.,Kakadu2,C3,N,S,E,1.03,,-29.48,-0.41
Dianella sp.,Kakadu2,C3,N,G?,E,0.86,,-30.04,1.05
Dolichandrone filiformis,Kakadu2,C3,N,T,E,1.26,,-28.73,-0.63
Erythrophleum chlorostachys,Kakadu2,C3,N,T,facultative-D,1.93,,-28.43,-0.90
Eucalyptus miniata,Kakadu2,C3,N,T,E,1.10,,-28.87,-0.96
Eucalyptus tetrodonta,Kakadu2,C3,N,T,E,0.89,,-27.93,-0.88
Evolvulus alsinoides,Kakadu2,C3,N,H,E,1.21,,-27.42,-0.45
Exocarpus latifolius,Kakadu2,C3,N,S or T,E,1.07,,-30.11,2.72
Ficus opposita,Kakadu2,C3,N,T,facultative-D,1.24,,-29.53,1.23
Fimbristylis sp.,Kakadu2,,N,G,E,0.61,,-25.64,1.86
Flemingia parviflora,Kakadu2,C3,Y,H,E,1.64,,-27.89,-0.99
Galactia megalophylla,Kakadu2,C3,Y,S,E,2.02,,-28.48,-0.73
Galactia tenuiflora,Kakadu2,C3,Y,V,E,2.52,,-30.67,-0.44
Gardenia megasperma,Kakadu2,C3,N,T,facultative-D,1.00,,-28.74,0.67
Gompholobium subulatum,Kakadu2,C3,Y,S,E,1.80,,-29.71,-0.62
Goodenia sp.,Kakadu2,C3,N,H or S,E,1.77,,-30.41,-0.04
Grevillea decurrens,Kakadu2,C3,N,S or T,E,1.16,,-29.03,3.01
Grevillea mimosoides,Kakadu2,C3,N,S or T,E,0.80,,-29.38,3.72
Grevillea pteridifolia,Kakadu2,C3,N,T,E,0.66,,-29.85,1.94
Haemodorum coccineum,Kakadu2,C3,N,G?,E,0.96,,-28.01,-0.07
Hibiscus meraukensis,Kakadu2,C3,N,H or S,E,1.13,,-28.91,-2.19
Livistona humilis,Kakadu2,C3,N,T,E,0.86,,-29.05,-0.60
Livistona inermis,Kakadu2,C3,N,T,E,1.52,,-28.36,0.19
Lophostemon lactifluus,Kakadu2,C3,N,T,facultative-D,3.38,,-30.68,0.73
Maytenus ferdinandi,Kakadu2,C3,N,T,E,1.18,,-27.64,1.64
Owenia vernicosa,Kakadu2,C3,N,T,E,1.41,,-28.33,-0.05
Pachynema sp.,Kakadu2,C3,N,S,E,1.48,,-26.65,2.30
Pandanus spiralis,Kakadu2,C3,N,T,E,1.16,,-28.52,1.96
Persoonia falcata,Kakadu2,C3,N,S or T,E,1.02,,-29.68,2.57
Petalostigma quadriloculare,Kakadu2,C3,N,S,facultative-D,0.73,,-27.82,0.65
Planchonia careya,Kakadu2,C3,N,T,E,1.04,,-27.92,-0.15
Portulaca bicolor,Kakadu2,C3,N,H,E,1.43,,-28.40,0.50
Sauropus sp.,Kakadu2,C3,N,H or S,E,0.93,,-30.64,0.33
Tacca leontopetaloides,Kakadu2,C3,N,H,E,3.73,,-28.38,0.95
Tephrosia remotiflora,Kakadu2,C3,Y,H,E,2.33,,-28.20,-1.07
Terminalia carpentariae,Kakadu2,C3,N,T,D,1.17,,-27.30,0.16
Terminalia ferdinandiana,Kakadu2,C3,N,T,D,1.11,,-28.15,0.66
Terminalia grandiflora,Kakadu2,C3,N,T,D,1.12,,-28.52,0.17
Terminalia latipes,Kakadu2,C3,N,T,D,1.32,,-27.63,0.59
Thecanthes sp.,Kakadu2,C3,N,H,E,1.89,,-29.89,0.61
Uraria sp.,Kakadu2,C3,Y,H,E,3.32,,-30.65,-1.96
