var_name,trait_name,unit
SLA (mg/mm2),specific_leaf_area,mg/mm2
longevity,life_history,
Height (cm),plant_height,cm
Seed Dispersal,dispersal_syndrome,
Seed mass (mg),seed_mass,mg
Growth form,plant_growth_form,
LDMC (mg/g),leaf_dry_matter_content,mg/g
LDMC (%),leaf_dry_matter_content,mg/g
Leaf area (mm2),leaf_area,mm2
