Site name,Site name expanded,Species,context,sample month,sample number,Hv sapwood,Hydraulic condictivity,HC per leaf area,HC per branch TA,HC per SW area,Predawn water potential,minimum water potential,Amass
Crosslands,Crosslands_mangrove,Aegiceras corniculatum,summer,January,1,0.000405754,239.4223,1.077993246,18.05557394,26.56764464,-1.6,-4.8,92.59
Crosslands,Crosslands_mangrove,Aegiceras corniculatum,summer,January,2,0.000517965,213.33248,1.42032277,23.92916386,27.42118898,-2,-6,
Crosslands,Crosslands_mangrove,Aegiceras corniculatum,summer,January,3,0.000277959,182.0052,0.75930413,13.14363707,27.31708489,-3,-4.5,
Crosslands,Crosslands_mangrove,Aegiceras corniculatum,summer,January,4,0.000468185,223.33244,0.996574922,15.75086082,21.28594238,-1.8,-5,
Crosslands,Crosslands_mangrove,Aegiceras corniculatum,summer,January,5,0.000624187,345.006,2.124421182,26.40199017,34.03499069,-2.3,-5,
Crosslands,Crosslands_mangrove,Aegiceras corniculatum,summer,January,6,0.000544259,318.2433,1.97666646,35.069678,36.31851984,-1.7,-5.2,
Crosslands,Crosslands_mangrove,Avicennia marina,summer,January,1,0.000571825,478.4913,2.456320842,42.88660705,42.95581799,-1.9,-3.8,94.19
Crosslands,Crosslands_mangrove,Avicennia marina,summer,January,2,0.000635694,519,2.155315615,38.94962395,33.90494855,-1.5,-4.5,
Crosslands,Crosslands_mangrove,Avicennia marina,summer,January,3,0.00078406,272,1.48877942,13.97142043,18.98807769,-2.2,-4.4,
Crosslands,Crosslands_mangrove,Avicennia marina,summer,January,4,0.000765907,181.5,0.974235105,14.89410904,12.72001876,-2,-4.9,
Crosslands,Crosslands_mangrove,Avicennia marina,summer,January,5,0.000571031,503.7345,1.828437387,42.40653974,32.01995946,-1.8,-4,
Crosslands,Crosslands_mangrove,Avicennia marina,summer,January,6,0.00048274,967.491,2.806762402,66.04041342,58.14235695,-2,-4.5,
Crosslands,Crosslands_ridgetop,Eucalypyus haemostoma,summer,January,1,0.000265623,1710,1.679434296,71.23217266,63.22630963,-0.35,-1.8,64.13
Crosslands,Crosslands_ridgetop,Eucalypyus haemostoma,summer,January,2,0.000300778,1728,3.235349186,115.2686502,107.5661429,-0.3,-2.9,
