Sample,location,distance [km],Species,d13C,No. of Leaves,Specific Leaf Area (m2 kg-1),"BHU 1,3 [cm]",tree height [m],Sprouter or obligate Seeder,above See NN [m],Leaf Area (cm2),area per Leaf [cm2]/No. Leaf,Dry weight per leaf [g]/No. Leaves,Dry matter (g),Latitude,Longitude,N [%],C [%]
147,Mt Holland,421,Eucalyptus polita,-25.37,17,2.24952,121,15.34,obligater seeder,442,123.98,7.3,0.3,5.511,-32.16472222,119.7488889,0.9,53.165
148,Mt Holland,421,Eucalyptus urna,-26.85,11,2.1389,131,16.25,obligater seeder,442,97.72,8.9,0.4,4.569,-32.16472222,119.7488889,0.995,52.61
149,Mt Holland,421,Eucalyptus urna,-25.4,15,2.09907,52,11,obligater seeder,442,138.61,9.2,0.4,6.603,-32.16472222,119.7488889,1,52.65
150,Mt Holland,421,Eucalyptus urna,-25.85,11,2.22904,155,17.25,obligater seeder,442,123.19,11.2,0.5,5.527,-32.16472222,119.7488889,0.97,52.86
151,Mt Holland,421,Eucalyptus concinna,-25.49,14,2.0179,28,7.7,sprouter,442,145,10.4,0.5,7.186,-32.16472222,119.7488889,0.98,52.4
152,Mt Holland,421,Eucalyptus salubris,-24.97,16,2.55176,26,8.1,obligater seeder,442,89.97,5.6,0.2,3.526,-32.16472222,119.7488889,0.92,52.66
153,Mt Holland,421,Eucalyptus salubris,-24.88,13,2.58198,24,8.9,obligater seeder,442,79.21,6.1,0.2,3.068,-32.16472222,119.7488889,1.01,53.19
154,Mt Holland,421,Eucalyptus salubris,-24.06,15,2.58628,34,8.5,obligater seeder,442,73.14,4.9,0.2,2.828,-32.16472222,119.7488889,0.97,53.14
155,Mt Holland,421,Eucalyptus calycogona subsp. calycogona,-25.9,12,2.47551,34,8.8,sprouter,442,61.16,5.1,0.2,2.471,-32.16472222,119.7488889,1.08,51.22
156,Mt Holland,421,Eucalyptus flocktoniae subsp. flocktoniae,-25.8,10,1.94065,42,7.7,sprouter,442,141.25,14.1,0.7,7.279,-32.16472222,119.7488889,0.82,52.27
157,Mt Holland,421,Eucalyptus salmonophloia,-26.06,11,3.6965,122,15.6,sprouter,442,95.44,8.7,0.2,2.582,-32.16472222,119.7488889,1.23,52.52
158,Mt Holland,421,Eucalyptus salmonophloia,,13,3.14562,114,13.64,sprouter,442,106.3,8.2,0.3,3.379,-32.16472222,119.7488889,1.2,52.1
159,Mt Holland,421,Eucalyptus salmonophloia,-25.94,12,3.18778,110,15,sprouter,442,79.94,6.7,0.2,2.508,-32.16472222,119.7488889,1.12,51.15
160,Mt Holland,421,Eucalyptus tenera,-25.9,13,2.22522,8,2.2,sprouter,442,52.76,4.1,0.2,2.371,-32.16472222,119.7488889,1.02,54.21
161,Mt Holland,421,Eucalyptus livida,-26.06,9,2.26627,46,10,sprouter,442,109.3,12.1,0.5,4.823,-32.16472222,119.7488889,0.75,53.4
162,Holland 69,441,Eucalyptus exigua,-25.59,12,2.69225,15,3.5,sprouter,392,57.59,4.8,0.2,2.139,-32.04972222,119.9027778,1.02,51.53
163,Holland 69,441,Eucalyptus salicola,-27.2,17,2.89877,60,8.2,unknown,392,57.1,3.4,0.1,1.97,-32.04972222,119.9027778,1.11,50.26
164,Holland 69,441,Eucalyptus alipes syn. Eucalyptus suggrandis,-25.85,15,2.55147,22,4,obligater seeder,392,55.27,3.7,0.1,2.166,-32.04972222,119.9027778,1.12,52.22
165,Holland 69,441,Eucalyptus dendrosheath,-26.15,12,2.30482,20,5,obligater seeder,392,125.23,10.4,0.5,5.433,-32.04972222,119.9027778,0.98,49.82
166,Holland 107,475,Eucalyptus tenuis,-26.5,9,2.39414,47,10.4,obligater seeder,397,73.16,8.1,0.3,3.056,-31.87722222,120.1891667,1.04,52.11
167,Holland 107,475,Eucalyptus yilarnensis,-27.45,13,2.97325,12,6,sprouter,397,89.7,6.9,0.2,3.017,-31.87722222,120.1891667,1,49.87
168,Holland 107,475,Eucalyptus salmonophloia,-25.96,13,3.36543,232,18.46,sprouter,397,100.66,7.7,0.2,2.991,-31.87722222,120.1891667,1.42,53.1
169,Holland 107,475,Eucalyptus aff. aequioperta,-26.62,12,2.86936,75,8.5,sprouter,397,77.51,6.5,0.2,2.701,-31.87722222,120.1891667,1.28,51.79
170,Holland 128,493,Eucalyptus incerata,-25.19,10,2.06913,30,3,sprouter,462,113.62,11.4,0.5,5.491,-31.78027778,120.3433333,1,53.25
171,Holland 128,493,Eucalyptus tenuis,-25.14,12,2.19161,53,9.5,obligater seeder,462,52.34,4.4,0.2,2.388,-31.78027778,120.3433333,1.16,53.57
172,Holland 128,493,Eucalyptus transcontinentalis,-28.04,11,2.89134,49,8.5,obligater seeder,462,99.17,9,0.3,3.43,-31.78027778,120.3433333,1.15,53.1
173,Holland 128,493,Eucalyptus salubris,-24.97,10,2.01432,53,10.5,obligater seeder,462,39.95,4,0.2,1.983,-31.78027778,120.3433333,1.04,53.36
174,Holland 148,510,Eucalyptus rigidula,-27.85,11,2.42914,40,5.6,sprouter,454,56.31,5.1,0.2,2.318,-31.67027778,120.4769444,0.91,51.47
175,Holland 148,510,Eucalyptus rigidula,-28.08,10,3.95479,38,4,sprouter,454,114.42,11.4,0.3,2.893,-31.67027778,120.4769444,0.82,50.59
176,Holland 148,510,Eucalyptus rigidula,-26.87,8,2.61893,32,5,sprouter,454,57.64,7.2,0.3,2.201,-31.67027778,120.4769444,0.88,50.89
177,Holland 148,510,Eucalyptus leptopoda subsp. leptopoda,-27.2,13,2.37244,17,4,sprouter,454,84.3,6.5,0.3,3.553,-31.67027778,120.4769444,1.05,50.52
178,Holland 148,510,Eucalyptus leptopoda subsp. leptopoda,-26.24,14,2.70672,15,4,sprouter,454,62.98,4.5,0.2,2.327,-31.67027778,120.4769444,1.23,50.46
179,Holland 148,510,Eucalyptus leptopoda subsp. leptopoda,-26.33,11,2.54097,20,5,sprouter,454,67.92,6.2,0.2,2.673,-31.67027778,120.4769444,1.07,50.73
180,Holland 164,525,Eucalyptus histophylla,-25.18,10,2.15582,13,4,seeder,438,65.91,6.6,0.3,3.057,-31.57611111,120.5786111,0.8,53.75
181,Holland 164,525,Eucalyptus incrassata,-27.43,9,2.08561,21,3.5,sprouter,438,41.56,4.6,0.2,1.993,-31.57611111,120.5786111,0.82,52.49
182,Holland 164,525,Eucalyptus rigidula,-27.13,11,2.22642,22,4,sprouter,438,60.67,5.5,0.2,2.725,-31.57611111,120.5786111,0.85,52.09
183,Holland 164,525,Eucalyptus aspratilis,-26.52,11,2.3911,15,3.5,sprouter,438,88.6,8.1,0.3,3.705,-31.57611111,120.5786111,1.07,51.32
