Sample,location,distance [km],Species,d13C,No. of Leaves,Specific Leaf Area (m2 kg-1),"BHU 1,3 [cm]",tree height [m],Sprouter or obligate Seeder,above See NN [m],Leaf Area (cm2),area per Leaf [cm2]/No. Leaf,Dry weight per leaf [g]/No. Leaves,Dry matter (g),Latitude,Longitude,N [%],C [%]
56,Stirling Range,113,Corymbia calophylla,-28.6,7,6.05925,123,9.45,sprouter,264,203.1,29,0.5,3.352,-34.37888889,117.7797222,1.12,51.07
57,Stirling Range,113,Corymbia calophylla,-27.16,7,5.00865,360,20.75,sprouter,264,173.71,24.8,0.5,3.468,-34.37888889,117.7797222,1.35,51.45
58,Stirling Range,113,Corymbia calophylla,-27.32,9,4.73536,247,13.25,sprouter,264,152.72,17,0.4,3.225,-34.37888889,117.7797222,1.15,51.48
59,Stirling Range,113,Eucalyptus wandoo subsp. wandoo,-27.31,7,2.85734,117,16.38,sprouter,264,121.28,17.3,0.6,4.245,-34.37888889,117.7797222,1.17,50.55
60,Stirling Range,113,Eucalyptus wandoo subsp. wandoo,-26.98,8,2.72651,165,16.64,sprouter,264,81.76,10.2,0.4,2.999,-34.37888889,117.7797222,1,52.29
61,Stirling Range,113,Eucalyptus wandoo subsp. wandoo,-28.55,9,3.09588,144,15.34,sprouter,264,122.86,13.7,0.4,3.969,-34.37888889,117.7797222,1.09,51.93
62,Amelup,164,Eucalyptus longicornis,-27.73,10,3.35607,191,14.85,sprouter,195,53.14,5.3,0.2,1.583,-34.14944444,118.235,1.21,52.96
63,Amelup,164,Eucalyptus longicornis,-26.15,9,3.19179,183,14.56,sprouter,195,67.8,7.5,0.2,2.124,-34.14944444,118.235,1.28,52.95
64,Amelup,164,Eucalyptus longicornis,-27.17,11,3.65796,159,14.43,sprouter,195,72.38,6.6,0.2,1.979,-34.14944444,118.235,1.33,53.07
65,Bordon,185,Eucalyptus phaenophylla,-26.11,9,2.90307,9,3.5,sprouter,327,36.84,4.1,0.1,1.269,-33.91944444,118.3288889,0.86,54.64
66,Bordon,185,Eucalyptus phaenophylla,-28.08,13,2.77213,8,4,sprouter,327,40.34,3.1,0.1,1.455,-33.91944444,118.3288889,0.84,53.33
67,Bordon,185,Eucalyptus phaenophylla,-26.84,8,2.38009,16,6.25,sprouter,327,32.8,4.1,0.2,1.378,-33.91944444,118.3288889,0.82,54.3
68,Nanicup,204,Eucalyptus astringens,-26.96,8,3.07623,50,8.58,obligater seeder,341,82.24,10.3,0.3,2.673,-33.71111111,118.365,1.04,53.98
69,Nanicup,204,Eucalyptus astringens,-26.1,12,2.81648,62,9.36,obligater seeder,341,109.82,9.2,0.3,3.899,-33.71111111,118.365,1,53.51
70,Nanicup,204,Eucalyptus astringens,-27.16,9,3.23147,59,11.25,obligater seeder,341,63.34,7,0.2,1.96,-33.71111111,118.365,0.9,52.96
71,Nanicup,204,Eucalyptus phaenophylla,-26.07,7,2.31987,9,6,sprouter,341,37.51,5.4,0.2,1.617,-33.71111111,118.365,0.8,53.9
72,Nanicup,204,Eucalyptus phaenophylla,-26.12,10,2.45344,22,6.5,sprouter,341,58.88,5.9,0.2,2.4,-33.71111111,118.365,0.91,53.95
73,Nanicup,204,Eucalyptus phaenophylla,-27.32,10,2.49356,26,5,sprouter,341,42.62,4.3,0.2,1.709,-33.71111111,118.365,0.79,54.16
74,Pingrup,218,Eucalyptus salmonophloia,-26.13,10,3.41197,164,16.75,sprouter,298,52.21,5.2,0.2,1.53,-33.59833333,118.4413889,1.49,52.86
75,Pingrup,218,Eucalyptus salmonophloia,-26.06,8,3.34257,128,16.64,sprouter,298,72.38,9,0.3,2.165,-33.59833333,118.4413889,1.28,53.04
76,Pingrup,218,Eucalyptus salmonophloia,-26.44,8,3.49655,211,22.1,sprouter,298,34.49,4.3,0.1,0.986,-33.59833333,118.4413889,1.19,53.08
77,Pingrup,218,Eucalyptus longicornis,-26.72,10,3.4528,135,15.08,sprouter,298,65.99,6.6,0.2,1.911,-33.59833333,118.4413889,1.34,53.15
78,Pingrup,218,Eucalyptus longicornis,-25.88,11,3.41691,119,15.5,sprouter,298,64.87,5.9,0.2,1.899,-33.59833333,118.4413889,1.32,52.93
79,Pingrup,218,Eucalyptus longicornis,-24.91,11,3.20516,136,11.84,sprouter,298,72.6,6.6,0.2,2.265,-33.59833333,118.4413889,1.29,52.95
80,Chinocup,218,Eucalyptus loxophleba subsp. gratiae,-25.07,6,2.89017,42,11.75,sprouter,315,96,16,0.6,3.322,-33.54805556,118.3775,1.63,52.71
81,Chinocup,218,Eucalyptus loxophleba subsp. gratiae,-25.37,8,2.83663,29,9.5,sprouter,315,130.02,16.3,0.6,4.584,-33.54805556,118.3775,1.55,52.86
82,Chinocup,218,Eucalyptus loxophleba subsp. gratiae,-24.73,7,3.01849,28,8.37,sprouter,315,133.36,19.1,0.6,4.418,-33.54805556,118.3775,1.69,50.97
83,Chinocup,218,Eucalyptus tenera,-24.61,9,2.60646,15,3.6,sprouter,315,46.03,5.1,0.2,1.766,-33.54805556,118.3775,1.19,53.5
84,Chinocup,218,Eucalyptus tenera,-23.75,8,2.54934,14,4.2,sprouter,315,59.03,7.4,0.3,2.316,-33.54805556,118.3775,1.13,53.39
85,Chinocup,218,Eucalyptus tenera,-25.13,11,2.5072,18,5.3,sprouter,315,62.7,5.7,0.2,2.501,-33.54805556,118.3775,0.96,55.07
86,Lake Grace,240,Eucalyptus salubris,-25.4,12,3.17739,42,8.97,obligater seeder,311,63.91,5.3,0.2,2.011,-33.38166667,118.51,1.24,53.19
87,Lake Grace,240,Eucalyptus salubris,-24.38,8,2.74785,47,9.75,obligater seeder,311,48.92,6.1,0.2,1.78,-33.38166667,118.51,1.16,52.89
88,Lake Grace,240,Eucalyptus salubris,-25.16,9,2.35642,38,7.36,obligater seeder,311,47.06,5.2,0.2,1.997,-33.38166667,118.51,0.94,53.71
89,Lake Grace,240,Eucalyptus flocktoniae subsp. flocktoniae,-24.79,11,2.20055,43,6.7,sprouter,311,92.41,8.4,0.4,4.199,-33.38166667,118.51,1.11,53.84
