Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)",seed_mass_outcome,plant_height_outcome
Pentaglottis sempervirens,Asteranae,Boraginaceae,Pentaglottis,1415,0.9,25.9181,0.0033,0,1,1,keep,keep
Pentapogon quadrifidus,Poales,Poaceae,Pentapogon,1416,0.7,8.18651,8.096e-4,0,1,0,omit,keep
Persicaria decipiens,Caryophyllales,Polygonaceae,Persicaria,1418,0.3,12.2522,0.0014148,0,0,0,keep,keep
Persicaria subsessilis,Caryophyllales,Polygonaceae,Persicaria,1424,0.2,27.0962,0.003474,0,0,0,omit,keep
Persoonia gunnii,Proteales,Proteaceae,Persoonia,1425,3,2.35619,0.176807,0,0,0,keep,keep
Persoonia juniperina,Proteales,Proteaceae,Persoonia,1426,2,0.353429,0.0933601,0,0,0,keep,keep
Persoonia muelleri,Proteales,Proteaceae,Persoonia,1428,5,3.53429,0.135083,0,0,1,keep,keep
Petalochilus carneus,Asparagales,Orchidaceae,Petalochilus,1430,0.15,4.71239,5.33e-6,0,0,1,keep,keep
Petalochilus fuscatus,Asparagales,Orchidaceae,Petalochilus,1431,0.15,4.71239,5.33e-6,0,0,1,keep,keep
Petrorhagia nanteuilii,Caryophyllales,Caryophyllaceae,Petrorhagia,1433,0.6,1.09956,4.9016e-4,0,0,1,keep,keep
Phebalium squameum,Sapindales,Rutaceae,Phebalium,1438,12,17.2788,0.00126821,0,0,1,keep,omit
Pherosphaera hookeriana,Pinales,Podocarpaceae,Pherosphaera,1440,3,0.235619,8.968e-4,0,0,0,keep,keep
Philotheca verrucosa,Sapindales,Rutaceae,Philotheca,1442,0.8,0.824668,0.00126821,0,0,1,keep,keep
Philotheca virgata,Sapindales,Rutaceae,Philotheca,1443,4,0.628319,0.00126821,0,0,1,keep,omit
Phragmites australis,Poales,Poaceae,Phragmites,1444,6,8.18651,0.00120732,0,1,1,keep,keep
Phyllangium divergens,Gentianales,Loganiaceae,Phyllangium,1447,0.15,0.235619,1.88e-5,0,0,0,omit,keep
Phyllanthus australis,Malpighiales,Phyllanthaceae,Phyllanthus,1448,2.5,5.18363,0.0028776,1,1,1,keep,keep
Phyllanthus gunnii,Malpighiales,Phyllanthaceae,Phyllanthus,1449,2.5,5.18363,0.0028776,0,0,1,keep,keep
Phyllocladus aspleniifolius,Malpighiales,Phyllanthaceae,Phyllocladus,1450,18,11.781,0.0028776,0,0,0,keep,keep
Phyllota diffusa,Fabales,Fabaceae,Phyllota,1452,0.5,0.0502655,0.00789099,0,0,1,keep,keep
Phymatosorus pustulatus,Polypodiales,Polypodiaceae,Phymatosorus,1453,0.5,42.41150082,0.0033,0,0,1,keep,keep
Picris angustifolia,Asterales,Asteraceae,Picris,1454,1.4,109.956,0.0015972,0,0,0,keep,keep
Pimelea cinerea,Myrtales,Thymeleaceae,Pimelea,1458,2,3.14159,0.00322368,0,0,1,keep,keep
Pimelea curviflora,Myrtales,Thymeleaceae,Pimelea,1459,1.5,1.1781,0.00322368,0,0,1,keep,omit
Pimelea drupacea,Myrtales,Thymeleaceae,Pimelea,1460,3,8.24668,0.00322368,0,0,1,keep,keep
Pimelea filiformis,Myrtales,Thymeleaceae,Pimelea,1461,0.1,0.471239,0.00322368,0,0,1,keep,keep
Pimelea flava,Myrtales,Thymeleaceae,Pimelea,1462,2.5,0.471239,0.00180961,0,0,0,keep,keep
Pimelea glauca,Myrtales,Thymeleaceae,Pimelea,1463,1,0.706858,0.00322368,0,0,1,keep,omit
Pimelea humilis,Myrtales,Thymeleaceae,Pimelea,1464,0.5,1.13097,0.00322368,0,0,1,keep,omit
Pimelea ligustrina,Myrtales,Thymeleaceae,Pimelea,1465,3,15.708,0.002312,0,0,0,keep,keep
Pimelea lindleyana,Myrtales,Thymeleaceae,Pimelea,1466,1.75385,2.99858,0.00322368,1,1,1,keep,keep
Pimelea linifolia,Myrtales,Thymeleaceae,Pimelea,1467,1.5,2.82743,0.0017212,0,0,0,keep,omit
Pimelea nivea,Myrtales,Thymeleaceae,Pimelea,1470,2.5,1.1781,0.00322368,0,0,1,keep,keep
Pimelea pauciflora,Myrtales,Thymeleaceae,Pimelea,1471,3,0.785398,0.00742,0,0,0,keep,keep
Pimelea sericea,Myrtales,Thymeleaceae,Pimelea,1473,0.7,2.99858,0.00322368,0,1,1,keep,keep
