Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)",seed_mass_outcome,plant_height_outcome
Rytidosperma nitens,Poales,Poaceae,Rytidosperma,1709,0.25,8.18651,2.152e-4,0,1,0,omit,keep
Sagina namadgi,Caryophyllales,Caryophyllaceae,Sagina,1713,0.2,0.392699,4.9016e-4,0,0,1,keep,keep
Sambucus gaudichaudiana,Dipsacales,Adoxaceae,Sambucus,1716,1,70.6858,0.0033,0,0,1,keep,keep
Samolus repens,Ericales,Theophrastaceae,Samolus,1717,0.6,6.28319,6.64e-5,0,0,0,omit,omit
Sarcocornia quinqueflora,Caryophyllales,Chenopodiaceae,Sarcocornia,1720,0.3,10.6029,3.2623e-4,0,1,0,keep,omit
Scaevola hookeri,Campanulales,Goodeniaceae,Scaevola,1723,0.1,5.89049,0.00125318,0,0,1,keep,keep
Schenkia australis,Gentianales,Gentianaceae,Schenkia,1724,0.4,4.71239,6.6e-5,0,0,0,keep,keep
Schizacme montana,Gentianales,Loganiaceae,Schizacme,1726,0.09,0.189805,4.4e-5,1,1,1,keep,keep
Schizaea bifida,Polypodiales,Schizaeaceae,Schizaea,1728,0.35,35.3429,0.0033,0,0,1,keep,keep
Schizaea fistulosa,Polypodiales,Schizaeaceae,Schizaea,1729,0.35,35.3429,0.0033,1,1,1,keep,keep
Schoenoplectus pungens,Poales,Cyperaceae,Schoenoplectus,1730,1.5,21.7073,0.002446,0,1,0,keep,keep
Schoenus absconditus,Poales,Cyperaceae,Schoenus,1732,0.225,3.73064,3.334e-4,1,1,1,keep,keep
Schoenus apogon,Poales,Cyperaceae,Schoenus,1733,0.2,5.89049,2.036e-4,0,0,0,keep,keep
Schoenus biglumis,Poales,Cyperaceae,Schoenus,1734,0.225,3.73064,3.334e-4,1,1,1,keep,keep
Schoenus calyptratus,Poales,Cyperaceae,Schoenus,1736,0.1,1.5708,3.334e-4,0,0,1,keep,keep
Schoenus carsei,Poales,Cyperaceae,Schoenus,1737,0.225,3.73064,3.334e-4,1,1,1,keep,keep
Schoenus fluitans,Poales,Cyperaceae,Schoenus,1738,0.225,3.73064,2.092e-4,1,1,0,keep,keep
Schoenus lepidosperma,Poales,Cyperaceae,Schoenus,1740,0.2,3.73064,3.334e-4,0,1,1,keep,keep
Schoenus maschalinus,Poales,Cyperaceae,Schoenus,1741,0.2,1.1781,3.334e-4,0,0,1,keep,keep
Schoenus nitens,Poales,Cyperaceae,Schoenus,1742,0.2,6.28319,7.116e-4,0,0,0,keep,keep
Schoenus pygmaeus,Poales,Cyperaceae,Schoenus,1743,0.225,3.73064,3.334e-4,1,1,1,keep,keep
Schoenus tenuissimus,Poales,Cyperaceae,Schoenus,1744,0.225,3.73064,3.334e-4,1,1,1,keep,keep
Schoenus tesquorum,Poales,Cyperaceae,Schoenus,1745,0.45,3.73064,2.092e-4,0,1,0,keep,keep
Scleranthus biflorus,Caryophyllales,Caryophyllaceae,Scleranthus,1747,0.1,0.0628319,4.668e-4,0,0,0,keep,keep
Scleranthus brockiei,Caryophyllales,Caryophyllaceae,Scleranthus,1748,0.1,0.0785398,4.036e-4,0,0,0,keep,keep
Scleranthus diander,Caryophyllales,Caryophyllaceae,Scleranthus,1749,0.1,0.0628319,8.216e-4,0,0,0,keep,omit
Scleranthus fasciculatus,Caryophyllales,Caryophyllaceae,Scleranthus,1750,0.2,0.0753982,6.736e-4,0,0,0,keep,keep
Sebaea albidiflora,Gentianales,Gentianaceae,Sebaea,1754,0.2,0.785398,2e-5,0,0,0,omit,omit
Sebaea ovata,Gentianales,Gentianaceae,Sebaea,1755,0.5,1.53153,2e-5,0,0,1,omit,keep
Selaginella gracillima,Selaginellales,Selaginellaceae,Selaginella,1757,0.38,0.0235619,0.0033,1,1,1,keep,keep
Selaginella uliginosa,Selaginellales,Selaginellaceae,Selaginella,1758,0.38,0.0235619,0.0033,0,0,1,keep,keep
Selliera radicans,Campanulales,Goodeniaceae,Selliera,1759,0.5,8.24668,4.36e-4,0,0,0,keep,keep
Senecio biserratus,Asterales,Asteraceae,Senecio,1760,1,42.4115,2.18e-4,0,0,0,keep,keep
Senecio glomeratus,Asterales,Asteraceae,Senecio,1763,1,10.6029,9.52e-5,0,0,0,keep,keep
Senecio gunnii,Asterales,Asteraceae,Senecio,1764,0.8,19.635,2.228e-4,0,0,0,keep,keep
Senecio hispidulus,Asterales,Asteraceae,Senecio,1765,1,18.8496,1.576e-4,0,0,0,keep,omit
Senecio lautus,Asterales,Asteraceae,Senecio,1766,0.3,3.14159,3.14889e-4,0,0,1,keep,keep
Senecio leptocarpus,Asterales,Asteraceae,Senecio,1767,0.3,6.28319,3.14889e-4,0,0,1,keep,keep
Senecio linearifolius,Asterales,Asteraceae,Senecio,1768,1.5,17.6715,3.14889e-4,0,0,1,keep,keep
Senecio minimus,Asterales,Asteraceae,Senecio,1769,1,28.2743,1.812e-4,0,0,0,keep,keep
Senecio odoratus,Asterales,Asteraceae,Senecio,1770,1.7,43.9823,2.64e-4,0,0,0,keep,keep
Senecio pectinatus,Asterales,Asteraceae,Senecio,1772,0.25,8.24668,9.564e-4,0,0,0,keep,keep
Senecio prenanthoides,Asterales,Asteraceae,Senecio,1775,0.8,9.42478,4.472e-4,0,0,0,keep,keep
Senecio quadridentatus,Asterales,Asteraceae,Senecio,1778,1,4.71239,3.14889e-4,0,0,1,keep,keep
Senecio squarrosus,Asterales,Asteraceae,Senecio,1780,0.8875,17.7696,2.916e-4,1,1,0,keep,keep
Siloxerus multiflorus,Asterales,Asteraceae,Siloxerus,1786,0.05,11.8909,8.13e-5,0,1,0,keep,keep
Solanum laciniatum,Solanales,Solanaceae,Solanum,1791,3,20.4204,0.0022628,0,0,1,keep,omit
Solanum physalifolium,Solanales,Solanaceae,Solanum,1793,2.5,14.9226,0.0022628,1,1,1,keep,keep
Solanum vescum,Solanales,Solanaceae,Solanum,1794,2,9.42478,0.0022628,0,0,0,keep,omit
Solenogyne dominii,Asterales,Asteraceae,Solenogyne,1796,0.1,8.67865,3.048e-4,0,0,1,keep,keep
Solenogyne gunnii,Asterales,Asteraceae,Solenogyne,1797,0.11,19.0066,3.048e-4,0,0,0,omit,keep
Sphaerocionium applanatum,Fabales,Fabaceae,Sphaerocionium,1805,3.57636,7.21216,0.00789099,1,1,1,keep,keep
Sphaerolobium minus,Fabales,Fabaceae,Sphaerolobium,1806,0.5,0.0392699,0.0014848,0,0,0,keep,keep
Spinifex sericeus,Poales,Poaceae,Spinifex,1808,0.5,8.18651,0.00120732,0,1,1,keep,keep
Sporadanthus tasmanicus,Poales,Restionaceae,Sporadanthus,1810,1.5,6.02139,0.0014557,0,1,1,keep,keep
Sporobolus virginicus,Poales,Poaceae,Sporobolus,1813,0.7,8.18651,0.00120732,0,1,1,keep,keep
Sprengelia distichophylla,Ericales,Ericaeae,Sprengelia,1814,0.1,0.0294524,5e-5,0,0,1,keep,keep
Sprengelia incarnata,Ericales,Ericaeae,Sprengelia,1815,2,0.942478,5e-5,0,0,0,keep,omit
Spyridium eriocephalum,Rhamnales,Rhamnaceae,Spyridium,1818,0.5,0.109956,6.036e-4,0,0,0,keep,keep
Spyridium obovatum,Rhamnales,Rhamnaceae,Spyridium,1822,15,1.88496,7.272e-4,0,0,0,keep,keep
Spyridium parvifolium,Rhamnales,Rhamnaceae,Spyridium,1823,1.5,1.83783,5.872e-4,0,0,0,keep,keep
Spyridium ulicinum,Rhamnales,Rhamnaceae,Spyridium,1824,3,0.235619,9.68e-4,0,0,0,omit,keep
Spyridium vexilliferum,Rhamnales,Rhamnaceae,Spyridium,1825,1.4,0.981748,4.872e-4,0,0,0,keep,keep
Stackhousia monogyna,Celastrales,Stackhousiaceae,Stackhousia,1826,0.7,0.942478,0.0021828,0,0,0,keep,omit
Stackhousia subterranea,Celastrales,Stackhousiaceae,Stackhousia,1829,0.7,1.72788,0.0028744,1,1,0,keep,keep
Stackhousia viminea,Celastrales,Stackhousiaceae,Stackhousia,1830,0.7,2.51327,0.0025286,0,0,1,keep,omit
Stegostyla alpina,Asparagales,Orchidaceae,Stegostyla,1831,0.271463,14.7073,5.33e-6,1,1,1,keep,keep
Stellaria flaccida,Caryophyllales,Caryophyllaceae,Stellaria,1835,0.1,1.13097,4.9016e-4,0,0,1,keep,keep
Stellaria multiflora,Caryophyllales,Caryophyllaceae,Stellaria,1836,0.1,0.15708,4.9016e-4,0,0,1,keep,keep
Stellaria palustris,Caryophyllales,Caryophyllaceae,Stellaria,1837,0.4,0.628319,4.9016e-4,0,0,1,keep,keep
Stellaria pungens,Caryophyllales,Caryophyllaceae,Stellaria,1838,0.1,0.15708,4.9016e-4,0,0,1,keep,keep
Stenanthemum pimeleoides,Rhamnales,Rhamnaceae,Stenanthemum,1839,0.1,0.282743,5.74e-4,0,0,0,keep,keep
Stenotaphrum secundatum,Poales,Poaceae,Stenotaphrum,1841,0.4,8.18651,0.00120732,0,1,1,keep,keep
Sticherus lobatus,Polypodiales,Gleicheniaceae,Sticherus,1842,2,0.636173,0.0033,0,1,1,keep,keep
Sticherus tener,Polypodiales,Gleicheniaceae,Sticherus,1843,2,0.636173,0.0033,1,1,1,keep,keep
Sticherus urceolatus,Polypodiales,Gleicheniaceae,Sticherus,1844,2,0.636173,0.0033,0,0,1,keep,keep
Stuckenia pectinata,Alismatales,Potamogetonaceae,Stuckenia,1846,0.183333,18.9805,1.66e-4,1,1,1,keep,keep
Stylidium armeria,Asterales,Stylidiaceae,Stylidium,1847,0.5,11.781,1.752e-4,1,1,0,keep,keep
Stylidium graminifolium,Asterales,Stylidiaceae,Stylidium,1851,0.5,11.781,1.752e-4,0,0,1,omit,keep
Styphelia adscendens,Ericales,Ericaeae,Styphelia,1853,0.6,1.50796,0.0088575,0,0,0,keep,keep
Suaeda australis,Caryophyllales,Chenopodiaceae,Suaeda,1854,1,3.14159,0.00614412,0,0,1,keep,keep
Swainsona lessertiifolia,Fabales,Fabaceae,Swainsona,1855,0.5,7.21216,0.0023272,0,1,0,keep,keep
Tasmannia lanceolata,Magnoliales,Winteraceae,Tasmannia,1859,5,32.9867,0.00191,0,0,0,keep,omit
Telopea truncata,Proteales,Proteaceae,Telopea,1862,8,56.5487,0.0187792,0,0,0,keep,keep
Tetracarpaea tasmannica,Saxifragales,Tetracarpaeaceae,Tetracarpaea,1863,1.6,1.1781,5.63181e-4,0,0,1,keep,keep
Tetragonia implexicoma,Caryophyllales,Aizoaceae,Tetragonia,1864,0.5,18.8496,0.032975,0,0,1,keep,keep
Tetraria capillaris,Poales,Cyperaceae,Tetraria,1866,0.6,0.0785398,0.00143971,0,0,1,keep,keep
Tetrarrhena distichophylla,Poales,Poaceae,Tetrarrhena,1868,0.6,5.65487,8.656e-4,0,0,0,keep,omit
Tetratheca labillardierei,Polygalales,Tremandraceae,Tetratheca,1871,1,0.785398,0.0018135,0,0,1,keep,omit
Tetratheca pilosa,Polygalales,Tremandraceae,Tetratheca,1872,0.6,0.589049,0.0018135,0,0,1,keep,omit
Tetratheca procumbens,Polygalales,Tremandraceae,Tetratheca,1873,0.3,0.0942478,0.0018135,0,0,0,keep,keep
Teucrium corymbosum,Lamiales,Lamiaceae,Teucrium,1874,1.5,17.2788,7.648e-4,0,0,0,keep,keep
Thelionema caespitosum,Asparagales,Phormiaceae,Thelionema,1875,0.9,42.4115,0.0018396,0,0,0,keep,keep
Thelionema umbellatum,Asparagales,Phormiaceae,Thelionema,1876,0.4,6.28319,0.0018396,0,0,1,keep,omit
Thelymitra antennifera,Asparagales,Orchidaceae,Thelymitra,1878,0.2,2.82743,3.98e-6,0,0,1,keep,keep
Thelymitra arenaria,Asparagales,Orchidaceae,Thelymitra,1879,0.2,16.5228,3.98e-6,0,1,1,keep,keep
Thelymitra aristata,Asparagales,Orchidaceae,Thelymitra,1880,0.2,6.04757,5.6e-6,0,0,0,keep,keep
Thelymitra carnea,Asparagales,Orchidaceae,Thelymitra,1885,0.2,3.53429,3.98e-6,0,0,1,keep,keep
Thelymitra cyanea,Asparagales,Orchidaceae,Thelymitra,1887,0.15,13.7445,6.4e-6,0,0,0,keep,keep
Thelymitra erosa,Asparagales,Orchidaceae,Thelymitra,1889,0.190909,16.5228,2.4e-6,1,1,0,keep,keep
Thelymitra exigua,Asparagales,Orchidaceae,Thelymitra,1890,0.190909,16.5228,3.98e-6,1,1,1,keep,keep
Thelymitra flexuosa,Asparagales,Orchidaceae,Thelymitra,1891,0.190909,16.5228,3.98e-6,1,1,1,keep,keep
Thelymitra holmesii,Asparagales,Orchidaceae,Thelymitra,1892,0.2,27.4889,3.98e-6,0,0,1,keep,keep
Thelymitra ixioides,Asparagales,Orchidaceae,Thelymitra,1896,0.15,15.708,9.08e-7,0,0,0,keep,keep
Thelymitra juncifolia,Asparagales,Orchidaceae,Thelymitra,1898,0.190909,16.5228,4.4e-6,1,1,0,keep,keep
Thelymitra longiloba,Asparagales,Orchidaceae,Thelymitra,1899,0.190909,16.5228,3.98e-6,1,1,1,keep,keep
Thelymitra nuda,Asparagales,Orchidaceae,Thelymitra,1905,0.2,31.4159,3.98e-6,0,0,1,keep,keep
Thelymitra pauciflora,Asparagales,Orchidaceae,Thelymitra,1906,0.15,31.4159,3.98e-6,0,0,1,keep,keep
Thelymitra peniculata,Asparagales,Orchidaceae,Thelymitra,1907,0.190909,16.5228,3.98e-6,1,1,1,keep,keep
Thelymitra polychroma,Asparagales,Orchidaceae,Thelymitra,1908,0.190909,16.5228,3.2e-6,1,1,0,keep,keep
Thelymitra rubra,Asparagales,Orchidaceae,Thelymitra,1911,0.25,16.5228,3.98e-6,0,1,1,keep,keep
Thelymitra simulata,Asparagales,Orchidaceae,Thelymitra,1913,0.190909,16.5228,3.98e-6,1,1,1,keep,keep
Thelymitra spadicea,Asparagales,Orchidaceae,Thelymitra,1914,0.2,16.5228,4.96e-6,0,1,0,keep,keep
Themeda australis,Poales,Poaceae,Themeda,1921,1.2,8.18651,0.00120732,0,1,1,keep,keep
Threlkeldia diffusa,Caryophyllales,Amaranthaceae,Threlkeldia,1924,0.4,3.84845,0.002482,0,1,0,keep,omit
Thysanotus patersonii,Liliales,Anthericaceae,Thysanotus,1928,0.05,15.708,6.84e-4,0,0,0,keep,keep
Tmesipteris elongata,Psilotales,Psilotaceae,Tmesipteris,1930,0.4,1.02102,0.0033,0,0,1,keep,keep
Tmesipteris obliqua,Psilotales,Psilotaceae,Tmesipteris,1931,0.65,1.88496,0.0033,0,0,1,keep,keep
Todea barbara,Osmundales,Osmundaceae,Todea,1933,3,5.654866776,0.0033,0,0,1,keep,keep
Townsonia viridis,Asparagales,Orchidaceae,Townsonia,1934,1.70518,19.4655,0.00115133,1,1,1,keep,keep
Trachymene humilis,Apiales,Apiaceae,Trachymene,1937,0.3,3.14159,0.00216,0,0,0,keep,keep
Triglochin centrocarpum,Alismatales,Juncaginaceae,Triglochin,1942,0.1,3.92699,0.0020830000000000002,0,0,1,keep,keep
Triglochin procera,Alismatales,Juncaginaceae,Triglochin,1946,0.05,471.239,0.0020830000000000002,0,0,1,keep,keep
Triglochin procerum,Alismatales,Juncaginaceae,Triglochin,1947,0.15,160.745,0.0020830000000000002,1,1,1,keep,keep
Triglochin rheophilum,Alismatales,Juncaginaceae,Triglochin,1948,0.15,160.745,0.0038216,1,1,0,omit,keep
Triglochin striata,Alismatales,Juncaginaceae,Triglochin,1949,0.3,7.06858,3.444e-4,0,0,0,omit,keep
Triptilodiscus pygmaeus,Asterales,Asteraceae,Triptilodiscus,1950,0.08,0.628319,1.08e-4,0,0,0,keep,keep
Trisetum spicatum,Poales,Poaceae,Trisetum,1951,0.4,12.5664,0.00120732,0,0,1,keep,keep
Trithuria submersa,Nymphaeales,Hydatellaceae,Trithuria,1952,0.1,0.235619,5.84e-5,0,0,0,keep,keep
Trochocarpa cunninghamii,Ericales,Ericaeae,Trochocarpa,1953,1,0.314159,0.001977,0,0,1,keep,keep
Trochocarpa gunnii,Ericales,Ericaeae,Trochocarpa,1955,3,0.314159,0.0010724,0,0,0,keep,keep
Trochocarpa thymifolia,Ericales,Ericaeae,Trochocarpa,1956,0.9,0.015708,0.0028816,0,0,0,keep,keep
Typha angustifolia,Poales,Typhaceae,Typha,1957,2,31.4159,0.00108805,1,1,1,keep,keep
Typha domingensis,Poales,Typhaceae,Typha,1958,2,31.4159,0.00108805,0,0,1,keep,keep
Uncinia compacta,Poales,Cyperaceae,Uncinia,1961,0.35,9.62113,0.0031604,0,0,0,keep,keep
Uncinia flaccida,Poales,Cyperaceae,Uncinia,1963,0.4,4.24115,0.0024922,0,0,1,keep,keep
Uncinia nervosa,Poales,Cyperaceae,Uncinia,1964,0.3,5.01346,0.0024922,1,1,1,keep,keep
Uncinia riparia,Poales,Cyperaceae,Uncinia,1965,0.3,5.01346,0.001824,1,1,0,omit,keep
Uncinia tenella,Poales,Cyperaceae,Uncinia,1966,0.15,1.1781,0.0024922,0,0,1,keep,keep
Urtica incisa,Rosales,Urticaceae,Urtica,1967,1,47.1239,1.964e-4,0,0,0,keep,omit
Utricularia dichotoma,Scrophulariales,Lentibulariaceae,Utricularia,1969,0.1,1.5708,9.8e-5,0,0,0,keep,keep
Utricularia lateriflora,Scrophulariales,Lentibulariaceae,Utricularia,1970,0.1,1.9635,3.3e-5,0,0,0,keep,keep
Utricularia monanthos,Scrophulariales,Lentibulariaceae,Utricularia,1971,0.1,0.235619,1.67e-5,0,0,0,omit,keep
Utricularia tenella,Scrophulariales,Lentibulariaceae,Utricularia,1972,0.07,0.785398,7e-6,0,0,0,omit,keep
Velleia montana,Campanulales,Goodeniaceae,Velleia,1976,0.1,18.8496,6.712e-4,0,0,0,omit,omit
Velleia paradoxa,Campanulales,Goodeniaceae,Velleia,1977,0.25,68.7223,0.003173,0,0,0,keep,keep
Veronica calycina,Plantaginales,Plantaginaceae,Veronica,1979,0.45,4.71239,3.204e-4,0,0,0,keep,keep
Veronica formosa,Plantaginales,Plantaginaceae,Veronica,1982,2,0.353429,0.0013116,0,0,0,omit,keep
Veronica gracilis,Plantaginales,Plantaginaceae,Veronica,1983,0.25,2.12058,5.14e-4,0,0,0,keep,keep
Villarsia exaltata,Solanales,Menyanthaceae,Villarsia,1987,1.5,117.81,0.0022532,0,0,1,keep,keep
Villarsia reniformis,Solanales,Menyanthaceae,Villarsia,1988,1,25.1327,0.0022532,0,0,1,keep,keep
Viola betonicifolia,Malpighiales,Violaceae,Viola,1991,0.2,11.781,4.936e-4,0,0,0,keep,keep
Viola cleistogamoides,Malpighiales,Violaceae,Viola,1993,0.2,0.471239,6.00267e-4,0,0,1,keep,keep
Viola cunninghamii,Malpighiales,Violaceae,Viola,1994,0.2,3.90186,6.00267e-4,1,1,1,keep,keep
Viola fuscoviolacea,Malpighiales,Violaceae,Viola,1995,0.2,1.13097,7.22e-4,0,0,0,keep,keep
Viola hederacea,Malpighiales,Violaceae,Viola,1996,0.2,4.71239,5.852e-4,0,0,0,keep,keep
Viola sieberana,Malpighiales,Violaceae,Viola,1997,0.2,1.41372,6.00267e-4,0,0,1,keep,keep
Vittadinia muelleri,Asterales,Asteraceae,Vittadinia,2002,0.934724,11.8909,6.568e-4,1,1,0,keep,keep
Wahlenbergia ceracea,Campanulales,Campanulaceae,Wahlenbergia,2003,1.15,3.92699,2.672e-4,0,0,1,keep,keep
Wahlenbergia gracilenta,Campanulales,Campanulaceae,Wahlenbergia,2004,0.35,3.45575,2.672e-4,0,0,1,keep,keep
Wahlenbergia gracilis,Campanulales,Campanulaceae,Wahlenbergia,2005,0.8,4.71239,2.672e-4,0,0,0,keep,keep
Wahlenbergia gymnoclada,Campanulales,Campanulaceae,Wahlenbergia,2006,0.675,3.32485,2.672e-4,1,1,1,keep,keep
Wahlenbergia littoricola,Campanulales,Campanulaceae,Wahlenbergia,2007,0.8,1.88496,2.672e-4,0,0,1,keep,keep
Wahlenbergia multicaulis,Campanulales,Campanulaceae,Wahlenbergia,2008,0.75,3.76991,2.672e-4,0,0,1,keep,keep
Wahlenbergia saxicola,Campanulales,Campanulaceae,Wahlenbergia,2009,0.675,3.32485,2.672e-4,1,1,1,keep,keep
Wahlenbergia stricta,Campanulales,Campanulaceae,Wahlenbergia,2010,0.2,2.19911,2.672e-4,0,0,1,keep,keep
Wahlenbergia tadgellii,Campanulales,Campanulaceae,Wahlenbergia,2011,0.675,3.32485,2.672e-4,1,1,1,keep,keep
Westringia brevifolia,Lamiales,Lamiaceae,Westringia,2013,1,0.235619,9.428e-4,0,0,1,keep,keep
Westringia rubiaefolia,Lamiales,Lamiaceae,Westringia,2015,1,0.188496,9.428e-4,0,0,0,omit,keep
Winifredia sola,Poales,Restionaceae,Winifredia,2019,0.75,6.02139,0.0014557,0,1,1,keep,keep
Wurmbea dioica,Liliales,Colchicaceae,Wurmbea,2021,0.3,0.0942478,7.352e-4,0,0,0,keep,keep
Wurmbea uniflora,Liliales,Colchicaceae,Wurmbea,2023,0.17,2.67035,7.352e-4,0,0,1,keep,omit
Xanthorrhoea australis,Asparagales,Xanthorrhoeaceae,Xanthorrhoea,2025,4,32.9867,0.0125964,0,0,0,keep,keep
Xanthosia dissecta,Apiales,Apiaceae,Xanthosia,2027,0.3,3.92699,6.484e-4,0,0,0,keep,keep
Xanthosia pilosa,Apiales,Apiaceae,Xanthosia,2028,0.3,2.35619,6.738e-4,0,0,1,keep,keep
Xanthosia pusilla,Apiales,Apiaceae,Xanthosia,2029,0.3,2.40855,6.738e-4,1,1,1,keep,keep
Xanthosia tasmanica,Apiales,Apiaceae,Xanthosia,2030,0.3,2.40855,6.992e-4,1,1,0,omit,keep
Xanthosia tridentata,Apiales,Apiaceae,Xanthosia,2032,0.3,0.942478,6.738e-4,0,0,1,keep,keep
Xyris gracilis,Poales,Xyridaceae,Xyris,2040,0.29,9.11062,1.10533e-4,0,0,1,keep,keep
Xyris marginata,Poales,Xyridaceae,Xyris,2041,0.55,17.2788,9e-5,0,0,0,omit,keep
Xyris muelleri,Poales,Xyridaceae,Xyris,2042,0.8,25.1327,1.684e-4,0,0,0,omit,keep
Xyris operculata,Poales,Xyridaceae,Xyris,2043,0.6,0.471239,7.32e-5,0,0,0,keep,keep
Xyris tasmanica,Poales,Xyridaceae,Xyris,2044,0.56,12.9983,1.10533e-4,1,1,1,keep,keep
Zieria arborescens,Sapindales,Rutaceae,Zieria,2045,7,25.5254,0.002208,0,0,0,keep,keep
Zoysia macrantha,Poales,Poaceae,Zoysia,2049,0.25,4.71239,3.388e-4,0,0,0,keep,keep
Zygophyllum billardierei,Zygophyllales,Zygophyllaceae,Zygophyllum,2050,0.1,1.178097245,0.0029716,0,1,0,keep,keep
