original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
AAustrocallerya pilipes,AAustrocallerya pilipes,Austrocallerya pilipes,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Daviesia euryloba,Daviesia euryloba,Daviesia eurylobos,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Guichenotia basivirida,Guichenotia basivirida,Guichenotia basiviridis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Hemigenia dulca,Hemigenia dulca,Hemigenia dulcis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Leucopogon elegans subsp. elegans,Leucopogon elegans subsp. elegans,Leucopogon elegans var. elegans,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Pileanthus rubronitidus,Pileanthus rubronitidus,Pileanthus rubrinitidus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Solanum octonum,Solanum octonum,Solanum octona,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Stylidium perizostera,Stylidium perizostera,Stylidium perizoster,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Stylidium planirosulum,Stylidium planirosulum,Stylidium planirosula,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Tarenna dallachiana subsp. dallachiana,Tarenna dallachiana subsp. dallachiana,Tarenna dallachyana subsp. dallachyana,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Tarenna dallachiana subsp. expandens,Tarenna dallachiana subsp. expandens,Tarenna dallachyana subsp. expandens,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Tecticornia mellaria,Tecticornia mellaria,Tecticornia mellarium,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Urodon sp. Galena (G.L.Keighery 14733),Urodon sp. Galena (G.L.Keighery 14733),Urodon sp. Galena (G.J.Keighery 14733),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Westringia capitonia,Westringia capitonia,Westringia capitonis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
x Cyanthera glossodioides,X Cyanthera glossodioides,x Cyanthera glossodioides,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-29),match_05a_fuzzy_accepted_canonical_name
Eucalyptus foecunda subsp. foecunda,Eucalyptus foecunda subsp. foecunda,Eucalyptus foecunda var. foecunda,APC,variety,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-08-29),match_05b_fuzzy_synonym_canonical_name
Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata var. uncinata,APC,variety,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-08-29),match_05b_fuzzy_synonym_canonical_name
Planchonella sp. Mt. Lewis (B.Hyland 14048),Planchonella sp. Mt. Lewis (B.Hyland 14048),Planchonella sp. (Mt Lewis B.P.Hyland 14048),APC,species,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-08-29),match_05b_fuzzy_synonym_canonical_name
