dataset_id,taxon_name,source,closest_names,status,ID,genus_known,keep,reason
White_2020,Acacia fimbriata x pravissima,APNI names,Acacia sp. hybrid [Acacia fimbriata x Acacia pravissima],unplaced,https://id.biodiversity.org.au/name/apni/68926,TRUE,1,"Hybrid, so align with genus (Elizabeth Wenk, 2020-06-25)"
White_2020,Acacia irrorata X parvipinnula,APNI names,Acacia sp. hybrid [Acacia  irrorata x Acacia parvipinnula],unplaced,https://id.biodiversity.org.au/name/apni/68926,TRUE,1,"Hybrid, so align with genus (Elizabeth Wenk, 2020-06-25)"
White_2020,Acacia leiophylla/pycnantha,APC list (accepted),Acacia sp. [Acacia leiophylla/pycnantha],accepted,https://id.biodiversity.org.au/node/apni/2891948,TRUE,1,"Align with genus (Elizabeth Wenk, 2020-06-25)"
White_2020,Allocasuarina misera/paradoxa,APC list (accepted),Allocasuarina sp. [Allocasuarina misera/paradoxa],accepted,https://id.biodiversity.org.au/node/apni/2900194,TRUE,1,"Alignment with genus (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Beyeria lechenaultii 'Broad-leaved variant',APC list (accepted),Beyeria lechenaultii,accepted,https://id.biodiversity.org.au/node/apni/2911163,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Beyeria lechenaultii 'Typical variant',APC list (accepted),Beyeria lechenaultii,accepted,https://id.biodiversity.org.au/node/apni/2911163,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Brachyscome aff. gracilis (Kings Billabong),APC list (known names),Brachyscome aff. gracilis,taxonomic synonym,https://id.biodiversity.org.au/instance/apni/961706,TRUE,1,"Alignment with known name in APC list (known names) (Elizabeth Wenk, 2020-06-25)"
White_2020,Caladenia sp. aff. fragrantissima (Central Victoria),APNI names,Caladenia sp. aff. fragrantissima (Central Vic),unplaced,https://id.biodiversity.org.au/name/apni/194064,TRUE,1,"Alignment with known name in APNI names (Elizabeth Wenk, 2020-06-25)"
White_2020,Calandrinia calyptrata/eremaea,APC list (accepted),Calandrinia calyptrata,accepted,https://id.biodiversity.org.au/taxon/apni/51291760,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Callistemon c.f. sieberi,APC list (accepted),Callistemon sieberi,accepted,https://id.biodiversity.org.au/node/apni/2898505,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Callitris glaucophylla - C. verrucosa,APC list (accepted),Callitris glaucophylla,accepted,https://id.biodiversity.org.au/taxon/apni/51270988,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Calochilus sp. aff. campestris (Moondarra),APNI names,Calochilus sp. 'Moondarra',unplaced,https://id.biodiversity.org.au/name/apni/50738294,TRUE,1,"Alignment with known name in APNI names (Elizabeth Wenk, 2020-06-25)"
White_2020,Cardamine gunnii variant spathulate-leaved,APNI names,"Cardamine gunnii, spathulate-leaved variant",unplaced,https://id.biodiversity.org.au/name/apni/199221,TRUE,1,"Alignment with known name in APNI names (Elizabeth Wenk, 2020-06-25)"
White_2020,Cardamine paucijuga s.s. (forest form),APC list (accepted),Cardamine paucijuga,accepted,https://id.biodiversity.org.au/node/apni/2914100,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Cardamine tenuifolia (large-flower form),APC list (accepted),Cardamine tenuifolia,accepted,https://id.biodiversity.org.au/node/apni/2889623,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Cardamine tenuifolia (small-flower form),APC list (accepted),Cardamine tenuifolia,accepted,https://id.biodiversity.org.au/node/apni/2889623,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
White_2020,Chrysocephalum semiamplexicaule,APC list (accepted),Chrysocephalum apiculatum subsp. semiamplexicaule,accepted,https://id.biodiversity.org.au/taxon/apni/51268242,TRUE,1,"Alignment with known name in APC list (accepted) (Elizabeth Wenk, 2020-06-25)"
