taxon_name,closest_names,reason,keep,dataset_id
Acmena spp,Syzygium sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
AustroRytidosperma spp,Rytidosperma sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Babbagia spp,Osteocarpum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Batrachium spp,Ranunculus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Bracteantha spp,Xerochrysum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Chaerophyllum spp,Oreomyrrhis sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Chamaesyce spp,Euphorbia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Chionohebe spp,Veronica sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Corunastylis spp,Prasophyllum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Derwentia spp,Veronica sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Doodia spp,Blechnum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Halosarcia spp,Tecticornia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Hydrorchis spp,Microtis sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Hymenanthera spp,Melicytus sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Hymenolobus spp,Hornungia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Hypsela spp,Isotoma sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Joycea spp,Rytidosperma sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Lagenifera spp,Lagenophora sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Lavatera spp,Malva sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Lepilaena spp,Althenia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Lhotzkya spp,Lhotskya sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Microtidium spp,Microtis sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Morgania spp,Stemodia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Neopaxia spp,Montia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
NotoRytidosperma spp,Rytidosperma sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Pachycornia spp,Tecticornia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Pratia spp,Lobelia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Restio spp,Chordifex sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Rulingia spp,Androcalva sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Sarcostemma spp,Cynanchum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Sarga spp,Sorghum sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Schizeilema spp,Azorella sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Sclerochlamys spp,Sclerolaena sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Sclerostegia spp,Tecticornia sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Stelligera spp,Sclerolaena sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Stipa spp,Austrostipa sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Thelychiton spp,Dendrobium sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Tripogon spp,Tripogonella sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
Uncinia spp,Carex sp,"Alignment with accepted genus (Elizabeth Wenk, 2020-06-30)",1,White_2020
