taxon_name
Acacia leiophylla/pycnantha
Acacia verniciflua (1-nerved variant)
Acacia verniciflua (typical variant)
Adriana quadripartita (pubescent form)
Adriana quadripartita s.s. (glabrous form)
Adriana urticoides var. urticoides (glabrous form)
Adriana urticoides var. urticoides (pubescent form)
Allocasuarina misera/paradoxa
Angianthus disarticulata
Argyrotegium fordianum/mackayi/poliochlorum spp. agg.
Arthropodium sp. (Gippsland Plain)
Asperula sp. aff. conferta (Grampians)
Austrostipa scabra/nitida/nodosa spp. agg.
Austrostipa spp. aff. hemipogon/semibarbata
Beyeria lechenaultii 'Broad-leaved variant'
Beyeria lechenaultii 'Typical variant'
Brachyscome aff. gracilis (Kings Billabong)
Brachyscome heterodonta var. chrysoglossa
Brachyscome lineariloba/perpusilla
Bulbine aff. bulbosa (Montane Swamps)
Caladenia aff. venusta (Tallageira)
Caladenia aff. vulgaris (Aireys Inlet)
Caladenia carnea sensu Entwisle (1994)
Caladenia carnea sensu Willis (1970)
Caladenia catenata var. warnervalensis
Caladenia sp. aff. tentaculata (Dromana)
Calandrinia calyptrata/eremaea
Callitris rhomboidea subsp. 'dwarf blue'
Calotis sp. aff. hispidula (Sunset)
Calytrix tetragona subsp. broad petalled form
Calytrix tetragona subsp. narrow petalled form
Calytrix tetragona subsp. prostrate form
Cardamine tenuifolia (large-flower form)
Cardamine tenuifolia (small-flower form)
Carex inversa (dwarf matted form)
Carpobrotus modestus/rossii
Celmisia longifolia subsp. paludosa m.s.
Celmisia species A
Convolvulus erubescens/remotus
Convolvulus microsepalus/remotus
Correa aff. glabra/reflexa (Homerton)
Correa lawrenceana var. latrobeana (montane red)
Correa reflexa (Barwon River)
Correa reflexa (Western Otways)
Craspedia aff. costiniana (Emu Plains)
Crassula colorata/sieberiana complex
Ctenopteris heterophylla x Grammitis billardierei
Cullen microcephalum (dwarf form)
Deyeuxia quadriseta (slender flaccid variant)
Dianella aff. revoluta (Gippsland)
Dianella brevicaulis var. nov. (Lake Bolac)
Dianella brevicaulis/revoluta var.
Dianella sp. aff. admixta (Lawloit Range)
Dianella sp. aff. caerulea (Eastern Victoria)
Dianella sp. aff. caerulea (Powelltown)
Dianella sp. aff. longifolia (Bonang)
Dianella sp. aff. revoluta (Albury)
Dianella sp. aff. revoluta (Bass)
Dianella sp. aff. revoluta (Burrowa)
Dianella sp. aff. revoluta (Condah)
Dianella sp. aff. revoluta (Licola)
Dianella sp. aff. revoluta (Minjah)
Dianella sp. aff. revoluta (Snowy River)
Dianella sp. aff. tarda 'Pilliga'
Einadia nutans (matted form)
Eleocharis aff. acuta (basalt)
Eleocharis sp. aff. acuta (Wimmera)
Enchylaena tomentosa subsp. (hairy or type form)
Enchylaena tomentosa var. glabra (hairy or type form)
Enchylaena tomentosa var. tomentosa (hairy or type form)
Enchylaena tomentosa var. tomentosa (prostrate form)
Enchylaena tomentosa var. tomentosa (shrubby form)
Eragrostis sp. 'Pilliga Scrub'
Erodium crinitum/cygnorum/carolinianum/jannzii
Eryngium rostratum/vesiculosum
Eucalyptus arenacea/baxteri
Eucalyptus calycogona subsp. orientis
Eucalyptus camaldulensis subsp. nov. (Hampton Park)
Eucalyptus leucoxylon hybrid
Eucalyptus polyanthemos subsp. tarda
Eucalyptus sp. aff. camphora (Bunyip)
Eucalyptus sp. aff. globoidea (East Gippsland)
Eucalyptus sp. aff. odorata (Tarranginnie)
Eucalyptus viminalis subsp. luxurians
Eucalyptus viminalis subsp. maculosa
Eucalyptus X calycogona x gracilis
Eucalyptus X dumosa x socialis
Eucalyptus X williamsonii
Euchiton sphaericus (broad-leaf dwarf variant)
Euchiton sphaericus (narrow-leaf floodplain variant)
Eutaxia microphylla var. microphylla (erect)
Eutaxia microphylla var. microphylla (prostrate)
Genoplesium nigricans/rufum
Geranium retrorsum subsp. nov. (grassland)
Geranium sp. 13
Geranium sp. 14
Geranium sp. 17
Glycine tabacina 'l' form f. 'l'
Goodenia sp. Mallee
Hakea dactyloides broad leaf form
Hakea dactyloides narrow-leaved form
Hakea leucoptera/tephrosperma
Haloragis acutangula/odontocarpa
Haloragis aspera/heterophylla spp. agg.
Hardenbergia violacea (shrubby form)
Hibbertia aff. riparia (Grampians)
Hibbertia aff. stricta (Grampians)
Hibbertia riparia (canescens)
Hibbertia sp. aff. riparia (densely woolly)
Hibbertia sp. aff. sericea (Grampians)
Hyalosperma glutinosum/semisterile
Hypoxis glabella/vaginata spp. agg.
Hypoxis hygrometrica var. hypoglaucum
j
Juncus holoschoenus subsp. flockei
Juncus sp. 1
Juncus sp. 2
Lachnagrostis aff. filiformis (Murray River)
Leiocarpa tomentosa/websteri
Lepidium oxytrichum/papillosum
Lepidosperma concavum/laterale spp. agg.
Leptospermum obovatum <-> myrtifolium intergrade
Lobelia gibbosa sensu Albrecht (1999)
Lobelia gibbosa sensu Willis (1972)
Lomandra sp. (Grampians)
Luzula 'B'
Maireana georgei/turbinata
Melichrus urceolatus subsp. group 1
Melichrus urceolatus subsp. group 2
