Plant functional group,Species,Wood density (g cm-3),Vessel lumen area (um2),Vessel diameter (um),Vessel diameter max (um),Hydraulically weighted diameter (um),Vessel density (mm-2),Vessel fraction (unitless),Theoretical specific xylem hydraulic conductivity (kg s-1 MPa-1),Vulnerability index (unitless),Vessel Multiple Fraction (unitless),Intrinsic water-use efficiency (umol mol-1 ),Study site,d13c (per mille)
Maturephase tree,Argyrodendron peralatum,0.810667619,14785.32539,137.106731,264.2239295,140.686403,6.973229424,0.10374912,61427331.77,20.03819479,0.392857143,29.28474812,Daintree Rainforest Observatory,-32.0905
Maturephase tree,Austromuellera trinervia,0.751756148,9663.428564,110.7744424,201.3787233,115.7009447,10.8782379,0.105121075,40605288.81,10.18312372,0.511627907,32.77206312,Daintree Rainforest Observatory,-31.76975
Maturephase tree,Cardwellia sublimis,0.5841,13314.6896,130.1420371,170.8899391,135.0432014,8.367875309,0.111702419,59197260.73,15.63560673,0.518518519,44.23370953,Daintree Rainforest Observatory,-30.71555126
Maturephase tree,Castanospermum australe,0.6208147,11629.41514,120.5745651,203.2026637,132.0554233,7.810016955,0.081525553,36284052.55,19.35295589,0.4,59.37405215,Daintree Rainforest Observatory,-29.323
Maturephase tree,Cryptocarya mackinonianna,0.400682502,8911.386558,105.8837,157.8724001,108.8369788,10.59930872,0.091399731,32649268.87,10.45297488,0.8,31.85334724,Daintree Rainforest Observatory,-31.85425
Maturephase tree,Cryptocarya murrayi,0.578811835,11350.29411,117.9036208,175.5081568,123.7300659,15.2226034,0.154707359,72518314.56,8.86862126,0.461538462,10.17510529,Daintree Rainforest Observatory,-30.76
Maturephase tree,Dysoxylum papuanum,0.7656,5697.847226,85.14816148,132.7712051,96.08015633,12.55181296,0.071344492,16080355.75,6.982398168,0.65,70.22396208,Daintree Rainforest Observatory,-28.32506646
Maturephase tree,Dysoxylum parasiticum,0.679120022,6761.500339,92.75703078,186.3743442,115.1661489,11.43609626,0.076790168,20446914.29,8.827887652,0.34375,45.81814747,Daintree Rainforest Observatory,-30.56982067
Maturephase tree,Dysoxylum pettigrewianum,0.73558538,6725.546887,92.45562207,137.4543144,103.563057,8.646804486,0.058000629,15490906.8,11.14425281,0.58974359,26.54081668,Daintree Rainforest Observatory,-29.705
Maturephase tree,Endiandra microneura,0.676527131,20303.71899,160.4275235,200.5281576,163.8716614,6.41537107,0.125796915,99175189.91,27.67555834,0.78125,26.76779278,Daintree Rainforest Observatory,-32.322
