species,seed_mass
Calothamnus rupestris,0.75
Calothamnus sanguineus,0.5924
Calothamnus scabridus,0.1166
Calothamnus superbus,0.1676
Calothamnus torulosus,1.4567568
Calothamnus validus,0.4974
Calothamnus villosus,0.9004
Capparis sepiaria,41.7144
Carex brownii,0.2388
Carex buxbaumii,1.778
Carex capillacea,0.528
Carex cephalotes,0.5508
Carex curta,0.37
Carex paniculata,0.73
Cassia eremophila,20.61
Centaurium spicatum,0.028
Cephalipterum drummondii,7.223
Chamaecrista nictitans,2.2256
Chamaecrista nictitans,2.2
Chamelaucium uncinatum,24.4
Choretrum glomeratum,26.992
Choretrum spicatum,22.9708
Chrysopogon benthamianus,4.3
Cladium jamaicense,2.4
Clematis microphylla,2.6796
Clerodendrum heterophyllum,38.94328
Commersonia fraseri,6.0604
Commersonia johnsonii,2.0168
Commersonia multiloba,1.7736
Commersonia pedleyi,1.4508
Commersonia tatei,1.5956
Commersonia viscidula,5.156
Commicarpus australis,10.136
Craspedia alpina,0.5476
Craspedia coolaminica,0.526
Craspedia coolaminica,0.508
Cucumis maderaspatanus,8.275
Cyanostegia angustifolia,5.8872
Cyathodes glauca,106.21
Cyathodes straminea,25.9964
Cyathula prostrata,2.1216
Cyperus aristatus,0.04
Cyperus articulatus,0.1304
Cyperus bifax,0.3072
Cyperus compressus,0.325
Cyperus laxus,0.2456
Darwinia ferricola,3.584
Dendrobium speciosum,0.0053934
Dendrobium striolatum,0.0016
Dicrastylis cordifolia,4.59756
Dicrastylis exsuccosa,9.9812
Dicrastylis fulva,0.672
Dicrastylis gilesii,5.3688
Dicrastylis reticulata,0.638
Dicrastylis verticillata,1.7912
Didymoplexis pallens,4
Digitaria coenicola,0.967
Digitaria velutina,0.20836
Dracophyllum fitzgeraldii,0.046
Drosera gracilis,0.0133117
Echinochloa colona,1.2
Elaeodendron australe,194.4324
Elaeodendron curtipendulum,504.9020718
Elaeodendron melanocarpum,1850.4
Eleocharis caribaea,0.149
Eleocharis nigrescens,0.0214
Elymus scaber,4.1407407
Epaltes australis,0.0316
Epilobium curtisiae,0.1504
Eragrostis aspera,0.0411
Eragrostis intermedia,0.1252
Eremaea acutifolia,1.1548
Eremaea blackwelliana,0.75992
Eremaea ebracteata,2.1104
Eremaea pauciflora,1.1164
Eremaea pauciflora,12.4444
Eremaea purpurea,3.6148
Eremophila adenotricha,25.36644
Eremophila behriana,7.6412
Eremophila bignoniiflora,263.0192
Eremophila caespitosa,33.6068
Eremophila clarkei,57.952
Eremophila clavata,6.2396
Eremophila complanata,3.9202128
Eremophila compressa,1.788
Eremophila cuneifolia,67.7712
Eremophila debilis,54.03
Eremophila decipiens,64.2012
Eremophila decussata,18.3344
Eremophila densifolia,6.4628
Eremophila deserti,24.66
Eremophila divaricata,18.5272
Eremophila elderi,35.616
Eremophila freelingii,28.985
Eremophila glabra,83.0276
Eremophila goodwinii,153.148
Eremophila hughesii,129.808
Eremophila ionantha,8.6992
Eremophila lactea,2.5792
Eremophila lucida,14.7173945
Eremophila macdonnellii,358.606
Eremophila microtheca,3.1964
Eremophila neglecta,27.08884
Eremophila obovata,55.82
Eremophila platythamnos,9.5412
Eremophila polyclada,68.5824
Eremophila prostrata,78.8596
Eremophila racemosa,434.84
Eremophila resinosa,10.784032
Eremophila santalina,159.5328
Eremophila sargentii,5.1472
Eremophila scaberula,2.95008
Eremophila scoparia,10.8812
Eremophila serpens,145.732
Eremophila serrulata,36.7868
Eremophila subfloccosa,63.56964
Eremophila undulata,76.5848571
Eremophila vernicosa,4.4854369
Eremophila virens,21.3984615
Eremophila willsii,53.744
Erigeron bellidioides,0.6972
Erigeron gunnii,0.3344
Erigeron nitidus,0.7596
Erigeron paludicola,0.3408
Erigeron pappocromus,0.369
Erigeron stellatus,0.5136
Eriochiton sclerolaenoides,8.348
Eriochloa crebra,1.3676
Erodiophyllum elderi,2488.36
Eryngium vesiculosum,1.0428
Eucalyptus aquatica,0.244
Eucalyptus argyphea,1.416
Eucalyptus argyphea,1.9284
Eucalyptus balanopelex,2.4576
Eucalyptus brachycorys,2.0496
Eucalyptus campanulata,0.5988
Eucalyptus cannonii,4.07096
Eucalyptus clelandii,2.01
Eucalyptus corticosa,0.5908
Eucalyptus crenulata,0.58
Eucalyptus dissimulata,0.3252
Eucalyptus leptophylla,0.3676
Eucalyptus leucophylla,1.1824
Eucalyptus medialis,0.2892
Eucalyptus sparsifolia,6.3284
Eucalyptus surgens,1.2236
Eucalyptus wimmerensis,0.14
Eucalyptus yumbarrana,1.15384
Ficus superba,0.8148
Ficus superba,0.55
Ficus tinctoria,0.2080229
Ficus virgata,2.088
Fimbristylis pterygosperma,0.216
Fimbristylis squarrosa,0.2444
Fimbristylis squarrosa,0.0438
Freycinetia scandens,0.1476
Geranium sessiliflorum,2.84
Glossodia major,0.176
Goodenia pulchella,0.4852
Hakea gibbosa,44.9
Hakea plurinervia,23.21
Halgania cyanea,5.7964
Haloragis aculeolata,3.732
Haloragis acutangula,1.648
Haloragis aspera,5.7768
Haloragis eichleri,3.7412
Haloragis gossei,5.758
Haloragis odontocarpa,6.4056
Haloragis odontocarpa,3.358
Haloragis trigonocarpa,4.74
Haloragodendron glandulosum,2.619
Helichrysum macranthum,1.0336
Heliotropium pleiopterum,7.4996
Heliotropium strigosum,0.7024
Hemigenia teretiuscula,1.1908
Heritiera peralata,700
Heritiera trifoliolata,110
Hibbertia huegelii,10.1828571
Hibbertia ovata,2.8416
Hibbertia riparia,2.8014
Hibiscus caesius,6.2712
Hibiscus cannabinus,22.6
Hibiscus pentaphyllus,6.3876
Hibiscus trionum,3.9
Homalanthus novoguineensis,21.88
Hybanthus enneaspermus,1.59632
Hypoxis vaginata,0.2576
Ipomoea macrantha,221.132
Ipomoea plebeia,12.0888
Isopogon attenuatus,13.35
Isopogon heterophyllus,4.7036
Isotoma anethifolia,0.0836
Isotoma axillaris,0.0892
Isotoma petraea,0.0668
Jasminum suavissimum,57.1112
Juncus scheuchzerioides,0.048
Keraudrenia collina,1.9276
Keraudrenia hookeriana,2.0956
Keraudrenia integrifolia,1.7588
Kunzea micrantha,2.9932
Kunzea rupestris,2.1124
Kunzea salina,2.10848
Lagunaria patersonia,49.5992
Lamarchea hakeifolia,2.5488
Lamarchea hakeifolia,0.8144
Lasiopetalum membraniflorum,1.87952
Lavatera plebeia,5.01
Leea indica,34.768
Lepidium muelleriferdinandi,0.49
Lepidium pseudopapillosum,0.7288
Leptochloa fusca,0.34
Leptochloa fusca,0.1496
Leptochloa neesii,0.1508
Leptospermum amboinense,0.0932
Leptospermum namadgiensis,0.1456
Leucopogon altissimus,6.5912
Leucopogon australis,8.118
Leucopogon cordifolius,35.0212
Leucopogon distans,3.45
Leucopogon ericoides,4.0568
Leucopogon hirsutus,2.05668
Leucopogon melaleucoides,12.8316
Leucopogon muticus,4.25
Leucopogon neurophyllus,6.6612
Leucopogon obovatus,5.5856
Leucopogon parviflorus,8.23
Leucopogon pimeleoides,4.5176
Leucopogon psilopus,10.2728
Leucopogon reflexus,1.6212
Leucopogon riparius,2.49
Leucopogon rotundifolius,10.225
Leucopogon rufus,45.8016
Leucopogon validus,3.816
Lindernia aplectra,0.0262
Lindernia hypandra,0.0836
Lindernia plantaginea,0.0232
Lindernia subulata,0.02324
Linum flavum,0.853
Linum flavum,0.7976
Lipocarpha chinensis,0.071
Lipocarpha microcephala,0.0208
Lissanthe sapida,93.542
Lissanthe synandra,66.1176
Livistona rigida,461.754
Lobelia pedunculata,0.0352
Logania exilis,0.2811111
Logania nuda,0.4588
Logania recurva,0.21
Lolium persicum,9.644
Ludwigia adscendens,0.52
Luffa graveolens,22.207304
Luzula crinita,0.1728
Machaerina articulata,1.32
Mackinlaya confusa,19.4652
Maireana luehmannii,9.174
Malleostemon pedunculatus,1.1196
Malva arborea,12.8
Malva behriana,5.476
Malva rotundifolia,2.847
Maytenus bilocularis,7.4452
Maytenus cunninghamii,12.8236
Melaleuca barlowii,0.5736
Melaleuca coronicarpa,0.2792
Melaleuca diosmifolia,0.0742
Melaleuca howeana,0.17
Melaleuca longistaminea,0.4252
Melaleuca nesophila,0.8402
Melaleuca serpentina,0.0236
Melanthera biflora,2.14
Mesembryanthemum guerichianum,102.2634
Micromyrtus uniovula,0.9088
Mimulus prostratus,0.0464
Mimulus repens,0.02596
Morinda umbellata,5.9768
Morus nigra,4.2
Muehlenbeckia coccoloboides,8.75528
Muehlenbeckia florulenta,1.7552
Muehlenbeckia horrida,1.9764
Myoporum acuminatum,17.0092
Myoporum boninense,24.1396
Myoporum brevipes,8.6584
Myoporum floribundum,1.216
Myoporum parvifolium,13.6128
Myoporum platycarpum,4.3648
Myoporum viscosum,16.87
Nesaea muelleri,0.01492
Neurachne alopecuroides,2.133
Newcastelia cladotricha,4.1568
Newcastelia interrupta,1.374
Odixia angusta,1.5716
Oldenlandia biflora,0.072
Olearia ciliata,0.2568
Oplismenus aemulus,0.8944
Oplismenus burmannii,0.418
Oreomyrrhis brevipes,3.2984
Oreomyrrhis pulvinifica,0.8464
Oreomyrrhis sessiliflora,0.8612
Owenia acidula,3609.84
Owenia venosa,4400.12
Owenia vernicosa,5705.98063
Pandanus cookii,49180.16
Pandanus monticola,17
Paractaenum refractum,2.2812
Paraneurachne muelleri,2.6992
Paraserianthes lophantha,94.28
Paraserianthes lophantha,64.9
