spp,plant,coll,yr,treat,depths_mm_01,depths_mm_02,depths_mm_03,depths_mm_04,depths_mm_05,depths_mm_06,depths_mm_07,depths_mm_08,depths_mm_09,depths_mm_10,depths_mm_11,depths_mm_12,depths_mm_13,depths_mm_14,depths_mm_15,depths_mm_16,depths_mm_17,depths_mm_18,depths_mm_19,depths_mm_20,depths_mm_21,depths_mm_22,depths_mm_23,depths_mm_24,depths_mm_25,depths_mm_26,depths_mm_27,depths_mm_28,depths_mm_29,depths_mm_30,depths_mm_31,depths_mm_32,depths_mm_33,depths_mm_34,depths_mm_35,depths_mm_36,depths_mm_37,depths_mm_38,depths_mm_39,depths_mm_40,depths_mm_41,depths_mm_42,depths_mm_43,depths_mm_44,depths_mm_45,depths_mm_46,depths_mm_47,depths_mm_48,depths_mm_49,depths_mm_50,depths_mm_51,depths_mm_52,depths_mm_53,depths_mm_54,depths_mm_55,depths_mm_56,depths_mm_57,depths_mm_58,depths_mm_59,depths_mm_60,depths_mm_61,depths_mm_62,depths_mm_63,depths_mm_64,depths_mm_65,depths_mm_66,depths_mm_67,depths_mm_68,depths_mm_69,depths_mm_70,depths_mm_71,depths_mm_72,depths_mm_73,depths_mm_74,depths_mm_75,depths_mm_76,depths_mm_77,depths_mm_78,depths_mm_79,depths_mm_80,depths_mm_81,depths_mm_82,depths_mm_83,depths_mm_84,depths_mm_85,depths_mm_86,depths_mm_87,depths_mm_88
arijer,clip3,2000,0,c,9,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arijer,clip2,2000,0,c,11,10,2,2,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arijer,clip1,2000,0,c,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,2,0,9,9,10,10,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arijer,burn3,2000,0,b,16,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9
arijer,burn2,2000,0,b,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arijer,burn1,2000,0,b,6,6,6,6,6,6,6,6,6,6,5,5,5,7,7,7,7,7,7,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atrsem,clip1,2000,0,c,3,3,2,2,1,0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boswal,clip3,2000,0,c,65,46,37,35,35,29,22,21,17,17,16,14,11,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boswal,clip2,2000,0,c,95,76,65,60,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boswal,clip1,2000,0,c,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boswal,burn3,2000,0,b,27,14,13,13,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boswal,burn2,2000,0,b,45,36,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boswal,burn1,2000,0,b,12,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcun,clip4,2000,0,c,7,6,5,4,2,-1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcun,clip3,2000,0,c,14,4,3,2,1,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcun,clip2,2000,0,c,3,3,2,2,2,1,1,1,0,0,0,5,5,6,-2,-3,-3,-4,-5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcun,clip1,2000,0,c,1,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-4,-4,-5,-5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callap,clip3,2000,0,c,4,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callap,clip2,2000,0,c,22,21,20,15,15,15,15,14,14,13,12,12,10,9,9,8,8,7,7,6,5,5,5,3,2,1,0,0,0,-1,-1,-2,-2,-2,-2,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callap,clip1,2000,0,c,22,21,20,20,17,11,7,7,6,3,2,2,1,1,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callap,burn3,2000,0,b,20,19,11,6,5,4,4,4,4,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callap,burn2,2000,0,b,25,21,15,14,13,11,10,9,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callap,burn1,2000,0,b,20,20,18,17,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caslae,clip3,2000,0,c,6,4,3,-4,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caslae,clip2,2000,0,c,5,3,1,1,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caslae,clip1,2000,0,c,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chedes,clip5,2000,0,c,0,-3,-3,-4,-1,-1,-2,-3,-4,-1,-2,-3,-4,-4,-5,-4,-5,-6,-3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chedes,clip4,2000,0,c,-5,-6,-1,-4,-5,-2,-6,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chedes,clip3,2000,0,c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chedes,clip2,2000,0,c,-5,-5,-6,-4,-2,-3,-4,-6,-6,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chedes,clip1,2000,0,c,1,-1,-2,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
