latitude (deg),longitude (deg),locations,locality,topography,soil type,family,Samples,Leaf [P] (mg/g),Leaf [Mn] (mg/g),BS-APA (umol pNP g-1 soil h-1),RS-APA (umol pNP g-1 soil h-1),deltaAPA (umol pNP g-1 soil h-2),RS-TP (mg/kg),RS-OP (mg/kg),RS-RP (mg/kg),BS-TP (mg/kg),BS-OP (mg/kg),BS-RP (mg/kg),BS-PH,RS-PH,BS-WC (%),RS-WC (%)
-32.0203,115.9789,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Stirlingia latifolia-F1,0.38,0.05,0.48,3.38,2.90,13.72,12.53,0.90,6.70,4.69,0.32,5.51,5.12,4.90,6.59
-32.0204,115.9789,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Stirlingia latifolia-F2,0.34,0.06,1.36,2.07,0.72,10.06,8.99,0.85,6.51,5.09,0.32,5.34,5.01,6.66,7.89
-32.0203,115.9789,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Stirlingia latifolia-F3,0.36,0.02,0.81,3.20,2.39,15.38,13.65,0.85,8.13,5.84,0.34,5.50,4.72,5.54,8.97
-32.0203,115.9789,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Stirlingia latifolia-F4,0.41,0.01,0.88,3.33,2.45,7.30,6.28,0.32,6.73,4.65,0.49,5.40,5.37,6.37,6.73
-32.0203,115.9789,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Stirlingia latifolia-F5,0.36,0.01,1.08,2.29,1.20,14.37,12.81,0.99,7.62,5.77,0.35,5.41,5.58,4.67,6.57
-32.0207,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Banksia telmatiaea-F1,0.29,0.15,2.40,3.46,1.06,9.92,8.15,0.77,7.48,5.27,0.35,5.45,5.29,5.84,6.35
-32.0210,115.9825,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Banksia telmatiaea-F2,0.25,0.34,0.16,1.10,0.94,11.30,9.95,0.82,5.30,3.96,0.40,5.36,5.15,8.75,7.86
-32.0209,115.9823,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Banksia telmatiaea-F3,0.21,0.10,0.27,3.30,3.03,10.25,9.16,0.43,6.09,4.13,0.38,5.70,5.31,8.80,8.06
-32.0209,115.9826,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Banksia telmatiaea-F4,0.22,0.36,0.10,2.76,2.66,9.87,8.71,0.38,6.32,4.98,0.25,5.93,5.34,5.16,9.71
-32.0212,115.9825,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Banksia telmatiaea-F5,0.20,0.36,0.49,0.98,0.49,5.86,4.66,0.38,5.33,4.10,0.33,5.51,5.28,7.63,7.15
-32.0206,115.9825,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Grevillea thelemanniana-F1,0.26,0.02,0.07,1.26,1.19,12.12,11.23,0.59,6.80,4.79,0.23,5.67,5.59,8.34,12.48
-32.0207,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Grevillea thelemanniana-F2,0.34,0.05,1.20,1.55,0.35,12.40,11.33,0.40,8.49,7.22,0.26,5.57,5.57,6.90,10.02
-32.0208,115.9823,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Grevillea thelemanniana-F3,0.29,0.06,0.54,0.64,0.10,4.90,4.42,0.43,7.49,5.48,0.28,5.67,5.91,7.17,11.51
-32.0210,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Grevillea thelemanniana-F4,0.37,0.28,1.31,1.10,-0.21,7.39,5.78,0.43,8.99,7.99,0.46,5.57,5.30,9.21,11.49
-32.0211,115.9825,ABR-Flat,Alison Baird Reserve,flat,clay,Proteaceae,Grevillea thelemanniana-F5,0.31,0.01,1.36,3.75,2.39,23.42,20.81,0.86,9.76,7.74,0.25,5.28,5.89,8.91,13.20
-32.0204,115.9800,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Daviesia physodes-F1,0.25,0.08,1.01,3.07,2.07,8.54,7.61,1.15,6.12,3.95,0.21,5.18,5.03,7.00,14.24
-32.0204,115.9800,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Daviesia physodes-F2,0.33,0.06,1.15,3.54,2.39,11.94,10.89,0.55,5.04,3.33,0.23,5.37,5.20,4.22,8.77
-32.0203,115.9799,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Daviesia physodes-F3,0.24,0.08,0.52,1.62,1.10,7.55,7.01,0.31,4.72,3.16,0.27,5.21,5.48,5.95,8.83
-32.0206,115.9798,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Daviesia physodes-F4,0.30,0.18,2.06,9.80,7.74,13.56,12.17,0.63,5.70,3.69,0.22,5.24,5.27,5.76,8.13
-32.0205,115.9798,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Daviesia physodes-F5,0.31,0.10,1.10,7.07,5.97,14.31,12.92,0.52,4.27,3.16,0.22,5.21,5.39,6.11,8.73
-32.0212,115.9803,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Jacksonia floribunda-F1,0.31,0.04,2.15,2.29,0.14,12.75,11.95,0.80,12.92,10.70,0.83,5.59,5.47,7.49,8.16
-32.0212,115.9802,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Jacksonia floribunda-F2,0.33,0.04,0.79,1.77,0.98,13.00,12.00,1.09,11.24,9.05,1.14,5.19,5.08,6.36,12.15
-32.0211,115.9802,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Jacksonia floribunda-F3,0.29,0.04,0.93,2.97,2.04,11.50,10.24,1.10,12.02,9.36,0.91,5.50,5.39,8.54,11.47
-32.0210,115.9802,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Jacksonia floribunda-F4,0.38,0.02,2.51,4.73,2.22,9.48,8.42,0.75,11.72,10.37,0.72,5.18,5.18,9.90,13.07
-32.0211,115.9802,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Jacksonia floribunda-F5,0.32,0.03,1.37,2.15,0.78,12.31,10.78,1.85,13.55,11.79,1.07,5.26,5.14,5.38,18.27
-32.0212,115.9825,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Acacia lasiocarpa-F1,0.28,0.33,0.64,0.86,0.22,3.96,3.03,0.43,4.32,3.08,0.50,5.43,5.13,5.60,10.10
-32.0212,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Acacia lasiocarpa-F2,0.34,0.19,0.94,2.25,1.30,6.12,4.30,0.73,7.19,5.89,0.37,5.81,5.07,6.63,7.27
-32.0213,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Acacia lasiocarpa-F3,0.31,0.07,0.48,0.93,0.45,7.03,5.94,0.59,6.61,5.36,0.32,5.74,5.17,6.65,7.36
-32.0212,115.9826,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Acacia lasiocarpa-F4,0.43,0.20,0.91,0.39,-0.52,10.39,9.22,0.56,13.01,10.56,0.28,5.85,5.04,5.24,9.75
-32.0212,115.9827,ABR-Flat,Alison Baird Reserve,flat,clay,Fabacaeae,Acacia lasiocarpa-F5,0.34,0.16,0.56,2.73,2.17,16.46,15.00,1.60,7.81,5.38,0.40,5.84,5.17,6.45,6.77
-32.0206,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Melaleuca seriata-F1,0.24,0.03,0.10,3.02,2.92,11.27,10.21,1.11,8.21,6.67,0.43,5.62,5.27,6.26,6.28
-32.0207,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Melaleuca seriata-F2,0.27,0.08,0.86,1.34,0.48,8.77,7.29,0.48,7.10,5.79,0.53,5.52,5.27,6.00,7.84
-32.0207,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Melaleuca seriata-F3,0.26,0.06,1.31,1.19,-0.12,6.07,4.27,0.35,8.48,6.58,0.62,5.39,5.29,5.40,7.99
-32.0207,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Melaleuca seriata-F4,0.27,0.05,0.49,0.91,0.42,6.44,5.40,0.46,6.63,5.39,0.62,5.45,5.32,3.55,5.66
-32.0208,115.9823,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Melaleuca seriata-F5,0.28,0.04,0.97,3.07,2.10,8.54,7.60,0.63,7.00,5.88,0.55,5.41,5.23,4.14,4.51
-32.0212,115.9826,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Hypocalymma suave-F1,0.31,0.11,1.26,0.91,-0.35,10.41,9.30,0.77,11.85,10.12,0.37,5.17,5.22,6.01,9.08
-32.0212,115.9824,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Hypocalymma suave-F2,0.24,0.10,0.71,1.25,0.54,7.31,7.19,0.67,6.16,5.21,0.37,5.50,5.25,6.66,8.92
-32.0212,115.9825,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Hypocalymma suave-F3,0.28,0.05,0.14,1.53,1.39,2.95,2.66,0.51,7.36,6.71,0.25,5.16,5.19,7.26,7.45
-32.0211,115.9825,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Hypocalymma suave-F4,0.28,0.03,0.01,0.34,0.33,7.77,7.40,0.50,7.88,6.47,0.41,5.56,5.19,6.03,8.58
-32.0210,115.9825,ABR-Flat,Alison Baird Reserve,flat,clay,Myrtaceae,Hypocalymma suave-F5,0.28,0.09,0.46,0.84,0.38,5.79,5.26,0.62,4.52,3.58,0.36,5.62,5.16,9.80,4.62
-32.0224,115.9812,ABR-Flat,Alison Baird Reserve,flat,clay,Ericaceae,Leucopogon sp. (C. Tauss 5646)-F1,0.31,0.03,1.10,2.21,1.10,7.75,7.23,0.43,5.85,5.19,0.37,5.43,5.31,4.55,3.71
-32.0225,115.9814,ABR-Flat,Alison Baird Reserve,flat,clay,Ericaceae,Leucopogon sp. (C. Tauss 5646)-F2,0.24,0.07,1.02,2.17,1.15,8.09,7.64,0.71,7.32,6.68,0.32,5.59,5.24,6.04,9.19
-32.0225,115.9814,ABR-Flat,Alison Baird Reserve,flat,clay,Ericaceae,Leucopogon sp. (C. Tauss 5646)-F3,0.28,0.04,0.93,1.61,0.68,9.22,8.83,0.49,5.01,4.41,0.32,5.59,5.20,4.75,3.35
-32.0225,115.9813,ABR-Flat,Alison Baird Reserve,flat,clay,Ericaceae,Leucopogon sp. (C. Tauss 5646)-F4,0.28,0.03,0.78,4.88,4.10,17.99,16.49,1.51,5.72,5.18,0.37,5.42,5.09,5.19,6.04
-32.0226,115.9813,ABR-Flat,Alison Baird Reserve,flat,clay,Ericaceae,Leucopogon sp. (C. Tauss 5646)-F5,0.28,0.04,0.86,1.36,0.50,4.06,3.80,0.42,5.56,4.45,0.26,5.48,5.35,8.55,7.68
-32.0223,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Stirlingia latifolia-D1,0.27,0.06,0.15,0.52,0.37,7.20,5.99,0.40,4.90,2.90,0.35,5.53,5.48,4.90,6.59
-32.0220,115.9813,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Stirlingia latifolia-D2,0.30,0.30,0.60,0.89,0.29,7.28,5.42,0.52,7.83,5.53,0.41,5.65,5.40,6.66,7.89
-32.0224,115.9812,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Stirlingia latifolia-D3,0.34,0.10,0.59,0.45,-0.14,5.72,4.24,0.67,5.13,2.80,0.31,5.51,5.46,5.54,8.97
-32.0224,115.9812,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Stirlingia latifolia-D4,0.25,0.15,0.36,0.33,-0.04,5.37,4.28,0.43,5.23,3.10,0.32,5.45,5.52,6.37,6.73
-32.0223,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Stirlingia latifolia-D5,0.25,0.02,1.30,0.14,-1.16,2.43,1.81,0.23,5.81,3.50,0.35,5.43,5.49,4.67,6.57
-32.0225,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Banksia telmatiaea-D1,0.29,0.14,0.68,0.47,-0.21,5.60,4.64,0.27,6.82,5.31,0.26,5.62,5.33,5.84,6.35
-32.0225,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Banksia telmatiaea-D2,0.24,0.31,0.94,0.47,-0.47,4.07,2.89,0.29,6.97,4.87,0.41,5.60,5.43,8.75,7.86
-32.0226,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Banksia telmatiaea-D3,0.26,0.28,1.10,0.47,-0.63,5.27,4.36,0.39,5.65,3.80,0.22,5.56,5.37,8.80,8.06
-32.0227,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Banksia telmatiaea-D4,0.20,0.08,0.92,0.94,0.03,5.02,4.24,0.39,5.84,4.09,0.26,5.55,5.32,5.16,9.71
-32.0227,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Proteaceae,Banksia telmatiaea-D5,0.22,0.29,0.49,0.63,0.14,3.56,2.58,0.69,7.63,5.47,0.27,5.43,5.43,7.63,7.15
-32.0216,115.9820,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Daviesia physodes-D1,0.33,0.26,1.22,4.76,3.54,10.63,10.15,0.48,5.23,3.65,0.18,5.85,5.58,8.34,12.48
-32.0217,115.9820,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Daviesia physodes-D2,0.31,0.19,0.68,2.94,2.26,8.66,8.16,0.71,7.47,5.36,0.29,5.79,5.47,6.90,10.02
-32.0217,115.9819,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Daviesia physodes-D3,0.39,0.44,1.30,2.46,1.16,9.64,9.02,0.45,7.88,6.56,0.23,5.68,5.43,7.17,11.51
-32.0217,115.9818,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Daviesia physodes-D4,0.30,0.19,1.02,3.13,2.11,7.60,6.83,0.85,7.35,5.30,0.22,5.65,5.42,9.21,11.49
-32.0216,115.9818,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Daviesia physodes-D5,0.29,0.54,1.55,3.82,2.26,8.18,7.75,0.52,9.07,6.47,0.29,5.53,5.55,8.91,13.20
-32.0222,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Jacksonia floribunda-D1,0.38,0.06,0.79,1.40,0.61,5.19,4.45,0.36,6.39,5.12,0.43,5.57,5.33,7.00,14.24
-32.0222,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Jacksonia floribunda-D2,0.34,0.14,0.42,2.09,1.67,5.70,4.32,0.63,4.82,3.73,0.39,5.74,5.48,4.22,8.77
-32.0224,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Jacksonia floribunda-D3,0.40,0.08,1.05,1.05,0.00,4.90,4.01,0.45,5.78,4.67,0.39,5.82,5.46,5.95,8.83
-32.0224,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Jacksonia floribunda-D4,0.47,0.18,0.95,2.53,1.57,4.50,3.81,0.30,7.80,5.76,0.61,5.43,5.51,5.76,8.13
-32.0225,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Jacksonia floribunda-D5,0.39,0.30,0.66,1.21,0.55,6.25,4.88,0.48,4.75,3.49,0.40,5.52,5.33,6.11,8.73
-32.0226,115.9810,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Acacia pulchella-D1,0.58,0.09,0.79,2.28,1.50,3.88,3.15,0.31,5.01,3.93,0.40,5.70,5.36,7.49,8.16
-32.0225,115.9811,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Acacia pulchella-D2,0.54,0.22,1.20,2.14,0.94,8.51,6.81,0.86,7.78,5.62,0.49,5.69,5.36,6.36,12.15
-32.0226,115.9812,ABR-Dune,Alison Baird Reserve,dune,Bassendean sand,Fabacaeae,Acacia pulchella-D3,0.61,0.10,1.18,1.12,-0.06,7.68,6.05,0.55,6.81,4.77,0.69,5.72,5.54,8.54,11.47
