date,habitat,site,bee_taxon,total_bee_n,flower_species,count,basis_of_record,cultivar_status
2016-11,Bushland remnant,Bold Park,Euryglossinae,41,Eucalyptus leucoxylon sp. rosea,41,field,wild
2016-11,Bushland remnant,Bold Park,Honeybees,81,Banksia attenuata,5,field,wild
2016-11,Bushland remnant,Bold Park,Honeybees,81,Corynotheca micrantha,11,field,wild
2016-11,Bushland remnant,Bold Park,Honeybees,81,Eucalyptus leucoxylon sp. rosea,44,field,wild
2016-11,Bushland remnant,Bold Park,Honeybees,81,Grevillea whiteana,11,field,wild
2016-11,Bushland remnant,Bold Park,Honeybees,81,Pelargonium capitatum,10,field,cultivar
2016-11,Bushland remnant,Bold Park,Hylaeinae,3,Banksia attenuata,1,field,wild
2016-11,Bushland remnant,Bold Park,Hylaeinae,3,Eucalyptus leucoxylon sp. rosea,2,field,wild
2016-11,Bushland remnant,Kings Park,Euryglossinae,1,Jacksonia sternbergiana,1,field,wild
2016-11,Bushland remnant,Kings Park,Homalictus,1,Jacksonia sternbergiana,1,field,wild
2016-11,Bushland remnant,Kings Park,Honeybees,104,Xanthorrhoea preissii,104,field,wild
2016-11,Bushland remnant,Kings Park,Lasioglossum,6,Jacksonia sternbergiana,6,field,wild
2016-11,Bushland remnant,Kings Park,Megachile,29,Jacksonia sternbergiana,29,field,wild
2016-11,Bushland remnant,Maniana,Amegilla,1,Jacksonia gracillima,1,field,wild
2016-11,Bushland remnant,Maniana,Honeybees,61,Dasypogon bromeliifolius,51,field,wild
2016-11,Bushland remnant,Maniana,Honeybees,61,Jacksonia gracillima,0,field,wild
2016-11,Bushland remnant,Maniana,Honeybees,61,Xanthorrhoea preissii,10,field,wild
2016-11,Bushland remnant,Maniana,Leioproctus,37,Jacksonia gracillima,37,field,wild
2016-11,Bushland remnant,Maniana,Lipotriches,9,Jacksonia gracillima,3,field,wild
2016-11,Bushland remnant,Maniana,Lipotriches,9,Xanthorrhoea preissii,6,field,wild
2016-11,Bushland remnant,Maniana,Megachile,62,Jacksonia gracillima,62,field,wild
2016-11,Bushland remnant,Maniana,Meroglossa,3,Jacksonia gracillima,3,field,wild
2016-11,Bushland remnant,Piney Lakes,Amegilla,1,Hibbertia cuneeiformis,1,field,wild
2016-11,Bushland remnant,Piney Lakes,Euryglossinae,2,Jacksonia sternbergiana,2,field,wild
2016-11,Bushland remnant,Piney Lakes,Homalictus,5,Hibbertia cuneeiformis,5,field,wild
2016-11,Bushland remnant,Piney Lakes,Honeybee,1,Arctotheca calendula,1,field,wild
2016-11,Bushland remnant,Piney Lakes,Leioproctus,2,Arctotheca calendula,1,field,wild
2016-11,Bushland remnant,Piney Lakes,Leioproctus,2,Conostylis candicans,1,field,wild
2016-11,Bushland remnant,Piney Lakes,Lipotriches,1,Hibbertia cuneeiformis,1,field,wild
2016-11,Bushland remnant,Piney Lakes,Megachile,29,Jacksonia sternbergiana,29,field,wild
2016-11,Bushland remnant,Shenton Park,Honeybee,751,Callistemon viminalis,400,field,wild
2016-11,Bushland remnant,Shenton Park,Honeybee,751,Chamelaucium uncinatum,20,field,wild
2016-11,Bushland remnant,Shenton Park,Honeybee,751,Eucalyptus marginata,311,field,wild
2016-11,Bushland remnant,Shenton Park,Honeybee,751,Hemiandra pungens,10,field,wild
2016-11,Bushland remnant,Shenton Park,Honeybee,751,Jacksonia sericea,0,field,wild
2016-11,Bushland remnant,Shenton Park,Honeybee,751,Tricoryne tenella,10,field,wild
2016-11,Bushland remnant,Shenton Park,Hylaeinae,1,Eucalyptus marginata,1,field,wild
2016-11,Bushland remnant,Shenton Park,Lasioglossum,10,Eucalyptus marginata,10,field,wild
2016-11,Bushland remnant,Shenton Park,Leioproctus,2,Eucalyptus marginata,2,field,wild
2016-11,Bushland remnant,Shenton Park,Megachile,6,Eucalyptus marginata,5,field,wild
2016-11,Bushland remnant,Shenton Park,Megachile,6,Jacksonia sericea,1,field,wild
2016-11,Bushland remnant,Star Swamp,Exoneura,5,Banksia praemorsa,1,field,wild
2016-11,Bushland remnant,Star Swamp,Exoneura,5,Banksia sessilis,3,field,wild
2016-11,Bushland remnant,Star Swamp,Exoneura,5,Jacksonia sternbergiana,1,field,wild
2016-11,Bushland remnant,Star Swamp,Honeybee,118,Arctotheca calendula,2,field,wild
2016-11,Bushland remnant,Star Swamp,Honeybee,118,Banksia praemorsa,0,field,wild
2016-11,Bushland remnant,Star Swamp,Honeybee,118,Banksia sessilis,107,field,wild
2016-11,Bushland remnant,Star Swamp,Honeybee,118,Calothamnus quadrifidus,3,field,wild
2016-11,Bushland remnant,Star Swamp,Honeybee,118,Jacksonia sternbergiana,6,field,wild
2016-11,Bushland remnant,Star Swamp,Hylaeinae,4,Banksia sessilis,4,field,wild
2016-11,Bushland remnant,Star Swamp,Megachile,17,Jacksonia sternbergiana,17,field,wild
2016-11,Bushland remnant,Star Swamp,Trichocolletes,1,Jacksonia sternbergiana,1,field,wild
2016-11,Bushland remnant,Wireless Hill,Euryglossinae,39,Jacksonia sternbergiana,39,field,wild
2016-11,Bushland remnant,Wireless Hill,Honeybees,15,Callistemon viminalis,15,field,wild
2016-11,Bushland remnant,Wireless Hill,Leioproctus,36,Jacksonia sternbergiana,36,field,wild
2016-11,Bushland remnant,Wireless Hill,Megachile,70,Jacksonia sternbergiana,70,field,wild
2016-11,Residential garden,Bibra Lake,Honeybees,61,Gompholobium aristatum,12,captive_cultivated,wild
2016-11,Residential garden,Bibra Lake,Honeybees,61,Grevillia leucopteris,19,captive_cultivated,wild
2016-11,Residential garden,Bibra Lake,Honeybees,61,Malus pumila,30,captive_cultivated,cultivar
2016-11,Residential garden,Bibra Lake,Lipotriches flavoviridis,8,Gompholobium aristatum,8,captive_cultivated,wild
2016-11,Residential garden,Bibra Lake,Megachile,89,Gompholobium aristatum,89,captive_cultivated,wild
2016-11,Residential garden,Gosnells,Amegilla,2,Hibbertia scandens,2,captive_cultivated,wild
2016-11,Residential garden,Gosnells,Honeybees,166,Allium triquetrum,5,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Honeybees,166,Argyranthemum frutescens,14,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Honeybees,166,Callistemon salignus 'Perth Pink',30,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Honeybees,166,Cymbalaria muralis,40,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Honeybees,166,Gazania linearis,10,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Honeybees,166,Grevillea whiteana' Moonlight',15,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Honeybees,166,Hibbertia scandens,2,captive_cultivated,wild
2016-11,Residential garden,Gosnells,Honeybees,166,Rosa,40,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Honeybees,166,geraniums (Pelargonium x hortorum),5,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Honeybees,166,poppy (Papaver rhoeas),5,captive_cultivated,cultivar
2016-11,Residential garden,Gosnells,Lasioglossum,14,Hibbertia scandens,14,captive_cultivated,wild
2016-11,Residential garden,Jandakot,Exoneura,1,Callistemon viminalis,1,captive_cultivated,wild
2016-11,Residential garden,Jandakot,Honeybees,538,Arctotheca calendula,5,captive_cultivated,wild
2016-11,Residential garden,Jandakot,Honeybees,538,Borago officinalis,70,captive_cultivated,cultivar
2016-11,Residential garden,Jandakot,Honeybees,538,Callistemon viminalis,100,captive_cultivated,wild
2016-11,Residential garden,Jandakot,Honeybees,538,Centaurea cyanus,5,captive_cultivated,cultivar
2016-11,Residential garden,Jandakot,Honeybees,538,Erigeron glaucus,5,captive_cultivated,cultivar
2016-11,Residential garden,Jandakot,Honeybees,538,Hibbertia scandens,0,captive_cultivated,wild
2016-11,Residential garden,Jandakot,Honeybees,538,Lavandula angustifolia,50,captive_cultivated,cultivar
2016-11,Residential garden,Jandakot,Honeybees,538,Rosa,8,captive_cultivated,cultivar
2016-11,Residential garden,Jandakot,Honeybees,538,Xanthorrea preissii,295,captive_cultivated,wild
2016-11,Residential garden,Jandakot,Hylaeinae,8,Callistemon viminalis,8,captive_cultivated,wild
2016-11,Residential garden,Jandakot,Lipotriches,1,Hibbertia scandens,1,captive_cultivated,wild
2016-11,Residential garden,Jandakot,Megachile,2,Callistemon viminalis,2,captive_cultivated,wild
2016-11,Residential garden,Nedlands,Euryglossinae,2,Melaleuca huegelii,2,captive_cultivated,wild
2016-11,Residential garden,Nedlands,Exoneura,244,Melaleuca huegelii,244,captive_cultivated,wild
2016-11,Residential garden,Nedlands,Honeybee,961,Banksia ashbyi,0,captive_cultivated,wild
2016-11,Residential garden,Nedlands,Honeybee,961,Banksia blechnifolia,20,captive_cultivated,wild
