Species,Replicate,Date_leaf_traits,leaf angle (degrees from horizontal),Leaf fresh mass (g),Leaf length (cm),Leaf width (cm),Leaf area (mm2),Specific leaf area (mm2.g-1),Leaf perimeter (mm),Leaf dry mass (g),Leaf Dry Matter Content (LDMC; dry mass / fresh mass),Date_plant_traits,Plant height (cm),Plant width (cm),Diameter of the thickest root (mm),Number of primary root axes,Tap root (yes/no),Root fresh mass (g),Root projected area (mm2),Root perimeter (mm),Root dry mass (g),Root Dry Matter Content (RDMC: dry mass / fresh mass),Specific Root Area (SRA: root surface area / dry mass) (mm2.g-1),Total root length (cm),Specific Root Length (SRL: root length/root dry weight) (cm.g-1),Root Projected Area (cm2),Root Surface Area (cm2) [winrhizo],Average root diameter (cm),Total root volume (cm3),Number of root tips,Number of root forks,fine:coarse root ratio (volume of fine root (<0.5mm diametre) / volume of coarse root (>0.5mm diametre)),Root Biomass (g) 0-10cm depth,Green shoot biomass (g),Non-green shoot biomass (g),Total shoot biomass (g),Root:Shoot ratio,leaf_mass_fraction,leaf_mass_to_stem_mass,Life form (1 = phanerophytes; 2 = chamaephytes; 3 = hemicryptophytes; 4 = geophytes; 5 = therophytes),"N-fixation (0=N, 1=Y)","Photosynthetic pathway (1=C3, 2=C4, 3=CAM,)",Specific Root Area (SRA) (m2.kg-1),Root Dry Matter Content (RDMC),B (root biomass depth distribution coefficient (Gale and Grigal 1987)),Diameter thickest root (mm),tap_root2,site
Acacia decurrens,1,5/12/2005,22,1.1384,10.4,7.1,1858.3,5320.068709,972.7,0.3493,0.306834153,19/12/2005,212,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acacia decurrens,2,5/12/2005,25,1.6196,13.1,7.4,2948.8,5027.791986,1075.6,0.5865,0.362126451,19/12/2005,140,116,30.82,2,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acacia decurrens,3,5/12/2005,32,1.5868,12,6.9,2408.1,4237.374626,756.89,0.5683,0.358142173,19/12/2005,100.5,83,19.16,2,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acacia decurrens,4,5/12/2005,65,1.2845,9.7,6.3,1872.5,4430.903928,839.79,0.4226,0.328999611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acacia decurrens,5,5/12/2005,82,1.8536,11.2,6.7,2568.2,4115.045666,890.38,0.6241,0.336696159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acaena ovina,1,15/10/2005,50,0.1089,6.3,1.4,396.14,11482.31884,280.26,0.0345,0.316804408,9/11/2005,8.3,7.8,3.16,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342,0.375,0.014,0.389,0.879177378,0.512995896,0.964010283,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acaena ovina,2,15/10/2005,55,0.0908,5.4,1.4,359.02,12422.83737,212.04,0.0289,0.318281938,5/12/2005,10.9,6.8,3.65,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278,0.2592,0.2552,0.5144,0.540435459,0.327107521,0.503888025,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acaena ovina,3,15/10/2005,62,0.0876,5.5,1.5,380.66,13546.61922,288.4,0.0281,0.320776256,5/12/2005,15.4,12.7,5.19,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.078,0.5065,0.2005,0.707,1.524752475,0.283753501,0.716407355,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acetosella vulgaris,1,27/10/2005,32,0.0115,1.05,0.75,54.509,25956.66667,32.193,0.0021,0.182608696,27/10/2005,17.7,2.8,1.28,1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0396,0.0244,0.1709,0.1953,0.202764977,0.103873989,0.124935996,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
Acetosella vulgaris,2,27/10/2005,56,0.0083,1.2,0.6,54.43,32017.64706,30.593,0.0017,0.204819277,27/10/2005,15.6,10.5,0.76,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129,0.1017,0.1359,0.2376,0.054292929,0.405988024,0.428030303,NA,NA,NA,NA,NA,NA,NA,NA,field site north of Canberra
