Species,Diaspore mass (mg),Seed viability,Life history,Growth form
Abutilon otocarpum,2.575,52,Perennial,Subshrub
Astrebla pectinata,12.67,72,Perennial,Grass
Atriplex angulata,0.607,86,Perennial,Subshrub
Atriplex holocarpa,1.305,100,Annual,Forb
Atriplex lindleyi,0.953,100,Annual,Subshrub
Atriplex spongiosa,0.55,79,Annual,Forb
Atriplex vesicaria,0.736,35,Perennial,Shrub
Brachycome ciliaris,0.14,72,Perennial,Forb
Calotis erinacea,1.63,50,Perennial,Forb
Calotis hispidula,0.59,65,Annual,Forb
Chenopodium desertorum ssp. anidiophyllum,0.48,55,Perennial,Subshrub
Chenopodium truncatum,0.159,31,Annual,Forb
Chrysocephalum apiculatum,0.15,5,Perennial,Forb
Cymbopogon obtectus,4.475,67,Perennial,Grass
Dactyloctenium radulans,0.292,6,Annual,Grass
Digitaria coenicola,1.01,54,Perennial,Grass
Dissocarpus biflorus var. cephalocarpus,20.29,84,Perennial,Subshrub
Dissocarpus paradoxus,318.86,88,Short-lived perennial,Subshrub
Einadia nutans,0.665,94,Perennial,Subshrub
Enchylaena tomentosa,4.18,82,Perennial,Shrub
Enneapogon avenaceus,0.9,70,Annual accasionally perennial,Grass
Enneapogon polyphyllus,2.34,70,Annual or short-lived perennial,Grass
Eragrostis eriopoda,0.1,7,Perennial,Grass
Eriachne aristidea,1.4,86,Annual or short-lived perennial,Grass
Glossogyne tannensis,1.03,24,Perennial,Forb
Harmsiodoxa blennodioides,0.74,71,Annual,Forb
Harmsiodoxa brevipes var. brevioes,0.046,27,Annual,Forb
Lavatera plebeia,5.01,91,Annual or perennial,Forb
Leptorhynchos panaetioides,0.201,93,Perennial,Subshrub
Lotus cruentus,1.77,68,Annual or perennial,Forb
Maireana pyramidata,12.78,92,Perennial,Shrub
Maireana triptera,15.76,88,Perennial,Subshrub
Malvastrum americanum,1.58,29,Perennial,Forb
Monachather paradoxa,2.875,76,Perennial,Grass
Myoporum montanum,0.96,21,Perennial,Shrub
Nicotiana velutina,0.095,62,Annual,Forb
Osteocarpum acropterum,1.66,100,Perennial,Forb
Panicum decompositum,0.45,16,Perennial,Grass
Paspalidium jubiflorum,0.98,10,Perennial,Grass
Portulaca oleracea,0.43,88,Annual,Forb
Ptilotus polystachus,1.085,71,Perennial,Forb
Salsola kali,2.925,83,Annual or biennial,Subshrub
Santalum lanceolatum,46.53,73,Perennial,Shrub
Scaevola spinescens,6.12,58,Perennial,Shrub
Sclerolaena bicornis var. bicornis,0.519,72,Short-lived perennial,Shrub
Sclerolaena bicornis var. horrido,2.83,100,Short-lived perennial,Shrub
Sclerolaena brachyptera,1.25,67,Perennial,Forb
Sclerolaena convexula,4.7,44,Perennial,Subshrub
Sclerolaena diacantha,3.15,33,Perennial,Subshrub
Sclerolaena glabra,3.78,55,Perennial,Shrub
Senecio gregorii,4.185,75,Annual,Forb
Senna artemisioides nothossp. coriacea,20.66,40,Perennial,Shrub
Senna artemisioides ssp. alicia,14.92,20,Perennial,Shrub
Sida ammophila,1.96,35,Perennial,Forb
Sida fibulifera,1.1,13,Perennial,Forb
Sida petrophila,3.52,16,Perennial,Forb
Solanum esuriale,2.28,93,Perennial,Forb
Solanum oligacanthum,10.17,96,Perennial,Shrub
Thyridolepis mitchelliana,2.69,91,Perennial,Grass
Triraphus mollis,0.252,77,Perennial,Grass
Tetragonia tetragonoides,118.88,76,Annual or biennial,Forb
Vittadinia cuneata var. hirsuta,1.54,70,Short-lived perennial,Forb
Vittadinia eremaea,1.44,96,Short-lived perennial,Forb
Zygophyllum iodocarpum,3.12,98,Annual,Forb
Zygophyllum prismatothecum,1.13,70,Annual,Forb
