plot.id,species,dune.system,uptake.strategy,specific.uptake.strategy,collection.date,Ca_ug.g.DW,Cu_ug.g.DW,Fe_ug.g.DW,K_ug.g.DW,Mg_ug.g.DW,Mn_ug.g.DW,Mo_ug.g.DW,P_ug.g.DW,S_ug.g.DW,Zn_ug.g.DW,N_ug.g.DW,C_%,CN,senesced_leaf_Ca,senesced_leaf_Cu,senesced_leaf_Fe,senesced_leaf_K,senesced_leaf_Mg,senesced_leaf_Mn,senesced_leaf_Mo,senesced_leaf_P,senesced_leaf_S,senesced_leaf_Zn,senesced_leaf_N
Q.O.5,Acanthocarpus preissii,QO,AM,NA,21/3/12,14193.05488,0.848287918,80.45652071,8458.344276,2455.775105,2.823156546,0.75962888,634.3665952,1895.403233,3.871305918,16806.99279,45.45710317,27.04654171,15648.97738,1.184819008,149.1434129,1942.816276,2011.014305,2.729618676,0.62152573,386.8337952,1914.759733,-0.690364952,11877.1504
Q.O.5,Conostylis candicans subsp. calcicola,QO,NM,NA,21/3/12,15992.07698,0.693586068,90.42382924,11492.78528,2452.604905,116.9668795,0.68059611,398.2973952,1182.850233,4.806209338,10351.05393,44.27196412,42.7704893,16985.19718,0.866512178,165.2646173,1096.508176,1598.048105,112.823976,0.52492727,231.2310952,1349.381033,-0.664163972,10264.4072
Q.O.5,Lepidosperma squamatum,QO,NM,NA,21/3/12,4674.081181,0.693997658,30.74854522,6299.929376,595.2394048,103.8741159,0.56700221,279.4981952,984.5796333,3.201677018,9640.85105,45.09035248,46.77009556,3020.093,0.3756375,47.939,336.4869,374.846575,22.91605,NA,64.8126875,815.8831875,1.8823,4761.4595
Q.O.5,Melaleuca aff. systena,QO,EM,NA,21/3/12,21296.25638,0.880543318,86.72175162,4249.000176,8453.260805,6.701806116,0.21116757,616.5747952,3490.016233,2.244165748,7806.90458,46.74921594,59.88188465,47463.21648,1.030903338,253.6134293,1206.082476,3852.413205,9.008021196,0.41490594,309.1744952,2209.291033,0.137166618,8781.8463
Q.Y.1,Acacia rostellifera ,QY,N fixing,NA,3/5/12,39870.53038,0.993232518,67.96530086,7042.103976,3749.501605,4.459093936,0.17379711,1024.284595,8980.234133,2.151310798,19456.28541,45.20415581,23.23370307,68825.73138,0.589509948,80.04740072,3206.821876,5040.086405,2.994123226,0.05524981,342.9865952,11373.56403,1.072427968,10217.4323
Q.Y.1,Conostylis candicans subsp. calcicola,QY,NM,NA,3/5/12,20034.47598,2.935863298,154.1553936,15815.17838,2291.762305,509.0628094,0.11502619,851.2241952,2016.481533,6.686429988,10247.17194,45.11626503,44.028016,14177.95568,1.796094528,184.4788696,1034.206276,1205.393605,137.5245343,0.44559997,354.5633952,973.8991333,7.098412538,8690.9242
Q.Y.1,Hardenbergia comptoniana ,QY,AM/N fixing,AM/N fixing,3/5/12,16912.37258,1.322900508,69.58811135,23891.00328,3716.730205,20.38533316,-0.03366879,2235.385795,2038.072833,12.1337119,28399.53802,49.22028711,17.33136893,41142.59878,0.135324418,54.17233438,2204.695976,6743.965505,23.42687771,-0.13170772,159.2575952,804.5684333,-1.368310682,8120.0541
Q.Y.1,Scaevola crassifolia,QY,AM,AM,3/5/12,37742.79038,1.692938318,69.97539387,5089.859476,9268.851705,12.6779132,-0.11019,2937.252795,12181.02053,5.480111768,16178.16364,40.90213693,25.28231129,37397.56888,0.267657668,68.56789474,780.5396762,2809.244405,3.189464596,0.63821558,3766.778795,7699.176733,-0.975836772,5740.2312
Q.Y.1,Spyridium globulosum,QY,AM/EM,AM/EM,3/5/12,42685.29038,0.899001228,137.7224473,15073.90608,5036.121405,16.37576352,0.91182286,817.9091952,1923.381733,4.304895398,9144.09133,47.66603951,52.12769405,42705.75958,0.614650438,104.3190667,5465.417276,3440.545005,10.55474927,0.5565863,318.1026952,1528.686033,1.334695528,3770.9619
Q.Y.12,Acacia rostellifera ,QY,N fixing,NA,4/5/12,50231.45358,0.417207948,87.1203211,3750.794776,7944.093505,18.68548285,0.48942872,970.2689952,2369.588333,10.15393446,12995.781070000001,48.93916102,37.65772966,29175.56218,0.236315778,41.59297908,1800.652576,3700.685005,8.451138266,0.08034067,467.7764952,1578.840433,3.413343918,7348.5036
