number,site_name_new,site_name
1,Taravale_1_01,site_01
2,Taravale_1_02,site_02
3,Hillgrove,site_03
4,Prairie,site_04
7,Homestead,site_07
8,Taravale_1_08,site_08
9,Taravale_1_09,site_09
10,site_10,site_10
11,site_11,site_11
12,site_12,site_12
13,site_13,site_13
14,site_14,site_14
15,site_15,site_15
16,site_16,site_16
17,Taravale_2,site_17
18,Taravale_3,site_18
19,Tabletop_1,site_19
20,Tabletop_2,site_20
21,Hidden Valley_1,site_21
22,Mount Fox_1,site_22
23,James Cook University_1,site_23
24,Mount Stuart,site_24
25,outside Darwin,site_25
26,Mornington,site_26
28,Blackbraes NP_1,site_28
29,Blackbraes NP_2,site_29
30,site_30,site_30
31,site_31,site_31
32,site_32,site_32
33,site_33,site_33
34,site_34,site_34
35,site_35,site_35
36,Blackbraes NP_4,site_36
40,site_40,site_40
41,site_41,site_41
42,site_42,site_42
43,site_43,site_43
44,site_44,site_44
45,site_45,site_45
46,site_46,site_46
47,site_47,site_47
48,site_48,site_48
49,site_49,site_49
50,Juntala_50,site_50
51,Juntala_51,site_51
52,Juntala tall forest,site_52
53,Blackbraes,site_53
54,Clothespeg_54,site_54
55,Clothespeg_55,site_55
56,Hughenden,site_56
57,White Mountains,site_57
