longitude (deg),latitude (deg),soil_TOC,soil_pH,soil_conductivity,soil_N,soil_P,soil_K,soil_Sand,soil_Silt,soil_Clay,site_elevation,site_name,number,site_name_new
146.07923,-19.12686,1.627474721,4.85,0.021094,0.80549475,0.005470517,0.404155733,61.06610201,28.80313882,10.13075917,710,site_1,NA,NA
146.07923,-19.12686,2.516055992,5.16,0.024486,0.830438968,0.008437758,0.384563733,57.31618345,32.6056932,10.07812335,710,site_2,NA,NA
145.8062778,-19.68641667,1.01662635,5.64,0.026818,0.628701044,0.033174463,0.294395163,42.50076679,15.03247927,42.46675394,323,site_3,NA,NA
144.6838333,-20.85302778,1.106866918,5.82,0.0318,0.403540634,0.009272584,0.196891985,71.12485954,13.84424542,15.03089503,437,site_4,NA,NA
145.5257222,-20.44697222,0.986720194,5.35,0.009858,0.270153931,0.005862789,0.153830604,63.14424889,23.77790394,13.07784717,383,site_7,NA,NA
146.07923,-19.12686,1.590229205,5.09,0.017172,0.422887786,0.005456592,0.368241926,61.02853844,29.82509813,9.146363426,710,site_8,NA,NA
146.10512,-19.1152,3.754515789,4.95,0.02915,1.076655564,0.007284245,0.467645039,63.22923077,21.74615385,15.02461538,755,site_9,NA,NA
153.0539,-27.54899,5.8200159,4.44,0.069218,2.110050362,0.018672519,1.656113929,53.97228388,27.30457736,18.72313876,91,site_10,10,site_10
152.14576,-27.48962,5.636790816,4.78,0.037206,1.685748251,0.008787993,0.08081495,65.87874613,18.41772226,15.70353161,407,site_11,11,site_11
151.44364,-28.14618,4.567184339,4.92,0.069536,1.421131483,0.016056234,0.208403702,63.55227503,21.55510617,14.89261881,518,site_12,12,site_12
151.51673,-28.12802,3.855715915,4.14,0.050986,1.143783937,0.00963079,0.09490163,82.04060537,6.907459472,11.05193516,511,site_13,13,site_13
151.51659,-28.12787,5.354072287,4.38,0.061268,1.642829977,0.011904017,0.134806686,79.19727645,7.850084358,12.95263919,511,site_14,14,site_14
151.51717,-28.12798,3.907564149,4.69,0.064236,1.253965938,0.011395558,0.064454854,79.09263804,7.889570552,13.01779141,511,site_15,15,site_15
151.65083,-27.69067,4.60491633,5.67,0.091584,0.330478971,0.16047618,0.243774584,38.87648849,28.12431511,32.9991964,559,site_16,16,site_16
146.10512,-19.1152,3.157004132,4.45,0.02014,0.802187767,0.00798414,0.547457288,60.28536932,24.69815341,15.01647727,755,site_17,17,Taravale_2
146.05164,-19.19092,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,site_18,18,Taravale_3
