Water_treatment,Species,Subfamily,Tribe,Tillers_prefire,Tillers_postfire,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Photosynthetic_pathway,Growth_habit,Life_cycle,bud_location,resprout_prop
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,48,42,15.6,3.08,869,1702,230,7.4,264.67,C4,Rhizomatous,Perennial,Crown,0.875
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,40,27,17.9,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,54,31,71.62,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5740740740740741
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,39,0,62.39,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,37,31,25.78,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8378378378378378
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,51,62,42.1,1.21,727,1718.67,187,9.19,257.22,NA,NA,NA,NA,1.2156862745098038
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,41,2,31.83,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04878048780487805
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,46,61,31.83,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.326086956521739
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,38,0,23,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,48,21,42.1,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4375
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,41,33,28.73,1.43,613,1433.69,211,6.79,344.21,NA,NA,NA,NA,0.8048780487804879
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,33,51,71.62,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5454545454545454
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,41,24,25.78,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5853658536585366
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,47,47,53.79,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,43,19,28.73,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4418604651162791
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,128,76,35.09,3.65,1460,2180.07,423,5.15,289.73,C4,Tufted,Perennial,Crown,0.59375
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,123,11,31.83,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08943089430894309
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,120,28,31.83,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23333333333333334
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,103,38,23,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36893203883495146
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,106,14,25.78,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1320754716981132
