Variable,Type,Units,Description,Notes
Species,string,,Species scientific name,
Family,string,,Species family name,
Site LAI,string,,LAI of site where species was sampled,
Leaf type,string,,S = simple; C = compound; F = folded along midrib; or sm = small-leaf,
MLA,numeric,deg,mean leaf angle,
Self-Sh,numeric,%, average self-shading,
Leaf Area,numeric,cm2,total leaf area of branch,
Leaf Size,numeric,cm2,average size of leaves,
Leaf No.,numeric,number,number of leaves per tuft,
MSL,numeric,m,main stem length,
LA/VOL,numeric,m2 m-3,leaf area per unit volume,
LAI,numeric,m2 m-2,leaf area index of branch,
